Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
Chromatiales,0.0,0.0,0.0,0.0,0.0,4.241823103251125e-06,4.545892604196405e-06,3.837568645771509e-06,4.343701985677905e-06,3.93930520554941e-06,0.0,4.181658308889271e-06,0.0,2.914092056321421e-07
Ciliophora,0.0,0.0,0.0,0.0,0.0,0.0009156278155732072,0.0009312008450107212,0.0009346499425425084,0.0009264207188523737,0.0009340193650183435,0.0,0.0009283837373994308,0.0,7.834677790129469e-06
Clostridia UCG-014,0.0,0.0,0.0,0.0,0.0,8.786633571020187e-06,7.879547180607101e-06,8.079091885834756e-06,7.7782570441209e-06,7.979618236882139e-06,0.0,8.100629583693017e-06,0.0,3.995342827402964e-07
Conthreep,0.0,0.0,0.0,0.0,0.0,3.130869433352021e-06,2.7275355625178427e-06,0.0,0.0,0.0,0.0,1.1716809991739729e-06,0.0,1.6107150457460604e-06
Coriobacteriales,0.0,0.0,0.0,0.0,0.0,0.0015770492323158648,0.00154540144575548,0.0015634052685575984,0.0015412060743136698,0.0015431975623175357,0.0,0.0015540519166520298,0.0,1.560468711432787e-05
Corynebacteriales,0.0,0.0,0.0,0.0,0.0,3.130869433352021e-06,4.545892604196405e-06,4.342511888636181e-06,3.3335387331946716e-06,3.232250425066183e-06,0.0,3.7170126168890925e-06,0.0,6.715470582949336e-07
Crustacea,0.0,0.0,0.0,0.0,0.0,1.21194945807175e-06,1.6163173703809437e-06,1.0098864857293446e-06,1.5152448787248506e-06,1.3131017351831368e-06,0.0,1.3332999856180053e-06,0.0,2.413156625523566e-07
Cyanobacteriales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040653009932935e-07,0.0,0.0,8.08130601986587e-08,0.0,1.807034960739835e-07
Cytophagales,0.0,0.0,0.0,0.0,0.0,1.020057460543723e-05,1.0506062907476134e-05,1.0805785397303987e-05,8.283338670362518e-06,8.989696494715321e-06,0.0,9.757091615059038e-06,0.0,1.0745041671938674e-06
Deferribacterales,0.0,0.0,0.0,0.0,0.0,0.0,2.0203967129761797e-07,0.0,0.0,0.0,0.0,4.0407934259523595e-08,0.0,9.035488783463738e-08
Deinococcales,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,3.0305950694642694e-07,3.0296594571880336e-07,4.040653009932935e-07,5.050391289165911e-07,0.0,3.434242917840813e-07,0.0,1.1518039568107605e-07
Demospongiae,0.0,0.0,0.0,0.0,0.0,1.1109536698991043e-06,9.091785208392809e-07,7.069205400105411e-07,7.071142767382636e-07,1.0100782578331821e-06,0.0,8.888490530640745e-07,0.0,1.8066943637239182e-07
Desulfarculales,0.0,0.0,0.0,0.0,0.0,7.2716967484305e-06,6.364249645874966e-06,7.372171345824216e-06,6.465044815892696e-06,7.676594759532185e-06,0.0,7.029951463110913e-06,0.0,5.822330318368439e-07
Desulfobacterales,0.0,0.0,0.0,0.0,0.0,9.089620935538125e-07,7.071388495416629e-07,8.079091885834757e-07,3.0304897574497013e-07,9.090704320498639e-07,0.0,7.27225907894757e-07,0.0,2.5146313030297307e-07
Desulfurococcales,0.0,0.0,0.0,0.0,0.0,0.0,3.0305950694642694e-07,4.0395459429173784e-07,0.0,0.0,0.0,1.4140282024763296e-07,0.0,1.9688231962906926e-07
Dichanthelium oligosanthes   ,0.0,0.0,0.0,0.0,0.0,2.4238989161435e-06,2.6265157268690336e-06,2.423727565750427e-06,3.131506082698025e-06,2.1211643414496824e-06,0.0,2.545362526582133e-06,0.0,3.7404634837141937e-07
Dinoflagellata,0.0,0.0,0.0,0.0,0.0,2.0199157634529168e-07,0.0,2.0197729714586892e-07,4.040653009932935e-07,2.0201565156663643e-07,0.0,2.0200996521021814e-07,0.0,1.4285865934581311e-07
Discicristata,0.0,0.0,0.0,0.0,0.0,4.746802044114354e-06,3.4346744120595056e-06,3.029659457188034e-06,2.929473432201378e-06,1.1110860836165003e-06,0.0,3.0503390858359547e-06,0.0,1.3039783905112035e-06
Dothideomycetes,0.0,0.0,0.0,0.0,0.0,3.029873645179375e-07,0.0,3.0296594571880336e-07,3.0304897574497013e-07,2.0201565156663643e-07,0.0,2.222035875096695e-07,0.0,1.3168764272886985e-07
Enoplea,0.0,0.0,0.0,0.0,0.0,0.00010382367024147992,0.00010708102578773752,0.00011007762694449855,0.0001062691741612362,0.00010555317794356754,0.0,0.00010656093501570394,0.0,2.303851866443022e-06
