Order,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5
Methylococcales,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,0.0,7.0
Methylophilales,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0
Microbotryomycetes,0.0,0.0,0.0,0.0,0.0,29897.0,29996.0,30065.0,29996.0,29702.0
Micromonosporales,0.0,0.0,0.0,0.0,0.0,26.0,18.0,21.0,15.0,23.0
Mollicutes RF9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,2.0
Mollicutes Unknown Family,0.0,0.0,0.0,0.0,0.0,43.0,46.0,46.0,42.0,48.0
Monoglobales,0.0,0.0,0.0,0.0,0.0,7315.0,7319.0,7226.0,7272.0,7296.0
Mycoplasmatales,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0
Myxococcales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0
Myxozoa,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,4.0,10.0
Neisseriales,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,4.0
Nicotiana benthamiana   ,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0
Nitrospirales,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,5.0,4.0
Nucleariidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0
Oceanospirillales,0.0,0.0,0.0,0.0,0.0,102.0,110.0,95.0,119.0,110.0
Ochroconis,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
Ochrophyta,0.0,0.0,0.0,0.0,0.0,585.0,546.0,560.0,584.0,568.0
Oligoflexales,0.0,0.0,0.0,0.0,0.0,288.0,309.0,299.0,260.0,268.0
Opiliones,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0
Oscillospirales,0.0,0.0,0.0,0.0,0.0,51265.0,51031.0,50994.0,51025.0,51269.0
Parabasalia,0.0,0.0,0.0,0.0,0.0,49.0,55.0,55.0,58.0,41.0
Pasteurellales,0.0,0.0,0.0,0.0,0.0,22.0,21.0,20.0,16.0,13.0
PeM15,0.0,0.0,0.0,0.0,0.0,9.0,10.0,13.0,13.0,8.0
Peptostreptococcales-Tissierellales,0.0,0.0,0.0,0.0,0.0,2140.0,2160.0,2163.0,2157.0,2118.0
Peronosporomycetes,0.0,0.0,0.0,0.0,0.0,6.0,7.0,4.0,3.0,7.0
Phycisphaerales,0.0,0.0,0.0,0.0,0.0,9.0,5.0,8.0,4.0,9.0
Pilobolus longipes ,0.0,0.0,0.0,0.0,0.0,1141.0,1187.0,1177.0,1152.0,1141.0
Pirellulales,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,3.0
Planctomycetales,0.0,0.0,0.0,0.0,0.0,27.0,41.0,38.0,50.0,39.0
