# Constructed from biom file
#OTU ID	OL-16S-1a	OL-16S-1b	OL-16S-2a	OL-16S-2b	OL-16S-3a	OL-16S-3b	OL-16S-4a	OL-16S-4b
64007ed1f563bd50b266faf295f99139	0.0	0.0	73.0	61.0	0.0	0.0	0.0	0.0
080361f2074d9c1560e005a0257b7784	36.0	38.0	23.0	36.0	0.0	0.0	0.0	0.0
c4d2b0f6786d980f0ea9a596e682da47	83.0	0.0	48.0	0.0	0.0	0.0	0.0	0.0
3bc129284718de0ca4a3fc44026b9432	0.0	0.0	0.0	0.0	130.0	0.0	0.0	0.0
8e295f8ef43051fe5dcfcc1f1e9e174e	0.0	0.0	55.0	74.0	0.0	0.0	0.0	0.0
36c2cf0d4ce79ca4f7fb1ff3d20466d0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	68.0
5050e1b453ce54b5804756f695a11396	37.0	0.0	20.0	69.0	0.0	0.0	0.0	0.0
1b91b8ed559e280b4754f05e3288f1ec	0.0	0.0	0.0	0.0	0.0	55.0	71.0	0.0
86af44b65f30e93cf5d9964f62f5eca9	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0
e79f4bd136281e64ca97be795598e9dd	43.0	43.0	38.0	0.0	0.0	0.0	0.0	0.0
c2bcdf835bcd3f44b8dd055920a14a6e	41.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0
a55e816e9176801a058fc60c9be2ed8d	0.0	0.0	0.0	0.0	27.0	0.0	48.0	49.0
f50cd182c69f0c54be1339b8a9503021	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0
f2165b309a00a791a430aed160732576	10.0	22.0	32.0	34.0	17.0	0.0	7.0	0.0
29dc7f1bba8c6c183ccb89880ae5a06b	0.0	71.0	50.0	0.0	0.0	0.0	0.0	0.0
d0b49959611ea19020b79f70f48229fc	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0
1bb42a22d7c273cace52c1d83dc0583e	0.0	0.0	0.0	0.0	0.0	0.0	121.0	0.0
af558fe3c71eb5df11193e6e4b89ab15	53.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0
f34c049cafabf6747654eb44cf153d82	30.0	31.0	26.0	33.0	0.0	0.0	0.0	0.0
e9aecff8dcec879576ad958b3cb624c4	119.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6959cd643544eb382ec3614c80560a22	0.0	0.0	0.0	0.0	45.0	0.0	74.0	0.0
ab858886d68e14b71ffbaeccd59ef13d	0.0	0.0	0.0	0.0	36.0	56.0	26.0	0.0
e942dd6afaaeb8f8441524baa1959993	0.0	0.0	0.0	0.0	0.0	118.0	0.0	0.0
344bfb1f23f026d44d9bbf0db674c4b6	0.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0
4befb424a392fb162e2701727ce4202e	0.0	0.0	0.0	0.0	117.0	0.0	0.0	0.0
92c09a6f1898b65d7af8b317b19d8557	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0
5510490cd0b58fccc100e072cb048895	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0
90681ba58a195f80e61a3e972172070d	0.0	0.0	0.0	0.0	57.0	0.0	0.0	59.0
8dfba2d529439fb462aae1344eced583	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0
77d3b79630bd68a57f2a828fdc185eba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0
