"","Kingdom","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"63","Bacteria","Actinobacteria","CFGB14472","OFGB14472","FGB14472","GGB39922","GGB39922_SGB49308",0.01706,0.02308
"64","Bacteria","Proteobacteria","CFGB11593","OFGB11593","FGB11593","GGB33905","GGB33905_SGB57741",0.01528,0.02152
"65","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp_Dokd_P16",0.01422,0.0138
"66","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacteraceae_unclassified","Rhodobacteraceae_bacterium_SB2",0.01383,0.01485
"67","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_sp_SK011",0.01337,0.01425
"68","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Yoonia","Yoonia_SGB60576",0.01329,0.01251
"69","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_undina",0.01302,0.022
"70","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Algibacter","Algibacter_aestuarii",0.0122,0.00856
"71","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_confluentis",0.01174,0.0139
"72","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Halieaceae_unclassified","marine_gamma_proteobacterium_HTCC2080",0.01149,0.01134
"73","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Colwelliaceae","Colwellia","Colwellia_polaris",0.01101,0.01588
"74","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_sp_H105",0.01061,0.0097
"75","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_porphyrae",0.01031,0.00866
"76","Bacteria","Proteobacteria","CFGB972","OFGB972","FGB972","GGB56924","GGB56924_SGB78379",0.01024,0.00638
"77","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Dokdonia","Dokdonia_sp_PRO95",0.00969,0.01482
"78","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","gamma_proteobacterium_SCGC_AAA076_P13",0.00803,0.00576
"79","Bacteria","Bacteroidetes","CFGB7657","OFGB7657","FGB7657","GGB24307","GGB24307_SGB64774",0.00788,0.00989
"80","Bacteria","Tenericutes","CFGB41431","OFGB41431","FGB41431","GGB47263","GGB47263_SGB65217",0.00785,0.00754
"81","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_litoralis",0.00785,0.00593
"82","Bacteria","Actinobacteria","CFGB24907","OFGB24907","FGB24907","GGB43938","GGB43938_SGB82183",0.00723,0.00646
"83","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella","Loktanella_salsilacus",0.00719,0.00938
"84","Bacteria","Bacteroidetes","CFGB10776","OFGB10776","FGB10776","GGB32551","GGB32551_SGB64651",0.00708,0.01718
"85","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gramella","Gramella_sp_Hel_I_59",0.00602,0.00595
"86","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_aliena",0.006,0.00782
"87","Bacteria","Proteobacteria","CFGB5157","OFGB5157","FGB5157","GGB14685","GGB14685_SGB22225",0.00552,0.00542
"88","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_ulvae",0.0055,0.00465
"89","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_tunicata",0.00525,0.00547
"90","Bacteria","Cyanobacteria","Cyanobacteria_unclassified","Synechococcales","Prochloraceae","Prochlorococcus","Prochlorococcus_SGB50085",0.00512,0.00528
"91","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas","Alteromonas_genovensis",0.00483,0.00868
"92","Bacteria","Proteobacteria","CFGB8694","OFGB8694","FGB8694","GGB26173","GGB26173_SGB38186",0.00482,0.00994
"93","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter","Sulfitobacter_sp_JL08",0.00436,0.00435
"94","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Gillisia","Gillisia_sp_Hel1_33_143",0.00416,0.0026
"95","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","Shewanella","Shewanella_aestuarii",0.00413,0.00449
"96","Bacteria","Bacteroidetes","CFGB32551","OFGB32551","FGB32551","GGB48754","GGB48754_SGB66920",0.00391,0.00401
"97","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Nonlabens","Nonlabens_agnitus",0.00381,0.00411
"98","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Leeuwenhoekiella","Leeuwenhoekiella_sp_MAR_2009_132",0.00355,0.00503
"99","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Eudoraea","Eudoraea_adriatica",0.00352,0.00583
"100","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Erythrobacteraceae","Altererythrobacter","Altererythrobacter_luteolus",0.00337,0.00313
"101","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas","Pseudoalteromonas_prydzensis",0.00322,0.00577
"102","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Psychrosphaera","Psychrosphaera_haliotis",0.00311,0.00341
"103","Bacteria","Proteobacteria","Alphaproteobacteria","Pelagibacterales","Pelagibacteraceae","Candidatus_Pelagibacter","Candidatus_Pelagibacter_SGB64939",0.0031,0.00477
"104","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","gamma_proteobacterium_NOR5_3",0.003,0.00278
