"","Phylum","Class","Order","Family","Genus","Species","Ocean1","Ocean2"
"24138","Patescibacteria","Gracilibacteria","Peribacterales","Peribacteraceae","GWB1-54-5","GWB1-54-5 sp002772545",0,1
"24139","Patescibacteria","Gracilibacteria","UBA1369","UM-FILTER-53-11","21-14-0-20-46-8","21-14-0-20-46-8 sp002796025",0,7
"24140","Patescibacteria","Paceibacteria_A","Moranbacterales","GWC2-37-73","UBA12053","UBA12053 sp001003855",0,1
"24141","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA2206","UBA2282","UBA2282 sp002345745",0,2
"24142","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA2206","XYA2-FULL-43-15","XYA2-FULL-43-15 sp001784815",0,2
"24143","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA2206","UBA9630","UBA9630 sp003482885",0,1
"24144","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA1568","UBA1568","UBA1568 sp001786575",0,4
"24145","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA1568","UBA1568","UBA1568 sp002790675",0,1
"24146","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA2193","UBA2773","UBA2773 sp002352465",0,7
"24147","Patescibacteria","Paceibacteria_A","Moranbacterales","UBA11712","GCA-002782285","GCA-002782285 sp002790655",0,1
"24148","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA1547","UBA1547 sp001897305",0,2
"24149","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA2866","UBA2866 sp002371235",0,4
"24150","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA2866","UBA2866 sp002393165",0,1
"24151","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA1020","UBA1020 sp002348605",0,2
"24152","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","GCA-2861585","GCA-2861585 sp002861585",0,3
"24153","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","Saccharimonas","Saccharimonas sp002336935",0,3
"24154","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA2112","UBA2112 sp002331045",0,1
"24155","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA5946","UBA5946 sp002434045",0,1
"24156","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae","UBA949","UBA949 sp002293245",0,1
"24157","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA10212","2-02-FULL-47-12","2-02-FULL-47-12 sp001790455",0,2
"24158","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA10212","21-14-0-10-47-8-A","21-14-0-10-47-8-A sp002793885",0,2
"24159","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA4665","UBA5150","UBA5150 sp002792275",0,3
"24160","Patescibacteria","Saccharimonadia","Saccharimonadales","UBA7683","UBA7683","UBA7683 sp002482925",0,3
"24161","Patescibacteria","Saccharimonadia","Saccharimonadales","QS-5-54-17","QS-5-54-17","QS-5-54-17 sp003022365",0,1
"24162","Patescibacteria","Saccharimonadia","UBA4664","UBA4664","UBA5169","UBA5169 sp002429485",0,1
"24163","Patescibacteria","Dojkabacteria","SC72","SC72","UBA2259","UBA2259 sp002328465",0,2
"24164","Patescibacteria","Dojkabacteria","SC72","SC72","UBA12044","UBA12044 sp000989675",0,2
"24165","Patescibacteria","Dojkabacteria","B142","OLB20","OLB20","OLB20 sp001567355",0,4
"24166","Patescibacteria","WWE3","PEYW01","PEYW01","PEYW01","PEYW01 sp002774225",0,3
"24167","Patescibacteria","UBA1384","XYA2-FULL-43-10","XYA2-FULL-43-10","XYA2-FULL-43-10","XYA2-FULL-43-10 sp001776195",0,3
"24168","Patescibacteria","UBA1384","XYA2-FULL-43-10","XYA2-FULL-43-10","1-14-0-10-43-13","1-14-0-10-43-13 sp002773985",0,1
"24169","Patescibacteria","UBA1384","2-12-FULL-50-11","2-12-FULL-50-11","2-12-FULL-50-11","2-12-FULL-50-11 sp001774395",0,2
"24170","Patescibacteria","UBA1384","UBA1384","UBA1384","UBA1384","UBA1384 sp002305395",0,2
"24171","Patescibacteria","CPR2","UBA1875","UBA1875","UBA7522","UBA7522 sp002476865",0,1
"24172","Patescibacteria","CPR2","UBA1875","GCA-2785325","GCA-2785325","GCA-2785325 sp002785325",0,1
"24173","Patescibacteria","Doudnabacteria","UBA920","O2-02-FULL-48-8","O2-02-FULL-48-8","O2-02-FULL-48-8 sp001777575",0,2
"24174","Patescibacteria","Doudnabacteria","UBA920","O2-02-FULL-48-8","WO2-49-40","WO2-49-40 sp001780035",0,1
"24175","Patescibacteria","Doudnabacteria","UBA920","2-01-FULL-50-11","2-01-FULL-50-11","2-01-FULL-50-11 sp001777585",0,3
"24176","Patescibacteria","Doudnabacteria","UBA920","2-01-FULL-50-11","1-14-0-10-41-10","1-14-0-10-41-10 sp002773695",0,1
"24177","Patescibacteria","Doudnabacteria","UBA920","UBA920","UBA920","UBA920 sp002293685",0,2
"24178","Patescibacteria","Kazan-3B-28","Kazan-3B-28","UBA10110","2-01-FULL-49-10","2-01-FULL-49-10 sp001771275",0,2
"24179","Patescibacteria","Kazan-3B-28","Kazan-3B-28","UBA10110","UBA10110","UBA10110 sp003524745",0,1
"24180","Patescibacteria","Andersenbacteria","UBA10190","UBA10190","HO2-45-11b","HO2-45-11b sp001817115",0,1
"24181","Patescibacteria","CG2-30-54-11","CG2-30-54-11","CG2-30-54-11","CG2-30-54-11","CG2-30-54-11 sp001873755",0,1
"24182","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","T78","T78 sp002407905",0,6
"24183","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","T78","T78 sp002409625",0,6
"24184","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","T78","T78 sp003532515",0,4
"24185","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","T78","T78 sp001603765",0,3
"24186","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","UBA6107","UBA6107 sp002402725",0,2
"24187","Chloroflexota","Anaerolineae","Anaerolineales","Anaerolineaceae","49-20","49-20 sp002417685",0,1
"24188","Chloroflexota","Dehalococcoidia","SAR202","UBA826","UBA11996","UBA11996 sp002435305",0,2
"24189","Chloroflexota","Dehalococcoidia","SAR202","UBA826","GCA-002712965","GCA-002712965 sp002696685",0,3
"24190","Chloroflexota","Dehalococcoidia","SAR202","UBA826","GCA-2717465","GCA-2717465 sp002717465",0,3
"24191","Chloroflexota","Dehalococcoidia","SAR202","UBA2962","UBA2962","UBA2962 sp002311285",0,3
"24192","Chloroflexota","Dehalococcoidia","UBA3495","UBA3495","UBA9611","UBA9611 sp002816585",0,3
