Kaiju,CZID-nt,CZID-nr,PAM-seq
Thaumarchaeota,,,Thermoplasmatota
Dictyoglomi,,,MD2896-B216
Candidatus Aureabacteria,,,Thermosulfidibacterota
Candidatus Campbellbacteria,,,Gracilibacteria
Candidatus Taylorbacteria,,,Aquificae
candidate division Zixibacteria,,,D4P07G08
Candidatus Coatesbacteria,,,Candidatus Curtissbacteria
Crenarchaeota,,,Aminicenantes
Parabasalia,,,Candidatus Parcubacteria
Ignavibacteriae,,,Euryarchaeota
Armatimonadetes,,,LKM15
,,,Chordata
,,,Breviatea
,,,Synergistetes
,,,AK8
,,,Candidatus Moraniibacteriota
,,,Tectomicrobia
,,,Zoopagomycotina
,,,Caldiserica
,,,Oomycota
,,,Endomyxa
,,,Preaxostyla
,,,Deferribacterota
,,,Spirochaetota
,,,Candidatus Melainabacteria
,,,Arthropoda
,,,Thermoproteota
,,,Candidatus Collierbacteria
,,,Dadabacteria
,,,Gastrotricha
,,,Candidatus Rokuibacteriota
,,,Candidatus Amesbacteria
,,,Candidatus Bathyarchaeota
,,,Aenigmarchaeota
,,,Rotifera
,,,Cloacimonetes
,,,Foraminifera
,,,Saccharibacteria
,,,candidate division WWE3
,,,Marinimicrobia (SAR406 clade)
,,,Excavata
,,,Nemertea
,,,Chlorobiota
,,,Elusimicrobia
,,,Dinoflagellata
,,,MSBL1
,,,Gemmatimonadetes
,,,Verrucomicrobia
,,,BJ-169
,,,NAMAKO-1
,,,Candidatus Parvarchaeota
,,,Candidatus Methylomirabilota
,,,Candidatus Kapaibacteriota
,,,Fusobacteriota
,,,Nanohaloarchaeota
,,,RsaHf231
,,,RCP2-54
,,,Bacteroidota
,,,Thermotogota
,,,Candidatus Daviesbacteria
,,,SBR1093
,,,Parvarchaeota
,,,Euglenozoa
,,,Deinococcus-Thermus
,,,Marine Benthic Group E
,,,Gnathostomulida
,,,Aigarchaeota
,,,Ascomycota
,,,Campylobacterota
,,,Basidiomycota
,,,Candidatus Berkelbacteria
,,,Apicomplexa
,,,SAR
,,,Candidatus Aminicenantota
,,,Archaeplastida
,,,Ochrophyta
,,,Armatimonadota
,,,Cryptomycota
,,,Desulfobacterota
,,,Orthonectida
,,,Nanoarchaeota
,,,Woesearchaeota (DHVEG-6)
,,,Nitrospirae
,,,Tubulinea
,,,Deferribacteres
,,,Fornicata
,,,Mucoromycota
,,,Firmicutes
,,,Metazoa (Animalia)
,,,Marine Hydrothermal Vent Group 1(MHVG-1)
,,,SR1 (Absconditabacteria)
,,,Thermomicrobiota
,,,Nitrospinota
,,,Chloroflexota
,,,Chlorophyta
,,,Candidatus Nomurabacteria
,,,Atribacterota
,,,Thaumarchaeota
,,,Dictyoglomi
,,,Actinobacteriota
,,,Candidatus Campbellbacteria
,,,Echinodermata
,,,Lokiarchaeota
,,,Synergistota
,,,Brachiopoda
,,,Crenarchaeota
,,,Parabasalia
,,,Ignavibacteriae
,,,Armatimonadetes
