Genus,OL-16S-1a,OL-16S-1b,OL-16S-2a,OL-16S-2b,OL-16S-3a,OL-16S-3b,OL-16S-4a,OL-16S-4b
Lewinella,0.0,0.0,0.0,0.0,0.006202221260637531,0.0,0.00791313949208686,0.016986706056129987
LiUU-11-161,0.012272950417280314,0.017479560191711305,0.014233128834355829,0.00835820895522388,0.0,0.0,0.0,0.0
Lineage_IIa,0.0,0.0,0.0026993865030674846,0.0,0.0,0.0,0.0,0.0
Litoricola,0.0,0.0,0.0,0.0,0.013125631039953845,0.018732358224275082,0.013801987486198012,0.0155096011816839
Longivirga,0.015954835542464407,0.0,0.0,0.012338308457711443,0.0,0.0,0.0,0.0
Luminiphilus,0.0,0.0,0.0,0.0,0.010096639261502957,0.022068257634077496,0.010305483989694516,0.01070901033973412
Luteibaculum,0.0,0.0,0.0,0.0,0.0,0.0,0.001104158998895841,0.0
Luteolibacter,0.008836524300441826,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MB-A2-108,0.006136475208640157,0.004792782633211165,0.0,0.0,0.0,0.0,0.0,0.0
MD3-55,0.0012272950417280314,0.0,0.00147239263803681,0.0,0.0,0.0,0.0,0.0
MSB-3C8,0.0,0.0,0.0,0.0,0.0021635655560363477,0.003079291762894534,0.002208317997791682,0.00258493353028065
MSBL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0012881854987118145,0.0
MSBL5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009231905465288035
MSBL7,0.0,0.0,0.0,0.0,0.0,0.0,0.0034965034965034965,0.0
MSBL8,0.0,0.0,0.0,0.0,0.00043271311120726956,0.0,0.0,0.0
MWH-UniP1_aquatic_group,0.05179185076092293,0.028192839018889203,0.04,0.04,0.009808163854031444,0.007441621760328458,0.0,0.0075701624815361895
Malonomonas,0.0,0.0,0.0,0.0,0.005192557334487235,0.0,0.0,0.0
Marine_Group_II,0.0,0.0,0.0,0.0,0.004182893408336939,0.0,0.0,0.004246676514032497
Marinicella,0.0,0.0,0.0,0.0,0.00865426222414539,0.006928406466512702,0.006993006993006993,0.006462333825701625
Marinimicrobia_(SAR406_clade),0.005891016200294551,0.006484352974344516,0.005644171779141104,0.00955223880597015,0.0,0.0,0.002576370997423629,0.0
Marinobacter,0.0,0.0,0.0,0.0,0.0038944180008654264,0.0,0.0,0.0
Marinomonas,0.0,0.0,0.0,0.0,0.014856483484782922,0.016936104695919937,0.008833271991166729,0.008862629246676515
Marinoscillum,0.0,0.0,0.0,0.0,0.004182893408336939,0.0,0.011777695988222304,0.012740029542097488
Mariprofundus,0.0031909671084928816,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methanobacterium,0.0,0.0,0.0,0.001990049751243781,0.0,0.0,0.0,0.0
Methyloceanibacter,0.0,0.0,0.0,0.0,0.008077311409202365,0.011290736463946625,0.0,0.016617429837518464
Methylomicrobium,0.0,0.008739780095855652,0.0,0.0,0.0,0.0,0.0,0.0
Muriicola,0.0,0.0,0.0,0.0,0.02581854896870042,0.01821914293045933,0.010121457489878543,0.04597488921713442
Myrionecta,0.004663721158566519,0.0031012122920778123,0.0,0.0,0.0,0.0,0.0,0.0
NS11-12_marine_group,0.038782523318605794,0.016633775021144628,0.04834355828220859,0.042388059701492536,0.016875811337083515,0.01437002822684116,0.015458225984541774,0.01809453471196455
NS2b_marine_group,0.0,0.0,0.0,0.0,0.010240876965238713,0.0056453682319733125,0.01104158998895841,0.007200886262924667
NS3a_marine_group,0.0,0.002537355511700028,0.00785276073619632,0.0,0.0,0.0,0.0,0.0
NS4_marine_group,0.0,0.0,0.0,0.0,0.01615462281840473,0.022324865280985373,0.022819285977180713,0.009601181683899557
NS5_marine_group,0.00859106529209622,0.010713278827177897,0.012024539877300613,0.010945273631840797,0.02452040963507861,0.02283808057480113,0.024291497975708502,0.022710487444608567
NS7_marine_group,0.0,0.0,0.0,0.0,0.0,0.0,0.002944423997055576,0.001846381093057607
NS9_marine_group,0.0,0.0,0.0,0.0,0.0037501802971296695,0.0,0.0,0.004985228951255539
Nitrosarchaeum,0.0,0.0,0.0,0.0027860696517412937,0.0,0.0,0.0,0.0
Nitrospira,0.016200294550810016,0.0,0.010061349693251533,0.014129353233830846,0.0,0.0,0.0,0.0
Nonlabens,0.0,0.0,0.0,0.0,0.0031732294821866435,0.0023094688221709007,0.0,0.0
Novosphingobium,0.018654884634266077,0.0,0.0,0.012736318407960199,0.0,0.0,0.0,0.0
OC31,0.0,0.0,0.0,0.0011940298507462687,0.0,0.0,0.0,0.0
OLB14,0.0,0.0,0.00147239263803681,0.0,0.0,0.0,0.0,0.0
OM182_clade,0.0,0.0,0.0,0.0,0.009375450742824174,0.025660764690787787,0.013986013986013986,0.007385524372230428
OM190,0.0,0.0,0.0,0.0,0.024953122746285878,0.03900436232999743,0.03183658446816342,0.021048744460856722
OM27_clade,0.010063819342169858,0.013532562729066817,0.014478527607361963,0.013532338308457712,0.0,0.004105722350526046,0.004784688995215311,0.0
OM43_clade,0.022827687776141383,0.0,0.013006134969325154,0.0,0.008077311409202365,0.008981267641775726,0.0,0.0
OM60(NOR5)_clade,0.0,0.0,0.0,0.0,0.009519688446559932,0.0,0.01104158998895841,0.012555391432791729
Oleiphilus,0.0,0.0,0.0,0.0,0.009808163854031444,0.01667949704901206,0.010857563489142437,0.005539143279172821
P.palmC41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027695716395864105
P3OB-42,0.0,0.0,0.0,0.0,0.0,0.0,0.0020242914979757085,0.0
