Genus,OL-PAMA-1a,OL-PAMA-1b,OL-PAMA-2a,OL-PAMA-2b,OL-PAMA-3a,OL-PAMA-3b,OL-PAMA-4a,OL-PAMA-4b
"=""AEGEAN-169_marine_group""",0.0014704195388514042,0.001352702464271011,0.003610415890089994,0.0029170369595901513,0.001069581830386451,0.0012454819180421537,0.0011608028534644689,0.00037399204582770824
"=""AKAU3564_sediment_group""",0.0,0.0,0.0,0.0,9.589354341395767e-05,0.0002696404152462395,0.0,0.00012314372240668442
"=""AKYG1722""",0.0,0.0,0.0,0.0,0.0,0.0,0.00014773854498638695,0.0
"=""AKYH767""",0.001032422229406305,0.0,0.0010330688535065764,0.0003659365361493021,0.0,0.0,0.0,0.0
"=""AT-s3-28""",0.0,0.0,0.0,0.0,0.00010326996983041596,0.0,0.0001371857917730736,8.665669354544459e-05
"=""Absconditabacteriales_(SR1)""",0.000114713581045145,0.0,0.0,0.0,9.589354341395767e-05,0.0,0.0007597982313585614,0.0003876746816506732
"=""Acanthopleuribacter""",0.0,0.0,0.0,0.0,0.00036144489440645584,0.00018618028671764155,0.001371857917730736,0.0001915569015215091
"=""Acari""",0.0,0.0,3.195058309814154e-05,0.0,0.002426844291014775,0.0,0.0,0.0011128543802678148
"=""Acholeplasma""",0.0,0.0,0.0,0.0,0.0005015969963191632,0.00033384051411439175,0.0010236170616913954,0.0007434232130477615
"=""Acidaminobacter""",0.0,0.0,0.00020235369295489643,0.0,0.0,0.0,0.0,0.0
"=""Acidibacter""",0.0003754262652386564,0.0,0.0007242132168912083,0.0,0.0,0.0,0.0,0.0
"=""Acidovorax""",0.0,0.0007645709580662236,0.0,0.0,0.0001253992490797908,0.0,0.0,0.0
"=""Acinetobacter""",0.00021899865472254957,0.0004607030131937501,0.0,4.18213184170631e-05,0.0001253992490797908,0.0,8.442202570650683e-05,0.00015963075126792424
"=""Acoela""",0.0,4.901095885039895e-05,0.11687523297300176,0.10604840817606775,0.06463962468742393,0.36784088647496516,0.2193811865515713,0.07295581420804904
"=""Acrophormium_PCC-7375""",0.0,0.0,0.0,0.0,0.0,1.9260029660445678e-05,0.0,0.0
"=""Actibacter""",0.0,0.0,0.0011502209915330954,0.00020910659208531548,0.0005311027019849964,0.00035952055366165266,0.0006964817120786814,0.0002645309592439888
"=""Actiniaria""",0.0,0.0,0.0,0.0,0.0014752852832916564,0.03185608905837715,0.023089424030729618,0.012765899222826286
"=""Actinocyclus""",0.0,0.0,0.0,0.0,0.0,0.00034026052400120695,0.0016040184884236297,0.0
"=""Actinoptychus""",0.0,0.0,0.0,0.0,0.00036144489440645584,0.0,0.0,0.0
"=""Aestuariibacter""",0.0,0.0,0.0,0.0,0.000442585584987497,0.0,0.0,4.560878607654979e-05
"=""Aestuariicella""",0.0,0.0,0.0,0.0,0.0,0.0,0.0002849243367594605,0.0001915569015215091
"=""Ahrensia""",0.0,0.0,0.0,0.0,0.0005679848340672878,0.0003466805338880222,0.0,0.0
"=""Alcanivorax""",0.0,0.0,0.0,0.0,0.00039832702648874725,4.494006920770658e-05,0.0,0.00013682635822964936
"=""Algimonas""",0.0,0.0,0.0,0.0,0.00019178708682791534,0.0,0.0,0.0
"=""Algivirga""",0.0,0.0,0.0,0.0,0.0004647148642368718,0.00016050024717038065,0.0,0.0002508483234210238
"=""Aliikangiella""",0.0,0.0,0.0,0.0,0.0,0.00028890044490668514,0.0,0.0
