Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,SampleID,Count
95a5dc25571c3ac119118700efe0b82c,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,496.0
5105e24911d22104b2bb17802b030af3,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Cryptocaryon,Unassigned,OL-PAMA-1a,36.0
778e9e260a455d122ba19737e409f980,Eukaryota,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,302.0
23041d27324fed40b2c718bc10070c5a,Eukaryota,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoeca,Unassigned,OL-PAMA-1a,251.0
79c7433d6038c61456340f8bd6a6cec0,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Unassigned,Unassigned,OL-PAMA-1a,341.0
f2a3904a67043abf2339a7b862647e7f,Eukaryota,Ochrophyta,Chrysophyceae,Unassigned,Unassigned,Unassigned,Unassigned,OL-PAMA-1a,185.0
f6c8f0937135f5780b7e10ae4028797a,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Cryptocaryon,Unassigned,OL-PAMA-1a,4.0
d36e1f0b7cb75c5bdc853612cfe579ce,Eukaryota,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoeca,Unassigned,OL-PAMA-1a,235.0
dae3f0c4535bc11f23eee32985697090,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Unassigned,Unassigned,OL-PAMA-1a,287.0
d8242b48459419026c02688d0e0534b7,Eukaryota,Chytridiomycota,Chytridiomycetes,uncultured,uncultured,uncultured,Unassigned,OL-PAMA-1a,192.0
949e892329635bb74d186b2a9e19503a,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,Unassigned,OL-PAMA-1a,64.0
cff991300f79b00f193f714390372c0c,Eukaryota,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoecida,Bicosoeca,Unassigned,OL-PAMA-1a,19.0
12d2be6e17412da8acbd6638837635e3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,OL-PAMA-1a,102.0
5d4de897ca7f4f2c3aa69b5589cf7efa,Eukaryota,Cercozoa,Imbricatea,Imbricatea,Euglyphida,Paulinella,Unassigned,OL-PAMA-1a,56.0
0781173293ee0e02984111381533a1ce,Eukaryota,Labyrinthulomycetes,Labyrinthulomycetes,Labyrinthulomycetes,Thraustochytriaceae,uncultured,Unassigned,OL-PAMA-1a,86.0
f875f05f07282b9691c7d9372c5592f3,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Teleaulax,Unassigned,OL-PAMA-1a,115.0
0a9cde6d481f5e2982c063e25f63c5ac,Eukaryota,Centrohelida,Centrohelida,Centrohelida,CV1-B1-93,CV1-B1-93,Unassigned,OL-PAMA-1a,116.0
4cc255e543a92170465fd07c2e9fb882,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,Unassigned,OL-PAMA-1a,85.0
062e4e0b668b9910786679c57016333d,Eukaryota,Ciliophora,Intramacronucleata,Conthreep,Prostomatea,Prorodon,Unassigned,OL-PAMA-1a,151.0
d4ce1b987058ed25b1cd359e75382489,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,Unassigned,OL-PAMA-1a,56.0
fd5825ecebf978ef2674f40bcf561738,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),Unassigned,OL-PAMA-1a,25.0
2c172bc9a83cb07da7fea7da042e01ea,Eukaryota,Cercozoa,Novel_Clade_10,Novel_Clade_10,Novel_Clade_10,Novel_Clade_10,Unassigned,OL-PAMA-1a,45.0
1f06b2a7493a5e70f3e64694f4f560b5,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,MWH-UniP1_aquatic_group,MWH-UniP1_aquatic_group,Unassigned,OL-PAMA-1a,70.0
a538dc9957d5d4dbff402a8ba56510ec,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned,OL-PAMA-1a,169.0
6612c475d16972a056429cee649fd7fe,Eukaryota,Holozoa,Choanoflagellida,Craspedida,Salpingoecidae,Hartaetosiga,Unassigned,OL-PAMA-1a,41.0
2fd2a02a6e72339f7f2aa4a926d7041b,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,Unassigned,OL-PAMA-1a,58.0
cf540148c792abf95a11c7906a8a1d5c,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),Unassigned,OL-PAMA-1a,35.0
a50141420f555636440b4a03fb10fb22,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,OL-PAMA-1a,39.0
846250f6b850458207e51872969b4970,Eukaryota,Mollusca,Bivalvia,Veneroida,Veneroida,Veneroida,Unassigned,OL-PAMA-1a,51.0
0274667493d3a10ebc729df4dffb29fd,Eukaryota,Diatomea,Mediophyceae,Mediophyceae,Mediophyceae,Skeletonema,Unassigned,OL-PAMA-1a,6.0
f2a08e9854473024da9d6242e91a7012,Eukaryota,Ochrophyta,Eustigmatophyceae,Eustigmatales,Eustigmatales,uncultured,Unassigned,OL-PAMA-1a,125.0
e183505d969cb17e0a7d4f5be8b97abf,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,Unassigned,OL-PAMA-1a,56.0
32589b6db32be3f6f5f8fe040011a4a7,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Oligotrichia,Unassigned,Unassigned,OL-PAMA-1a,142.0
e91621f92bf58b01debb32b34158527a,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Unassigned,Unassigned,OL-PAMA-1a,76.0
75d5ab0160e3a1eb5b7fa54266fbd988,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,RS62_marine_group,Unassigned,OL-PAMA-1a,101.0
7dce8b6b6cee68f693cece87c3257862,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Actinomarinaceae,Candidatus_Actinomarina,Unassigned,OL-PAMA-1a,45.0
1ec521637fcf3111b16dadcd310e2334,Eukaryota,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Incertae_Sedis,Pirsonia,Unassigned,OL-PAMA-1a,70.0
52ea8d2f0f831c81a331d80e4dab22bb,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,Unassigned,OL-PAMA-1a,116.0
43a20a2884f7867862706e689879b989,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned,OL-PAMA-1a,71.0
da232ec359404a46586087531dd48649,Eukaryota,Gastrotricha,Gastrotricha,Chaetonotida,Chaetonotida,Chaetonotida,Unassigned,OL-PAMA-1a,264.0
201fd2cbdc4b48de30d7b3359862d133,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Protaspis,Unassigned,OL-PAMA-1a,152.0
76cd0dccce01ed6e7fed82e93a6d6c72,Eukaryota,Cryptophyceae,Cryptophyceae,Cryptomonadales,Cryptomonadales,Teleaulax,Unassigned,OL-PAMA-1a,86.0
82e46bd59977c801950580fd8f223724,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,Unassigned,OL-PAMA-1a,62.0
ae474f10ac46e89ed901f4da0e121589,Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Choreotrichia,Unassigned,Unassigned,OL-PAMA-1a,30.0
7dba01907b64dd9904ee42963c77f462,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Unassigned,Unassigned,OL-PAMA-1a,98.0
6197bbdc8aa8768de7c4ea325b015dac,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Unassigned,Unassigned,OL-PAMA-1a,52.0
b9d28fa1521e192c55bca208629d053c,Eukaryota,Arthropoda,Maxillopoda,Calanoida,Calanoida,Calanoida,Unassigned,OL-PAMA-1a,80.0
38d5cb19dbfe62975f1d3021cc241b1c,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,Unassigned,OL-PAMA-1a,77.0
48a0767799acce8440762c32db0f896c,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Schlesneriaceae,Planctopirus,Unassigned,OL-PAMA-1a,85.0
62b8595b5d9c0c0d65d17991a2ba5f4e,Eukaryota,Cercozoa,Thecofilosea,Cryomonadida,Protaspidae,Cryothecomonas,Unassigned,OL-PAMA-1a,221.0
71fad557d6b3a72e675df641efbd068d,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_III,Clade_III,Unassigned,OL-PAMA-1a,70.0
4c071368e65ec3555769995fb65941c1,Bacteria,Actinobacteriota,Actinobacteria,PeM15,PeM15,PeM15,Unassigned,OL-PAMA-1a,23.0
4c3c92a6427fc085439d22ae843b8bc8,Eukaryota,Chlorophyta,Trebouxiophyceae,Incertae_Sedis,Incertae_Sedis,Picochlorum,Unassigned,OL-PAMA-1a,118.0
0499e316b9ef570398e61a537db57f6a,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Unassigned,Unassigned,OL-PAMA-1a,36.0
efc752a47be5f25bef32f1c06a1f017c,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Unassigned,Unassigned,OL-PAMA-1a,35.0
a289b6168bc9db552c5880b8c9c7cced,Eukaryota,Diatomea,Bacillariophyceae,Bacillariophyceae,Bacillariophyceae,Unassigned,Unassigned,OL-PAMA-1a,90.0
