genus,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acacia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthamoeba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2e-05,0.0,7.000056000448003e-06,2.000020000200002e-06,6.000048000384003e-06,4.000024000144001e-06,1.0000080000640005e-06,3.437893550071715e-06,4.125050531737528e-06,8.255040277991764e-06,4.811668671908823e-06,4.125336624746889e-06
Acanthephyra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,0.0,1.3747624776882351e-06,0.0
Acanthoceras,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000300003000036e-05,0.0,0.0,5e-05,0.0,4.500036000288002e-05,6.400064000640006e-05,2.5000200001600016e-05,9.1000546003276e-05,4.500036000288002e-05,3.162862066065978e-05,3.918798005150651e-05,2.8892640972971176e-05,5.4303117868685296e-05,6.463027378770126e-05
Acanthocheilonema,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthocnemus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthocyclops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthodendrilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthophora,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acanthopleuribacter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
