phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Fidelibacterota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,1e-05,2.000020000200002e-05,2.000016000128001e-06,6.000060000600006e-06,3.000024000192002e-06,2.000012000072001e-06,1.0000080000640005e-06,6.87578710014343e-06,2.7500336878250184e-06,5.503360185327843e-06,4.811668671908823e-06,2.0626683123734445e-06
Foraminifera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,2.000020000200002e-05,0.0,2e-05,0.0,0.0,2.000016000128001e-06,3.0000300003000026e-06,0.0,3.0000180001080015e-06,1.0000080000640005e-06,4.125472260086058e-06,2.7500336878250184e-06,2.0637600694979405e-06,4.8116686719088236e-06,2.062668312373444e-06
Fornicata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,1.0000060000360005e-06,1.0000080000640005e-06,0.0,0.0,0.0,6.873812388441177e-07,0.0
Fusobacteriota,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.00030000000000000003,0.0001,0.0001,9.00009000090001e-05,4e-05,5e-05,6.000000000000001e-05,6.000060000600006e-05,6.200049600396803e-05,5.200052000520005e-05,5.700045600364803e-05,6.300037800226802e-05,5.600044800358403e-05,5.019324583104704e-05,6.325077481997542e-05,5.9161121992274306e-05,6.186431149597058e-05,6.188004937120333e-05
Gastrotricha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gemmatimonadota,0.0,0.001,0.0,0.001,0.0,0.0002,0.0,0.0001,0.00039999999999999996,0.0,0.00011000110001100013,8e-05,8e-05,0.00013000000000000002,0.00016000160001600016,0.00011700093600748805,0.0001110011100111001,0.00013800110400883207,0.00013300079800478804,0.00012500100000800005,0.00011826353812246701,0.00013131410859364463,0.00013964776470269403,0.00013610148529113528,0.00012513521095065564
Gnathostomulida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haptophyta,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0,4.0000400004000046e-05,7.000000000000001e-05,1e-05,2e-05,2.000020000200002e-05,3.1000248001984015e-05,3.700037000370003e-05,4.500036000288003e-05,4.900029400176401e-05,4.2000336002688025e-05,4.2629880020889264e-05,4.056299689541903e-05,3.5083921181465e-05,3.4369061942205884e-05,3.850314183097096e-05
Heterolobosea,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,1e-05,3.0000000000000004e-05,1.000010000100001e-05,6.000048000384003e-06,1.6000160001600015e-05,9.000072000576005e-06,8.000048000288004e-06,1.2000096000768004e-05,6.87578710014343e-06,1.1687643173256331e-05,1.1694640393821666e-05,4.8116686719088236e-06,2.062668312373444e-06
Hofneiviricota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,2.062736130043029e-06,0.0,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
