genus,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Actinobacillus,,0.00353356890459364,,,,0.00033277870216306157,,0.00033355570380253505,,,0.0001707358716066247,0.00020388745412532286,0.00027587158177868205,0.00017313618892620934,0.00030512611879576914,0.000139219904468636,0.0003492584079803886,0.00028063734391613014,0.00021500610286554828,0.0002362626575223186,0.000265618598704339,0.0002321194761762183,0.0003070441804968443,0.00022027421892561474,0.00026345002443106647
Actinobaculum,,,,,,,,,,,,,,,,,,3.3016158107780017e-06,,3.327643063694628e-06,2.251005073765584e-06,,4.5153555955418275e-06,,
Actinocatenispora,,,,,,,,,,,3.414717432132494e-05,,3.4483947722335256e-05,,,2.320331741143933e-05,1.3305082208776706e-05,1.650807905389001e-05,1.984671718758907e-05,1.663821531847314e-05,1.3506030442593507e-05,2.253587147341925e-05,1.3546066786625484e-05,1.348617666891519e-05,1.1258548052609677e-05
Actinocorallia,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocrinis,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocrispum,,,,,,,,,,,,,,,,,,,,,,,,,
Actinocyclus,,,,,0.0034364261168384875,,,0.00033355570380253505,,,6.829434864264989e-05,,3.4483947722335256e-05,3.462723778524187e-05,3.390290208841879e-05,5.3036154083289895e-05,7.317795214827188e-05,8.584201108022804e-05,0.00013231144791726044,4.325935982803016e-05,4.5020101475311694e-05,7.887555015696738e-05,7.450336732644015e-05,6.0687795010118356e-05,8.781667481035548e-05
Actinokineospora,,,,,,,,,,,,,,,,9.944278890616857e-06,9.97881165658253e-06,6.603231621556003e-06,1.3231144791726046e-05,1.3310572254778513e-05,9.004020295062337e-06,1.5775110031393482e-05,1.806142238216731e-05,6.743088334457595e-06,1.5761967273653545e-05
Actinomadura,,,,,,0.00033277870216306157,,,,,0.00010244152296397482,0.0001359249694168819,6.896789544467051e-05,0.00017313618892620934,0.00016951451044209395,0.0001226461063176079,0.00013305082208776706,0.00015187432729578808,7.277129635449326e-05,9.650164884714422e-05,0.00011705226383581041,0.00011042577021975434,0.00011288388988854567,0.00010788941335132152,7.880983636826774e-05
Actinomarinicola,,,,,,,,,,,0.0001707358716066247,0.00010194372706266142,0.00017241973861167626,0.0004155268534229024,0.00013561160835367516,0.00018894129892172025,0.00016298725705751467,0.00015517594310656609,0.000142234806511055,0.00010315693497453348,0.00016882538053241883,0.00013296164169317358,0.0001760988682261313,0.00018206338503035506,0.00011708889974714066
Actinomortierella,,,,,,,,,,,,,,,,,,3.3016158107780017e-06,,,,,,,
Actinomyces,,,,,,,,,,,0.0001707358716066247,6.796248470844094e-05,0.00013793579088934102,0.00010388171335572561,3.390290208841879e-05,7.292471186452361e-05,9.646184601363112e-05,6.273070040478203e-05,8.931022734415081e-05,8.651871965606033e-05,6.302814206543637e-05,6.986120156759968e-05,9.030711191083654e-05,0.00010788941335132152,8.781667481035549e-05
Actinomycetospora,,,,,,,,,,,,,,,,,,,,,,,,,
Actinophrys,,,,,,,,,,,,,,,,3.3147596302056184e-06,,,,,,,,,
Actinophytocola,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoplanes,,,,,,0.00033277870216306157,,0.0006671114076050701,,0.0003506311360448808,0.00027317739457059955,0.0001359249694168819,0.00013793579088934102,0.0002077634267114512,0.00013561160835367516,0.00013259038520822475,0.00013637709263996124,0.00015187432729578808,0.00015215816510484953,0.00013976100867517437,0.0001598213602373565,0.00012169370595646396,0.0001625528014395058,0.00012137559002023671,0.0001643748015681013
Actinopolymorpha,,,,,,,,,,,6.829434864264989e-05,3.398124235422047e-05,,3.462723778524187e-05,0.0001017087062652564,1.3259038520822474e-05,2.6610164417553412e-05,1.980969486466801e-05,3.307786197931511e-05,2.6621144509557025e-05,1.8008040590124673e-05,2.9296632915445024e-05,2.0319100179938224e-05,1.348617666891519e-05,1.3510257663131614e-05
Actinopolyspora,,,,,,,,,,,,,,,,3.3147596302056184e-06,,9.904847432334006e-06,1.6538930989657555e-05,3.327643063694628e-06,4.502010147531168e-06,1.80286971787354e-05,4.5153555955418275e-06,2.247696111485865e-06,
Actinoptychus,,,,,,,,,,,,,,,,3.3147596302056184e-06,9.978811656582529e-06,3.3016158107780017e-06,,2.6621144509557025e-05,,4.50717429468385e-06,,,
Actinorhabdospora,,,,,,,,,,,,,,,,,,,,,,,,,
Actinorugispora,,,,,,,,,,,,,,,,,,,,,,,,,
Actinospica,,,,,,,,,,,,,,,,,,,,,,,,,
Actinosynnema,,,,,,,,,,,6.829434864264989e-05,,,3.462723778524187e-05,,1.3259038520822474e-05,9.97881165658253e-06,3.9619389729336024e-05,1.984671718758907e-05,3.327643063694628e-06,2.476105581142143e-05,6.760761442025775e-06,1.806142238216731e-05,1.348617666891519e-05,9.006838442087743e-06
Actinotalea,,,,,,,,,,,,,,,3.390290208841879e-05,3.314759630205619e-05,1.663135276097088e-05,6.603231621556003e-06,6.615572395863025e-06,2.3293501445862395e-05,2.0259045663890265e-05,2.253587147341925e-06,1.5803744584396395e-05,1.348617666891519e-05,1.8013676884175485e-05
Actinotignum,,,,,,,,,,,,,,,,,3.3262705521941765e-06,,,6.655286127389256e-06,,4.50717429468385e-06,4.5153555955418275e-06,2.247696111485865e-06,4.503419221043871e-06
Actinotrichia,,,,,,,,,,,,,,,,,,,3.3077861979315123e-06,,,,,2.247696111485865e-06,
Actirhodobacter,,,,,,,,,,,,,,,,,,,,,,,,,
