order,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acidilobales,,,,,,,,,,,,,,,,,1.3747272884741498e-06,,,1.3754760866605714e-06,9.421429984643623e-07,1.8822271641143156e-06,,,9.387458918133454e-07
Acidimicrobiales,0.007102272727272727,,0.009985734664764621,,0.0014619883040935674,0.004674945215485756,0.00508794882977177,0.005508044644151327,0.0028464419475655433,0.0056682577565632455,0.004513614115302323,0.004808165445880021,0.004270094562647754,0.003952737164229853,0.0043660765677864975,0.004599102802500725,0.004441743869059975,0.004276399704848833,0.004417006162591415,0.004215834205614237,0.0044167663768005135,0.004495699581486579,0.004477028200952703,0.004414341492180582,0.00438769829833507
Acidithiobacillales,,,,,,,,0.00014494854326714017,0.000299625468164794,,2.9309182566898228e-05,7.029481646023423e-05,7.387706855791962e-05,0.00018417771732970645,0.0001123106512613891,8.690566183490072e-05,8.110891001997485e-05,6.446144519817443e-05,6.750882781253863e-05,7.427570867967086e-05,7.25450108817559e-05,0.00010916917551863031,8.179366935802797e-05,7.042663516561927e-05,7.791590902050767e-05
Acidothermales,,,,,,,,,,,,1.4058963292046846e-05,,,1.4038831407673637e-05,5.517819799041315e-06,1.3747272884741498e-06,,2.7554623596954548e-06,2.750952173321143e-06,1.8842859969287245e-06,9.411135820571578e-07,2.8204713571733784e-06,7.512174417666056e-06,9.387458918133454e-07
Acoela,,,,,,,,,,,,,,1.4167516717669727e-05,,,,,1.3777311798477274e-06,,,9.411135820571578e-07,,,
Acrochaetiales,,,,,,,,,,,1.4654591283449114e-05,,,,,,,,,,,,,9.39021802208257e-07,
Acrospermales,,,,,,,,,,,,,,,1.4038831407673637e-05,,1.3747272884741498e-06,,2.7554623596954548e-06,,9.421429984643623e-07,1.8822271641143156e-06,9.401571190577927e-07,9.39021802208257e-07,
Acrosymphytales,,,,,,,,,,,,,,,,,,,,,,,,,
Actiniaria,,,,,0.0014619883040935674,0.0001460920379839299,,0.00028989708653428034,0.000299625468164794,0.0002983293556085919,4.3963773850347354e-05,9.841274304432792e-05,0.00011820330969267139,0.00019834523404737615,0.0001403883140767364,0.0001586373192224378,0.0002295794571751829,0.00017418305404613092,0.00015155042978324997,0.00011691546736614858,0.00018654431369594373,0.0002983330055120148,0.00020307393771648328,0.00021691403631010736,0.0001774229735527223
Actinomycetales,,,,,,0.0004382761139517896,,0.0010146398028699811,0.0004494382022471911,0.0007458233890214797,0.0005275652862041677,0.0006748302380182486,0.000576241134751773,0.0005100306018361102,0.0007159804017913549,0.00038072956613376786,0.00041654236840766716,0.00045671619682954737,0.00042296347221304275,0.0004153937781712998,0.000427732921302739,0.0004959668577439138,0.000490762016148118,0.00047796209732387825,0.0004421493150440641
Actinopolysporales,,,,,,,,,,,1.4654591283449114e-05,,,,,2.7589098995206576e-06,,2.743040221198912e-06,2.7554623596954548e-06,1.3754760866605714e-06,1.8842859969287245e-06,,1.8803142381155855e-06,9.39021802208257e-07,2.8162376754400364e-06
Acytosteliales,,,,,,,,,,,,5.623585316818738e-05,2.9550827423167847e-05,7.083758358834864e-05,7.01941570383682e-05,6.0696017789454476e-05,6.186272798133674e-05,6.720448541937333e-05,5.5109247193909084e-05,3.301142607985372e-05,6.971858188636282e-05,6.870129149017253e-05,4.042675611948509e-05,7.606076597886881e-05,5.4447261725174034e-05
Adapedonta,,,,,,,,,,,,,,,,,,,,,,,,9.39021802208257e-07,
Adinetida,,,,,,0.0001460920379839299,,,,0.0002983293556085919,5.8618365133796456e-05,4.217688987614054e-05,8.865248226950354e-05,1.4167516717669727e-05,9.827181985371547e-05,4.5522013342090855e-05,4.261654594269864e-05,5.62323245345777e-05,4.546512893497499e-05,5.7769995639744e-05,6.0297151901719185e-05,4.8937906266972216e-05,5.358895578629419e-05,5.915837353912019e-05,6.852845010237421e-05
Aeromonadales,,,,,,0.0005843681519357196,0.0011629597325192617,0.00014494854326714017,0.000149812734082397,0.0008949880668257757,0.0004396377385034735,0.00026712030254889005,0.0004580378250591016,0.0003541879179417432,0.00029481545956114644,0.0004165953948276193,0.0004247907321385123,0.00040185539240564054,0.0004284743969326432,0.0004456542520780251,0.00041265863332739074,0.00041597220326926375,0.00040050693271861975,0.0004422792688400891,0.0003792533402925916
