Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Amylovoracidae,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Anaerolineaceae,,,,,,,,,,,3e-05,6e-05,4e-05,0.0001,5e-05,0.000142,8e-05,0.000256,0.000215,0.00021,0.0003025,0.0002556,0.0002514,0.0002598,0.0002518
Anaeroplasmataceae,,,,,,,,,,,,,,,,,,,,,2.7e-06,2.4e-06,2e-06,2.6e-06,2.5e-06
Anaplasmataceae,,,,,,,,,,,,6e-05,4e-05,,5e-05,6.2e-05,6.2e-05,4.9e-05,5.3e-05,5.1e-05,6.21e-05,6.11e-05,6.4e-05,6.91e-05,6.74e-05
Anaplectidae,,,,,,,,,,,,,,,,,,,,,7e-07,4e-07,6e-07,2e-07,
Ancylistaceae,,,,,,,,,,,0.00035,0.00035,0.0003,0.0003,0.00031,0.000347,0.000291,0.00032,0.000322,0.000305,0.0003171,0.0003168,0.0003162,0.0003185,0.0003142
Ancylodiscoididae,,,,,,,,,,,,,,,,,,,,,1.3e-06,9e-07,1.5e-06,6e-07,1.5e-06
Ancyromonadidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,
Andalucia,,,,,,,,,,,,,,,,,,,,,1.2e-06,,,6e-07,1e-06
Andaluciidae,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,3e-07,2e-07,
Andreaeaceae,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,
Anguinidae,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,,4e-07,4e-07
Anomalinidae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Anomalodesmata,,,,,,,,,,,,,,,,4e-06,1e-05,7e-06,6e-06,5e-06,6.4e-06,6.9e-06,4.8e-06,4.6e-06,6.5e-06
Anomoeoneidaceae,,,,,,,,,,,,,,,,,,,,,,,2.3e-06,1.2e-06,
Anthoathecata,,,,,,,,,,,,,,,,,2.4e-05,,,,1.93e-05,1e-05,2.19e-05,2.19e-05,1.06e-05
