Family,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Lophiostomataceae,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.7e-06,2.1e-06,1.5e-06,1.5e-06
Lottiidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Lowiaceae,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,
Loxoconchidae,,,,,,,,,,,,,,,,2e-06,,,,,5e-07,3e-07,6e-07,8e-07,8e-07
Loxodidae,,,,,,,,,0.0007,,0.0002,0.00027,0.00027,0.00019,0.00029,0.000252,0.000288,0.000243,0.000255,0.000259,0.0002577,0.0002547,0.0002507,0.0002558,0.00026
Lucanidae,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,4e-07,6e-07,5e-07
Lulworthiaceae,,,,,,,,,,,,,,,,,,,,,,4e-07,9e-07,7e-07,4e-07
Lycidae,,,,,,,,,,,,,,,,,,,,3e-06,6.5e-06,5.9e-06,8.6e-06,6.8e-06,1.07e-05
Lycopodiaceae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07
Lygaeidae,,,,,,0.0003,,,,,0.00026,0.00033,0.00031,0.00036,0.00036,0.000329,0.000342,0.000358,0.000343,0.000336,0.0003503,0.0003433,0.0003443,0.0003426,0.0003445
Lyophyllaceae,,,,,,,,,,,,,,,,,,5e-06,,7e-06,5e-06,4.9e-06,4.4e-06,5e-06,5.6e-06
Lyrellaceae,,,,,,,,,,,,,,,,,,,,,,5e-07,,,
Lysobacteraceae,,,,,,,,,,,,,,,,1.3e-05,2.6e-05,1.2e-05,1.9e-05,,1.77e-05,1.84e-05,2.01e-05,1.67e-05,2.1e-05
Lythraceae,,,,,,,,,,,,,,,,,,,2e-06,,5e-07,2e-07,1.1e-06,2e-07,2e-07
M2PB4-65 termite group,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,3e-07,2e-07
MAST-12C,,,,,,,,,,,,,,,,,,,,2e-06,1.6e-06,2.1e-06,2e-06,2.2e-06,2.5e-06
MAST-12E,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,3e-07,
MAST-1A,,,,,,,,,,,,,,,,,,,2e-06,,9e-07,6e-07,4e-07,7e-07,8e-07
MAST-1C,,,,,,,,,,,,,,,,,,,,,2.4e-06,1.7e-06,1.6e-06,,1.1e-06
MAST-3E,,,,,,,,,,,,,,,,,,2e-06,,,4e-07,9e-07,5e-07,5e-07,7e-07
MAST-3I,,,,,,,,,,,,,,,,,1.5e-05,,1.2e-05,,4.8e-06,,1.95e-05,1.85e-05,1.79e-05
MAST-3L,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,2e-07,
MAST-9A,,,,,,,,,,,,,,,,,,,,,,,,,5e-07
MAT-CR-H6-H10,,,,,,,,,,,,,,,,,,,,,4.9e-06,4.8e-06,4.9e-06,2.8e-06,3.4e-06
MB-A2-108,,,,,,,,,,,,,,,,,,,,,1e-06,,1.4e-06,1.1e-06,9e-07
MBAE14,,,,,,,,,,,,,,,,2.7e-05,1.1e-05,2.9e-05,8e-06,2.5e-05,1.69e-05,1.69e-05,1.75e-05,1.67e-05,1.54e-05
MBNT15,,,,,,,,,,,,,,,,,,,,,2.8e-06,,2e-06,2.1e-06,1.7e-06
MD3-55,,,,,,,,,,,0.0001,0.00012,0.00016,,,7.8e-05,8.2e-05,6.6e-05,7.7e-05,8.1e-05,7.09e-05,7.17e-05,7.51e-05,7.33e-05,7.03e-05
MHLsu47-B8A,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,2e-07,2e-07
MKCST-A3,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,7e-07,2e-07
ML635J-40 aquatic group,,,,,,,,,,,,,,,,1.3e-05,1.7e-05,2.6e-05,1.4e-05,1.4e-05,2.25e-05,2.22e-05,2.27e-05,2.33e-05,2.22e-05
MN 122.2a,,,,,,,,,,,,,,,,,,,,,3e-07,6e-07,4e-07,6e-07,7e-07
MNC12,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
MNG7,,,,,,,,,,,4e-05,,,,,1.7e-05,1.2e-05,1.7e-05,1.2e-05,1.5e-05,1.35e-05,1.33e-05,1.23e-05,1.23e-05,1.29e-05
MSB-1E8,,,,,,,,,,,8e-05,,,,,3.4e-05,3e-05,2.5e-05,4.2e-05,2.5e-05,2.73e-05,2.93e-05,3.33e-05,3.31e-05,3.19e-05
MSB-4B10,,,,,,,,,,,,,,,,1.6e-05,1.3e-05,2.3e-05,1.4e-05,7e-06,7.5e-06,1.95e-05,1.93e-05,2.18e-05,7.8e-06
MSBL8,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,5e-07,8e-07,5e-07
MVP-15,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,,,
MVP-94,,,,,,,,,,,,,,,8e-05,1.1e-05,1.6e-05,1.2e-05,1e-05,2e-06,1.14e-05,1.27e-05,1.21e-05,1.35e-05,1.44e-05
MWH-CFBk5,,,,,,,,,,,,,,,,1.1e-05,,,,,9.5e-06,9.7e-06,1.01e-05,1.04e-05,9.5e-06
MWH-UniP1 aquatic group,,,,,,0.0006,,,,,,6e-05,,8e-05,,3.5e-05,3e-05,2.8e-05,2.3e-05,3.1e-05,3.25e-05,3.13e-05,3.4e-05,3.1e-05,3.07e-05
Machaerotidae,,,,,,,,,,,,,,,,,2e-06,,,2e-06,1.3e-06,1.1e-06,9e-07,1.1e-06,5e-07
Machilidae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,3e-07,
Macrobiotidae,,,,,,,,,,,,,,,,,,,,,4e-07,,5e-07,9e-07,5e-07
Macrodasyidae,,,,,,,,,,,,,,,,,,,,,5e-07,,,1.2e-06,1.1e-06
Macrostomida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Macrostomidae,,,,,,,,,,,,,,,,,4e-06,1e-05,1e-05,,3.87e-05,9.4e-06,3.33e-05,3.24e-05,1.15e-05
Magnetococcaceae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Magnetospiraceae,,,,,,,,,,,0.00011,7e-05,6e-05,,7e-05,9.3e-05,7.6e-05,5.5e-05,5.3e-05,7.8e-05,6.99e-05,6.83e-05,7.01e-05,7.03e-05,7.05e-05
Magnetospirillaceae,,,,,,,,,,,,,,,,,,,,,,1e-06,2e-06,,
Magnoliophyta,,,,,,,,,,,,,,,,0.000261,0.000259,0.000428,0.000325,0.000283,0.0001522,0.0001542,0.0001555,0.0001595,0.0001555
Majidae,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,
Malacopsyllidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Malacosporea,,,,,,,,,,,,,,,,,,,,,1.49e-05,4e-07,1.5e-06,1.9e-05,1e-06
Malacostraca,,,,,,,,,,,,,,,,2e-06,2e-06,,,,4.6e-06,2.7e-06,3.4e-06,2e-06,3.5e-06
Malasseziales,,,,,,,,,,,6e-05,,2e-05,2e-05,2e-05,4.3e-05,4.2e-05,3.4e-05,5.4e-05,5.8e-05,6.75e-05,6.57e-05,6.56e-05,6.88e-05,7.21e-05
Malawimonadidae,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,9e-07,1.2e-06,6e-07
Malbrancheaceae,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Mallomonadaceae,,,,,,,,,,,,,,,,,,,,,1.8e-06,2e-07,,2e-07,
Malvaceae,,,,,,,,,,,,,,,,,,2e-06,,4e-06,6.3e-06,7.1e-06,9.9e-06,6.3e-06,9e-06
Mamiellophyceae,,,,,,,,,,,0.00012,0.00014,0.00016,0.00013,0.00021,0.000136,0.000151,0.000156,0.000148,0.00014,0.0001543,0.0001536,0.0001572,0.0001558,0.0001497
Manidae,,,,,,,,,,,2e-05,,,,,9e-06,1e-05,1e-05,1.4e-05,8e-06,7.5e-06,6.4e-06,6.8e-06,7.8e-06,8.2e-06
Mantidae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,4e-07,4e-07
Mantispidae,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,,2e-07,5e-07
Marchantiaceae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,2e-07
Margulisbacteria,,,,,,,,,,,,,,,,,,,,,2.1e-06,2.1e-06,1.3e-06,1.5e-06,2e-06
Maricaulaceae,,,,,,,,,,,,,,,,,,,,,5.5e-06,4.7e-06,4.5e-06,4.9e-06,3.7e-06
Marine Benthic Group D and,,,,,,0.0003,,,,,5e-05,4e-05,3e-05,0.00012,5e-05,0.000138,0.000123,0.000139,0.000167,0.000131,0.000166,0.0001728,0.0001685,0.0001699,0.0001724
Marine Choanoflagellates 1,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Marine Group II,,,,,,,0.0002,,,,,9e-05,3e-05,4e-05,7e-05,7.4e-05,6.5e-05,5.6e-05,8e-05,7.6e-05,9.6e-05,9.95e-05,9.36e-05,9.34e-05,8.96e-05
Marine Group III,,,,,,,,,,,,,,,,,,3e-06,3e-06,3e-06,2.7e-06,2e-06,2e-06,2.2e-06,2.7e-06
Marine Methylotrophic Group 1,,,,,,,,,,,,,,,,,,,,,,1.6e-06,1e-06,1.1e-06,1e-06
Marinicella,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Marinifilaceae,,,,,,,,,,,,,8e-05,6e-05,0.00014,3.6e-05,4.5e-05,3.7e-05,3.2e-05,5.6e-05,4.52e-05,4.54e-05,4.64e-05,4.84e-05,4.7e-05
Marinilabiaceae,,,,,,,,,,,,,,,,2e-05,8e-06,1.2e-05,1.4e-05,1.4e-05,1.93e-05,1.83e-05,1.87e-05,1.96e-05,1.88e-05
Marinilabiliaceae,,,,,,,,,,,,,,,,,,9e-06,,,7.4e-06,6.9e-06,5.4e-06,6.5e-06,7.1e-06
Marinimicrobia (SAR406 clade),,,,,,,,,,,2e-05,,,,2e-05,,5e-06,4e-06,4e-06,4e-06,3.5e-06,3.4e-06,3.6e-06,3.4e-06,4.1e-06
Marinobacteraceae,,,,,,,,,,,,,,,,3.8e-05,5e-05,2.1e-05,3.3e-05,4.9e-05,2.82e-05,3.06e-05,3.04e-05,2.97e-05,2.84e-05
Mariprofundaceae,,,,,,,,,,,,,,,,,4e-06,7e-06,8e-06,,5.1e-06,5.2e-06,5.1e-06,5.2e-06,5.3e-06
Marivirgaceae,,,,,,,,,,,,,,,,,,,,,,5e-07,,1e-06,9e-07
Marsupiomonadaceae,,,,,,,,,,,,,,,,,,,,,2.2e-06,2.3e-06,2.5e-06,2.6e-06,2.7e-06
Massariaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Massarinaceae,,,,,,,,,,,,,,,,,,,,,8e-07,4e-07,5e-07,2e-07,4e-07
Mastigamoebidae,,,,,,,,,,,,,,,,,,,,,2e-06,1.7e-06,1.4e-06,2e-06,2.3e-06
Mastigoteuthidae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,2e-07
Maxillopoda,,,,,,,0.0003,,0.0004,0.0005,0.00042,0.00035,0.00042,0.00038,0.00038,0.000419,0.000416,0.000393,0.000427,0.000415,0.0004051,0.0004199,0.000414,0.0004095,0.0004076
Mayacaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Mediofusata,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Mediophyceae,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.4e-06,4e-07,1.1e-06,1.2e-06
Melampsoraceae,,,,,,,,,,,,,,,,,,,,,2.1e-06,3.3e-06,2.5e-06,2.7e-06,2.3e-06
Melanotaeniaceae,,,,,,,,,,,,,,,,,,,,,5.3e-06,,6.3e-06,,3.7e-06
Melioribacteraceae,,,,,,,,,,,,,,,,6e-06,5e-06,5e-06,5e-06,,8e-06,6.7e-06,7.2e-06,6.4e-06,7.2e-06
Melitidae,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,6e-07,9e-07,4e-07,5e-07
Meloidae,,,,,,,,,,,,,,,,,,,,,,3e-07,,,6e-07
Meloidogynidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,2e-07
Melosiraceae,,0.01,0.005,0.01,0.005,0.0074,0.0092,0.0065,0.0089,0.0095,0.00595,0.00577,0.00583,0.00599,0.00534,0.005946,0.005947,0.006013,0.006012,0.006059,0.0058806,0.0058355,0.0058622,0.0058907,0.0058664
Melyridae,,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,
Membracidae,,,,,,,0.0024,0.0026,,,0.00032,0.00029,0.00017,0.00021,0.00021,0.000237,0.000233,0.000218,0.000214,0.000231,0.0002119,0.0002095,0.000215,0.0002176,0.0002145
Mengenillidae,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Menoponidae,,,,,,,,,,,,,,,,7e-06,9e-06,3e-06,7e-06,2e-06,6.4e-06,5.6e-06,5.8e-06,5.4e-06,5.5e-06
Merismopediaceae,,,,,,,,,,,7e-05,,,,,4.7e-05,3.4e-05,3.7e-05,2.6e-05,3.9e-05,2.76e-05,2.66e-05,2.85e-05,2.89e-05,2.73e-05
Merliniidae,,,,,,,,,,,,,,,,,,,,,2e-06,2.1e-06,2.3e-06,2.1e-06,9e-07
Merothripidae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Meruidae,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,2e-07,2e-07
Meruliaceae,,,,,,,,,,,,,,,,1.5e-05,1.1e-05,1.2e-05,1.2e-05,7e-06,1.03e-05,9.7e-06,1e-05,1.07e-05,1.05e-05
Mesoaciditogaceae,,,,,,,,,,,,,,,,,2e-06,,,,1e-06,4e-07,7e-07,4e-07,3e-07
Mesodiniidae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Mesognathariidae,,,,,,,,,,,,,,,,,2e-06,,,,,3e-07,,,2e-07
Mesopsocidae,,,,,,,,,,,,,,,,,,,,,3e-07,,,4e-07,2e-07
Mesostigmataceae,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,6e-07,2e-07,6e-07
Mesotaeniaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Metacylididae,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Metastrongylidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Methanobacteriaceae,0.002,,,,,0.0004,0.0005,0.0003,0.0008,0.0005,0.0005,0.0004,0.00049,0.00047,0.00046,0.000543,0.000549,0.000511,0.000497,0.000603,0.0006539,0.0006816,0.0006548,0.0006305,0.0006427
Methanocaldococcaceae,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,5e-07,6e-07,7e-07
Methanocellaceae,,,,,,,,,,,4e-05,5e-05,3e-05,4e-05,6e-05,5.6e-05,4.2e-05,4.7e-05,5.3e-05,5.1e-05,4.87e-05,4.78e-05,5e-05,4.92e-05,4.58e-05
Methanococcaceae,,,,,,,,,,,,,,,,,,,,,1e-06,8e-07,1e-06,7e-07,1.5e-06
Methanocorpusculaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,
Methanomicrobiaceae,,,,,,,,,,,,,3e-05,,2e-05,9e-06,1.2e-05,1.8e-05,1.5e-05,8e-06,1.9e-05,2.07e-05,2.27e-05,1.97e-05,2.18e-05
Methanoregulaceae,,,,,,,,,,,,,,,,2.5e-05,2.9e-05,2.3e-05,2.8e-05,3.8e-05,4.32e-05,4.23e-05,4.03e-05,4.15e-05,4.01e-05
Methanosaetaceae,,,0.002,,,,0.0008,0.0012,0.0002,0.0014,0.00056,0.00088,0.00095,0.00076,0.00083,0.000605,0.00065,0.000615,0.00065,0.000648,0.0006262,0.0006312,0.0006403,0.0006361,0.0006385
Methanosarcinaceae,,,,,,,,,,,0.00024,0.00015,0.0001,0.00015,9e-05,0.000135,0.000154,0.000138,0.000128,0.000137,0.0001557,0.0001607,0.0001586,0.0001603,0.0001592
Methanospirillaceae,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.4e-06,1.7e-06,1.3e-06,1.7e-06
Methermicoccaceae,,,,,,,,,,,,,,,,,,,,,3.8e-06,8e-07,3.7e-06,1.3e-06,2.5e-06
Methylobacteriaceae,,,,,,,0.0006,,,0.0006,0.0004,,0.00035,0.00024,0.00021,0.000404,0.000368,0.000373,0.000322,0.000325,0.0003415,0.0003557,0.0003404,0.0003532,0.0003595
Methylococcaceae,,,,,,,,,,,,,,,,5e-06,5e-06,3e-06,,,1.04e-05,7.9e-06,1.2e-05,1.09e-05,1.01e-05
Methylocystaceae,,,,,,,,,,,,,0.00016,,,6.4e-05,5.8e-05,4.9e-05,4.4e-05,4.1e-05,3.27e-05,2.87e-05,3.3e-05,3.43e-05,3.49e-05
Methyloligellaceae,,,,,,,,,,,0.00018,0.00026,0.00016,0.00022,0.00032,7.3e-05,8.8e-05,6.8e-05,8.9e-05,9.2e-05,8.53e-05,7.85e-05,7.55e-05,8.06e-05,7.8e-05
Methylomirabilaceae,,,,,,,,,,,,,,,,,,,,,,,,1.7e-06,
Methylomonadaceae,,,,,,,,,,,,,,,,,,,,,,1.3e-06,,,
Methylophagaceae,,,,,,,,,,,,,,,,8e-06,7e-06,6e-06,9e-06,4e-06,6.9e-06,6.1e-06,7.6e-06,6e-06,6.7e-06
Methylophilaceae,,,,,,,0.0008,,0.0005,,0.00073,0.00076,0.00057,0.00063,0.00073,0.000558,0.000603,0.000607,0.000644,0.000586,0.0005776,0.0005804,0.0005786,0.0005811,0.0005836
Metromonadea,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,5e-07,,4e-07
Metschnikowiaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,6e-07,,4e-07
MgMjR-022,,,,,,,,,,,,,,,,5e-06,,,,,1.7e-06,1.3e-06,1.1e-06,2.5e-06,2e-06
Micavibrionaceae,,,,,,,,,,,,,3e-05,,,1.2e-05,2.5e-05,1.8e-05,1.8e-05,1.7e-05,2.06e-05,2.15e-05,2.12e-05,2.03e-05,1.99e-05
Micavibrionales,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,7e-07,1.2e-06,1.3e-06
Microascaceae,,,,,,,,,,,,,,,,,,,,,,6e-07,6e-07,6e-07,5e-07
Microascales,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Microbacteriaceae,0.005,,,,0.005,0.0043,0.0031,0.0034,0.001,0.0037,0.00172,0.00149,0.00161,0.00169,0.00176,0.001405,0.001433,0.001375,0.001406,0.001415,0.0014406,0.0014412,0.00142,0.0014122,0.0014153
Microcaliciaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Microcionidae,,,,,,,,,,,,,,,2e-05,2e-05,1.1e-05,1.6e-05,1.8e-05,1.7e-05,1.49e-05,1.64e-05,1.49e-05,1.68e-05,1.66e-05
Micrococcaceae,,,,,,,,,,,,,,8e-05,2e-05,3.8e-05,4.2e-05,3.5e-05,6e-05,4.5e-05,7.82e-05,0.0001246,0.0001037,8.55e-05,0.0001087
Micrococcales Timonella,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Microcoleaceae,,,,,,,,,,,3e-05,3e-05,4e-05,2e-05,,4.8e-05,1.6e-05,3.8e-05,2.9e-05,2.7e-05,3.33e-05,3.02e-05,2.97e-05,2.84e-05,3.14e-05
Microcystaceae,,,,,,,,,,,,,,,,,,2e-06,,,1.5e-06,6e-07,7e-07,1.2e-06,1.3e-06
Microdajidae,,,,,,,,,,,,,,,,,,,,,,6e-07,5e-07,4e-07,
Microhylidae,,,,,,,,,,,,2e-05,,,,2e-05,9e-06,4e-06,1e-05,1.1e-05,1.38e-05,1.26e-05,1.26e-05,1.22e-05,1.22e-05
Microlaimidae,,,,,,,,,,,,,,,,,,,,,6.2e-06,,,,
Micromalthidae,,,,,,,,,,,,,,,,,,,,,1.2e-06,3e-07,4e-07,2e-07,4e-07
Micromonosporaceae,,,,,,,,,,,3e-05,,,,5e-05,5.3e-05,5e-05,4.2e-05,2.5e-05,4e-06,4.97e-05,6.51e-05,6.01e-05,4.96e-05,4.37e-05
Micropeltidaceae,,,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07
Micropepsaceae,,,,,,,,,,,,,,,,,,,,,7e-07,,8e-07,9e-07,
Micropterigidae,,,,,,,,,,,,,,,,,,,,,5e-07,,4e-07,6e-07,4e-07
Microscillaceae,,,,,,,,,,,,,,,,1.2e-05,1.6e-05,2.1e-05,1.5e-05,8e-06,1.68e-05,1.54e-05,1.5e-05,1.78e-05,1.69e-05
Microsporomycetaceae,,,,,,,,,,,,,,,,,,,,,2e-06,3.5e-06,,1.9e-06,
Microthrixaceae,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,6e-07,,
Microtrichaceae,,,,,,,,,,,6e-05,,,,,6.5e-05,8.1e-05,6.6e-05,8.5e-05,8.1e-05,6.27e-05,6.39e-05,6.02e-05,6.41e-05,6.41e-05
MidArch4,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,,4e-07
MidBa8,,,,,,,,,,,,,,,,,7e-06,6e-06,3e-06,6e-06,9e-06,9.7e-06,9.7e-06,1.18e-05,9.9e-06
Milano-WF1B-03,,,,,,,,,,,,,,,,,,,,,4.91e-05,4.57e-05,2.66e-05,4.53e-05,6.15e-05
Milano-WF1B-44,,,,,,,,,,,,,,,,,,,,,2.1e-06,1.8e-06,1.9e-06,1.4e-06,1.5e-06
Miraciidae,,,,,,,,,,,,,,,,,,,,,4e-07,8e-07,1e-06,4e-07,4e-07
Miridae,,,,,,,,,,,,,,,,4.6e-05,4e-06,4e-06,1.6e-05,3e-06,1.04e-05,1.12e-05,1.06e-05,1.11e-05,8.3e-06
Mithracidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Mitochondria,,,,,,,0.0002,,,,0.00017,0.00015,0.0002,0.0002,0.00035,0.000238,0.000276,0.0005,0.000463,0.000276,0.0003482,0.0003405,0.0004306,0.0003534,0.0003264
Mitrastemonaceae,,,,,,,,,,,,,,,,,,,2e-06,,2e-07,1.1e-06,,4e-07,
Moduliflexaceae,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,8e-07,6e-07,7e-07
Mollisiaceae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,2e-07
Monhysterida,,,,,,,,,,,,,,,,,,,,,2.2e-06,3.7e-06,,3.2e-06,2e-07
Monhysteridae,,,,,,,,,,,,,,,4e-05,4.7e-05,2.5e-05,2.4e-05,3.1e-05,2.4e-05,4.78e-05,3.12e-05,4.94e-05,3.38e-05,4.76e-05
Monodopsidaceae,,,,,,,,,,,,,,,,,,2e-06,,,1.5e-06,1.3e-06,2e-06,1.5e-06,1.3e-06
Monomastigaceae,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Monopisthocotylea,,,,,,,0.0004,,0.0002,0.0002,0.00016,0.00013,0.00018,0.00011,0.00011,0.000111,0.00011,0.000101,0.000123,0.000101,0.0001187,0.0001175,0.0001127,0.000112,0.0001104
Monoposthiidae,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,5e-07,4e-07,4e-07
Monostromataceae,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,6e-07,7e-07,6e-07
Monstrillidae,,,,,,,,,,,,,,,,,,,,,,,7e-07,,
Moorellaceae,,,,,,,,,,,,,,,,,,,,,7e-07,4e-07,4e-07,3e-07,5e-07
Mopaliidae,,,,,,,,,,,,,,,,1e-05,,,,,,,,6.7e-06,3.3e-06
Moraceae,,,,,,,,,,,,,,,,,,,,,7e-07,,9e-07,3e-07,8e-07
Moraxellaceae,,0.003,,0.004,,0.0032,0.0056,0.0063,0.0031,0.0051,0.00468,0.00496,0.00524,0.0051,0.00489,0.004652,0.004847,0.004945,0.004883,0.004884,0.0048845,0.0048979,0.0048532,0.0048764,0.0049151
Morganellaceae,,,,,,,,,,,,,,,,3e-06,5e-06,2e-06,3e-06,3e-06,2.8e-06,3.3e-06,3.8e-06,2.6e-06,3e-06
Moritellaceae,,,,,,,,,,,,,,,,7e-06,,1e-05,,6e-06,4.4e-06,4.3e-06,3.8e-06,3.9e-06,3.7e-06
Mortierellaceae,,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,2e-07
Mrakiaceae,,,,,,,,,,,0.00015,0.00015,0.00011,0.00017,,8.8e-05,0.000106,0.000102,8.8e-05,0.0001,9.58e-05,8.81e-05,9.05e-05,8.88e-05,9.17e-05
Mrazekiidae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Mucoraceae,,,,,,,,,,,,,,,,,,,,,4e-07,8e-07,1.6e-06,6e-07,1.7e-06
Munidopsidae,,,,,,,,,,,,,,,,,,,,,1.1e-06,8e-07,1e-06,1.3e-06,9e-07
Munnopsidae,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Muribaculaceae,,,,,,,,,,,,,,,,,2e-06,,,,7e-07,9e-07,6e-07,9e-07,6e-07
Musaceae,,,,,,,,,,,,,,,,1.8e-05,1.9e-05,1.5e-05,1.2e-05,1.4e-05,1.85e-05,1.99e-05,2.03e-05,1.72e-05,2.09e-05
Mycetophilidae,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,2e-07,5e-07,2e-07
Mychonastaceae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,2e-07
Mycobacteriaceae,,,,,,,,,,,0.00028,,0.00022,0.00033,0.00015,0.000132,9.6e-05,0.000116,8.8e-05,0.000124,0.0001001,9.67e-05,0.0001036,9.97e-05,0.000103
Mycoplasmataceae,,,,,,,,,0.0002,,7e-05,3e-05,0.0001,2e-05,6e-05,8.7e-05,0.0001,9.4e-05,8.3e-05,8.6e-05,8.48e-05,9.46e-05,9.38e-05,9.07e-05,9.53e-05
Mycoplasmoidaceae,,,,,,,,,,,,,,,,,,,,,3e-07,,,,2e-07
Mycosphaerellaceae,,,,,,,,,,,,,,,,,,,,,1.8e-06,2e-06,1.2e-06,2.8e-06,1.6e-06
Myerslopiidae,,,,,,,,,,,,,,,,2e-06,,,,,4e-07,4e-07,3e-07,3e-07,4e-07
Mymaridae,,,,,,,,,,,,,,,,,,,,,,,4e-07,,
Myristicaceae,,,,,,,,0.0004,0.0002,0.0002,0.00014,0.00012,0.00016,0.0002,9e-05,0.000139,0.000129,0.000135,0.000152,0.000155,0.0001802,0.0001807,0.0001776,0.0001806,0.0002035
Myrmecolacidae,,,,,,,,,,,,,,,,,,,,,,6e-07,3e-07,2e-07,
Myrmecridiaceae,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Myrtaceae,,,,,,,,,,,,,,,,2e-06,,2e-06,,3e-06,1.7e-06,1.5e-06,9e-07,1.3e-06,1.4e-06
Mysidae,,,,,,,,,,,,,,,,,,,,2e-06,9e-07,,1e-06,1.2e-06,1e-06
Mystropetalaceae,,,,,,,,,,,,,,,,3.4e-05,3.3e-05,3.5e-05,4.3e-05,4.1e-05,4.13e-05,3.93e-05,3.96e-05,4.02e-05,3.88e-05
Myxobolidae,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,6e-07,4e-07,
