,1K,10K,100K,1M,10M
Candidatus Aquicultorales,,,,1.2499999999999999e-06,1.275e-06
Sphacelariales,,,,3.3333333333333337e-06,1.2e-06
Dimargaritales,,,,3e-06,1.9e-06
Thermococcales,,,,3e-06,1.975e-06
Microascales,,,,1.4999999999999998e-06,1.9749999999999997e-06
Limnochordales,,,,2.333333333333333e-06,1.2000000000000002e-06
Abditibacteriales,,,,2e-06,2.05e-06
Candidatus Termititenacales,,,,2.333333333333333e-06,9.5e-07
Phaeothamnales,,,,1.5e-06,2.25e-07
Phaeotrichales,,,,1.5e-06,3.75e-07
Colponemida,,,,1.4999999999999998e-06,5.5e-07
Rotaliida,,,,1e-06,2.5e-07
Hibberdiales,,,,1e-06,1.25e-07
Plocamiales,,,,1e-06,2.25e-07
Oltmansiellopsidales,,,,1e-06,5.75e-07
Diplonemea,,,,1e-06,4e-07
Wallemiales,,,,1.2499999999999999e-06,1.0999999999999998e-06
Gomphales,,,,1e-06,6e-07
Prasinococcales,,,,1e-06,3.75e-07
Dactylopodida,,,,1e-06,7.25e-07
Elusimicrobiales,,,,1e-06,8.749999999999999e-07
Rhodellales,,,,1e-06,4e-07
Ceraceosorales,,,,1.5e-06,7.75e-07
Ralfsiales,,,,1e-06,1.3333333333333334e-07
Chrysanthemodiscales,,,,1e-06,2.25e-07
Thermostichales,,,,1e-06,2.75e-07
Candidatus Anstonellales,,,,1e-06,1.25e-07
Candidatus Absconditabacterales,,,,1.3333333333333332e-06,7.25e-07
Thermoleophilales,,,,2.6666666666666664e-06,1.175e-06
Geastrales,,,,3e-06,1.2e-06
Xylonales,,,,1.5e-06,6.499999999999999e-07
Malawimonadida,,,,2e-06,5e-07
Trentepohliales,,,,1e-06,2.25e-07
Arthoniales,,,,1e-06,5.499999999999999e-07
Ochromonadales,,,,1e-06,3.25e-07
Mischococcales,,,,1e-06,1.5e-07
Tintinnida,,,,1e-06,2e-07
Ignatiales,,,,1e-06,3.75e-07
Kathablepharidacea,,,,1e-06,5.250000000000001e-07
Glissomonadida,,,,1e-06,1e-07
Dixoniellales,,,,1e-06,3.75e-07
Palmophyllales,,,,1e-06,2.25e-07
Dolichomastigales,,,,1.3333333333333332e-06,3.6666666666666667e-07
Mesoaciditogales,,,,1.3333333333333332e-06,6.249999999999999e-07
Candidatus Babeliales,,,,1e-06,7.749999999999999e-07
Candidatus Methanoliparales,,,,1e-06,4e-07
Parabodonida,,,,1e-06,1.5e-07
Amphidiniales,,,,1.5e-06,3.5e-07
Tepidiformales,,,,2e-06,4e-07
Palmariales,,,,1e-06,1.25e-07
Haptorida,,,,1e-06,1e-07
Bonnemaisoniales,,,,1e-06,2e-07
Heteronematales,,,,1e-06,2e-07
Rhaponeidales,,,,1e-06,5.5e-07
Geoglossales,,,,1e-06,7.75e-07
Sticholonchida,,,,1e-06,3e-07
Spongomonadida,,,,1e-06,1.5e-07
Cyathomonadacea,,,,1e-06,3.75e-07
Thermofilales,,,,1.5e-06,3.75e-07
Desmarestiales,,,,2e-06,4e-07
Hysterangiales,,,,2e-06,6.5e-07
Acidilobales,,,,2e-06,2.3333333333333333e-07
Candidatus Tiddalikarchaeales,,,,2e-06,2.6666666666666667e-07
Cladophorales,,,,1e-06,1.25e-07
Acrochaetiales,,,,1e-06,5.25e-07
Loxodida,,,,1e-06,1e-07
Pedinomonadales,,,,1e-06,3.7499999999999996e-07
Chlorosarcinales,,,,1e-06,3e-07
Euamoebida,,,,1e-06,2.75e-07
Corethrales,,,,1e-06,2.5e-07
Oxyrrhinales,,,,1e-06,1e-07
Candidatus Nanoperiomorbales,,,,1e-06,1e-07
Eremomycetales,,,,1e-06,6.499999999999999e-07
Sporolithales,,,,,3e-07
Stichotrichida,,,,,4.75e-07
Haloplasmatales,,,,,4.4999999999999993e-07
Caldisericales,,,,,2.5e-07
Candidatus Eremiobacterales,,,,,3e-07
Oltmannsiellopsidales,,,,,3.5e-07
Culicoidibacterales,,,,,2.25e-07
Halymeniales,,,,,3.2499999999999996e-07
Protosteliida,,,,,1.6666666666666665e-07
Candidatus Nanohalobiales,,,,,3e-07
Thoracosphaerales,,,,,2e-07
Gloeochaetales,,,,,2.25e-07
Methanopyrales,,,,,1.6666666666666665e-07
Sorogenida,,,,,2.25e-07
Trichonymphida,,,,,1.25e-07
Pseudoamphisiellida,,,,,1.6666666666666665e-07
Candidatus Fermentibacterales,,,,,1.5e-07
Lagenidiales,,,,,1.75e-07
Vestibuliferida,,,,,1e-07
Entodiniomorphida,,,,,1e-07
Sarcinochrysidales,,,,,1e-07
Chrysomeridales,,,,,1e-07
Leptomitales,,,,,1e-07
Balliales,,,,,1.5e-07
Arcellinida,,,,,1e-07
Coccolithales,,,,,1e-07
Cryomonadida,,,,,1e-07
Fervidicoccales,,,,,1e-07
Amylocorticiales,,,,,2.25e-07
Pinguiochrysidales,,,,,1.25e-07
Miliolida,,,,,1e-07
Scotinosphaerales,,,,,1e-07
Hapalidiales,,,,,1e-07
Candidatus Peribacterales,,,,,1e-07
Candidatus Borkfalkiales,,,,,1e-07
Mycoplasmoidales,,,,,1e-07
Conexivisphaerales,,,,,1e-07
Exogenida,,,,,2e-07
Peltigerales,,,,,1e-07
Striatellales,,,,,1e-07
Collodaria,,,,,1.5e-07
Methanonatronarchaeales,,,,,1e-07
Candidatus Humimicrobiales,,,,,1e-07
Gelidiales,,,,,1e-07
Asterolamprales,,,,,1e-07
Candidatus Saccharimonales,,,,,1e-07
Orphellales,,,,,1e-07
Tetrasporales,,,,,1e-07
