order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acidilobales,,,,,,,,,,,,,,,,,,,,,,,,,
Acidimicrobiales,,,,,,0.002278645833333333,0.0009900990099009901,0.002577319587628866,0.0016806722689075631,0.0033955857385398977,0.002013799478392922,0.0013838094296728283,0.0016373174725164564,0.002046705140249631,0.001739073369208558,0.0019137001633882733,0.001974193548387097,0.0018969738140709998,0.0018390140573848095,0.0018096599065168784,0.0019108391532033744,0.0019302993603561242,0.0020373432517664224,0.0017978391021275747,0.0017325948502824242
Acidithiobacillales,,,,,,0.0003255208333333333,,,,0.0003395585738539898,0.00013205242481265073,0.00013179137425455508,,0.000201315259696685,0.0001312508203176271,7.397496429904352e-05,9.677419354838716e-05,6.729130083697988e-05,0.00010912125296874666,0.0001161279084396032,0.00010700699257939979,8.525671014030748e-05,0.00010526638975758712,9.818296067445758e-05,5.899124963130859e-05
Acidothermales,,,,,,,,,,,,,,3.355254328278084e-05,,6.432605591221176e-06,3.2258064516129057e-06,,6.418897233455687e-06,,,4.37213898155423e-06,,2.181843570543502e-06,2.1848610974558734e-06
Acoela,,,,,,,,,,,,,,,,,,,6.418897233455687e-06,,,,,,
Acrochaetiales,,,,,,,,,,,,,,,,,,,,,6.551448525269374e-06,,,,2.1848610974558734e-06
Acrospermales,,,,,,,,,,,,,,,,,,,3.2094486167278434e-06,,4.367632350179582e-06,2.186069490777115e-06,,6.5455307116305055e-06,
Acrosymphytales,,,,,,,,,,,,,,,,3.216302795610588e-06,,3.2043476589038035e-06,,,,,2.193049786616398e-06,4.363687141087004e-06,
Actiniaria,,,,,,,,,0.0003361344537815126,,6.602621240632536e-05,9.884353069091632e-05,0.0002004878537775253,,6.562541015881355e-05,0.00012221950623320235,9.354838709677428e-05,0.00012496955869724835,0.00012195904743565804,0.0001161279084396032,9.82717278790406e-05,0.00011586168301118707,0.00013158298719698392,0.00011563770923880562,7.647013841095558e-05
Actinomycetales,,,,,,,,0.0009664948453608248,,,0.00029711795582846413,0.0001976870613818326,0.00026731713837003374,0.00013421017313112335,0.0001312508203176271,0.00014151732300686588,0.0001806451612903227,0.0001762391212397092,0.00014442518775275293,0.00017419186265940482,0.00013539660285556706,0.00015083879486362092,0.00019737448079547586,0.00017236564207293663,0.00017260402669901401
Actinopolysporales,,,,,,,,,,,,,,,,3.216302795610588e-06,,9.613042976711412e-06,1.604724308363921e-05,3.2257752344334224e-06,4.367632350179582e-06,1.748855592621692e-05,4.386099573232797e-06,2.181843570543502e-06,
Acytosteliales,,,,,,,,0.00032216494845360824,,,3.301310620316268e-05,3.294784356363877e-05,6.682928459250843e-05,3.355254328278084e-05,,2.2514119569274114e-05,2.2580645161290335e-05,3.204347658903804e-05,1.2837794466911374e-05,3.5483527578767646e-05,3.712487497652645e-05,3.060497287087961e-05,2.850964722601318e-05,4.1455027840326536e-05,3.058805536438223e-05
Adapedonta,,,,,,,,,,,,,,,,,,,,,,,,,
