Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Acholeplasmatales,,,,,,,,,,,9e-05,9e-05,7e-05,9e-05,7e-05,5.3e-05,6e-05,9.6e-05,9.6e-05,7.2e-05,8.63e-05,8.3e-05,0.0001084,9.43e-05,0.0001032
Acidaminococcales,,,,,,,,,,,,,,,,,5e-06,,,5e-06,2.1e-06,1.7e-06,1.8e-06,1.6e-06,2.4e-06
Acidiferrobacterales,,,,,,,,,,,,,,,,,,,,,4.4e-06,5.1e-06,4.7e-06,4.4e-06,4.9e-06
Acidilobales,,,,,,,,,,,,,,,,,,,2e-06,,8e-07,1.3e-06,1.1e-06,4e-07,1.1e-06
Acidimicrobiales,,,,,,,0.0003,,,,0.00091,0.00073,0.00047,0.00061,0.00037,0.000721,0.000724,0.000747,0.000684,0.000699,0.0007209,0.000689,0.0006949,0.0007284,0.0007095
Acidithiobacillales,,,,,,,,,,,,,,,,,,,,,1.8e-06,1.7e-06,1.5e-06,2.2e-06,1.5e-06
Acidobacteriae,,,,,,,,,,,,,,,,4e-06,,,,,5e-07,,,6e-07,
Acidobacteriales,,,,,,,,,,,,,,,4e-05,4e-05,7e-05,3.2e-05,2.5e-05,6.5e-05,5.83e-05,6.13e-05,6.04e-05,7.37e-05,6.56e-05
Acipenseriformes,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,6e-07,6e-07,
Acoela,,,,,,0.0035,0.0027,0.0024,0.0034,0.0039,0.00272,0.00314,0.00304,0.00291,0.00284,0.002765,0.00286,0.002789,0.002737,0.002826,0.0027911,0.0027956,0.0028062,0.0027872,0.0028068
Acoelomorpha,,,,,,,,,,,,,,,,,,,,,1.3e-06,,1.9e-06,,1.4e-06
Acorales,,,,,,,,,,,,,,,,,2e-06,,,,,,,4e-07,3e-07
