Order,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Candidatus Kuenenbacteria bacterium GW2011_GWA2_42_15,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Candidatus Lloydbacteria,,,,,,,,,,,,,,,,,,,,,1e-06,4e-07,4e-07,5e-07,
Candidatus Magasanikbacteria,,,,,,,,,,,,,,,,,,,,,3e-07,,,3e-07,
Candidatus Magasanikbacteria bacterium GW2011_GWA2_56_11,,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,
Candidatus Magasanikbacteria bacterium GW2011_GWC2_40_17,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,,
Candidatus Magasanikbacteria bacterium GW2011_GWC2_45_8,,,,,,,,,,,,,,,,,,,,,3e-07,,5e-07,,
Candidatus Moranbacteria,,,,,,,,,,,,,,,,,,2e-06,,2e-06,,3e-07,3e-07,4e-07,3e-07
Candidatus Moranbacteria bacterium GW2011_GWD2_37_9,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,,2e-07,,
Candidatus Moranbacteria bacterium GW2011_GWE1_49_15,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,2e-07,2e-07,2e-07
Candidatus Nomurabacteria,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,1.1e-06,7e-07,5e-07
Candidatus Nomurabacteria bacterium GW2011_GWC2_42_20,,,,,,,,,,,,,,,,,,,,,2.4e-06,2.1e-06,,,1.6e-06
Candidatus Obscuribacterales,,,,,,,,,,,,,,,,,,,,,1e-06,1.4e-06,7e-07,8e-07,1.3e-06
Candidatus Pacebacteria bacterium GW2011_GWF1_36_5,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Candidatus Pelagibacterales,,,,,,,,,,,,,,,,4e-06,,2e-06,2e-06,2e-06,4.6e-06,5.1e-06,4.9e-06,4.1e-06,4.5e-06
Candidatus Peregrinibacteria,,,,,,,,,,,,,,,,,,,,,9e-07,1.5e-06,1.1e-06,9e-07,1e-06
Candidatus Poseidoniales,,,,,,,,,,,,,,,,8e-06,6e-06,1.2e-05,1.1e-05,1.6e-05,1.12e-05,1.12e-05,1.17e-05,1.11e-05,1.08e-05
Candidatus Puniceispirillales,,,,,,0.0016,0.001,0.0011,0.0014,0.0016,0.00107,0.00125,0.001,0.00117,0.00134,0.001155,0.001182,0.001125,0.00113,0.001125,0.0011575,0.0011469,0.001149,0.0011737,0.001154
Candidatus Saccharimonadales,,,,,,,,,,,,,7e-05,,,,,1.2e-05,,1.4e-05,2.9e-05,9.9e-06,7.5e-06,1.18e-05,3.13e-05
Candidatus Shapirobacteria bacterium GW2011_GWE1_38_10,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Candidatus Sumerlaeales,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,1.5e-06,1.9e-06,1.3e-06
Candidatus Woesebacteria bacterium GW2011_GWB1_39_10b,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Candidatus Wolfebacteria bacterium GW2011_GWC1_37_10,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,6e-07,4e-07,4e-07
Candidatus Yanofskybacteria,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,3e-07,2e-07
Candidatus Yonathbacteria,,,,,,,,,,,,,,,,,,,,,7e-07,,,,
Cantharellales,,,,,,,,,,,,,,,,2.8e-05,1.4e-05,1.5e-05,3e-05,4e-05,2.73e-05,2.53e-05,2.77e-05,2.49e-05,2.29e-05
Capilloventrida,,,,,,,,,,,,,,,,,,,2e-06,,3e-07,6e-07,4e-07,5e-07,3e-07
Capsasporidae,,,,,,,,,,,,,,,,2e-05,,3e-06,2e-05,7e-06,1.36e-05,1.51e-05,1.47e-05,1.29e-05,1.43e-05
Cardiobacteriales,,,,,,,,,,,,,,,,,,,,,5.4e-06,5.7e-06,6e-06,7.2e-06,5.8e-06
Carybdeida,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,,2e-07
Caryophyllales,,,,,,,,,,,,,,,,,4.7e-05,2e-06,,2e-06,3.57e-05,1.27e-05,1.47e-05,4.78e-05,3.4e-06
Castanea mollissima (Chinese chestnut) ,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Catenulida,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,4e-07,,8e-07
Catenulisporales,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,1e-06,7e-07,5e-07
Catharanthus roseus (Madagascar periwinkle) ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Caulobacterales,,,,,,,,,,,0.00015,4e-05,0.00011,0.00012,0.00015,0.000144,0.000128,0.000169,0.000123,0.00016,0.0001498,0.0001641,0.0001507,0.0001594,0.0001542
Cavosteliida,,,,,,,,,,,,,,,,,,,,,8e-07,5e-07,7e-07,1.2e-06,2e-07
Celastrales,,,,,,,,,,,,,,,,,,2e-06,,,6e-07,1.3e-06,8e-07,1.5e-06,2.1e-06
Cellvibrionales,,,,,,0.0042,0.0051,0.003,0.0051,0.0038,0.00389,0.00361,0.00334,0.00344,0.00338,0.003637,0.003603,0.003473,0.003626,0.00349,0.003472,0.0034278,0.0034306,0.0034412,0.0034462
Cenarchaeales,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,2e-07
Cephalaspidea,,,,,,,,,,,,,,,,,,,,,1.4e-06,,,,2.3e-06
Cephalodiscida,,,,,,,,,,,,,,,,,,,,,3e-07,7e-07,4e-07,5e-07,6e-07
Cephalopoda,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,2e-07,3e-07,7e-07
Cephalothecales,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Ceramiales,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,2e-07,6e-07,
Cercozoa,0.03,0.023,0.031,0.025,0.033,0.0309,0.0266,0.0279,0.0301,0.0299,0.02901,0.02948,0.02919,0.02959,0.02809,0.028929,0.029298,0.029243,0.029102,0.029277,0.0292039,0.0290895,0.0291616,0.0291619,0.0291563
Cestoda,,,,,,0.0003,0.0007,0.0004,0.0003,0.0007,0.00048,0.00051,0.00038,0.00041,0.00056,0.000444,0.000471,0.000472,0.000456,0.000475,0.0004774,0.000489,0.0004785,0.0004798,0.000492
Chaetocerotales,,,,,,0.0013,0.0013,0.0026,0.0014,0.0017,0.00148,0.00169,0.00131,0.00133,0.00153,0.001505,0.001455,0.001411,0.00149,0.001425,0.0014851,0.0014671,0.0014756,0.0014982,0.0014878
Chaetonotida,,,,,,,,,,,,,,,,,1.8e-05,2.7e-05,1.4e-05,1.4e-05,2.78e-05,1.22e-05,1.78e-05,1.61e-05,1.82e-05
Chaetopeltidales,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Chaetophorales,,,,,,,,,,,,,,,,,,,,,1.3e-06,2.1e-06,2.1e-06,4e-07,1.3e-06
Chaetosphaeriales,,,,,,,,,,,,,,,,1.9e-05,2.1e-05,1.9e-05,2.3e-05,,1.59e-05,1.65e-05,1.37e-05,1.48e-05,1.53e-05
Chaetothyriales,,,,,,,,,,,,,,,,2e-06,,2e-06,,,1.1e-06,9e-07,1.1e-06,2.4e-06,1.2e-06
Charales,,,,,,,,,,,,,,,,,,,2e-06,,3.7e-06,3.5e-06,3.6e-06,2.3e-06,2.9e-06
Charophyta,0.013,0.013,,,,0.0076,0.0089,0.009,0.0109,0.0094,0.0087,0.00856,0.00851,0.00949,0.00891,0.00885,0.008927,0.008539,0.008883,0.008738,0.0087715,0.0086753,0.0088074,0.0087409,0.0086668
Chattonellales,,,,,,,,,,,,,,,,3e-06,3e-06,,,6e-06,5.2e-06,6.2e-06,5.7e-06,5.5e-06,6.1e-06
Cheilostomatida,,,,,,,,,,,,,,,,3e-06,,,5e-06,,2.8e-06,3.4e-06,3.9e-06,3.2e-06,4.6e-06
Chelicerata,,,,,,,,,,,,,,,,3.6e-05,1.8e-05,3.3e-05,2.9e-05,3.3e-05,6.75e-05,6.79e-05,5.37e-05,6.48e-05,7.38e-05
Chiroptera,,,,,,,,,,,,,,,,,,,,,4e-07,,,,
Chitinivibrionales,,,,,,,,,,,,,,,,,,,,,6e-07,1.4e-06,9e-07,,7e-07
Chitinophagales,,,,,,,,0.0009,,,0.00054,0.00045,0.00054,0.00047,0.00039,0.000394,0.000358,0.000322,0.000372,0.000384,0.0003878,0.0003786,0.0003836,0.0003844,0.0003822
Chitonida,,,,,,,,,,,,,,,,1e-05,,,,,,2e-07,,6.7e-06,3.5e-06
Chlamydiales,,,,,,,,,,,0.00024,0.00025,5e-05,0.00027,8e-05,0.000214,0.000159,0.000119,0.000158,0.000173,0.0001461,0.0001553,0.0001521,0.0001448,0.0001494
Chlamydodontida,,,,,,,,,,,,,,,,,,2e-06,,,7e-07,9e-07,5e-07,9e-07,6e-07
Chlamydomonadales,,,,0.01,0.005,0.0045,0.0036,0.003,0.0032,0.0028,0.00325,0.00331,0.0028,0.00291,0.00325,0.0032,0.003221,0.003097,0.003176,0.003185,0.0031692,0.0031665,0.0031653,0.0031591,0.0031665
Chlorellales,,,,,,,,,,,,,,,,1.6e-05,6e-06,5e-06,1.4e-05,2e-05,3.04e-05,1.9e-05,3.12e-05,1.43e-05,2.01e-05
Chlorobiales,,,,,,,,,,,,,,,,4e-06,6e-06,6e-06,1e-05,2e-06,9.5e-06,8.8e-06,8.2e-06,8.2e-06,9.1e-06
Chlorocystidales,,,,,,,,,,,,,,,,2e-06,,,,,,,2e-07,,
Chlorodendrales,,,,,,,,,,,,,,,,1.7e-05,2.8e-05,1.6e-05,2.2e-05,2.9e-05,3.15e-05,3.01e-05,3.31e-05,2.47e-05,3.03e-05
Chloroflexales,,,,,,,,,,,,,,,,,2e-06,,4e-06,4e-06,1e-05,9e-06,7.9e-06,9.2e-06,9.3e-06
Chlorokybales,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,2.1e-06,1.1e-06
Chlorophyta,,,,,,,,,,,0.00012,0.00014,0.00016,0.00013,0.00021,0.000141,0.000154,0.000164,0.000154,0.000142,0.0001778,0.0001743,0.0001713,0.0001794,0.0001703
Chlorophyta symbiont of Baikalospongia sp.,,,,,,,,,,,,,,,,4.3e-05,4.7e-05,4.5e-05,4.9e-05,5.2e-05,4.61e-05,4.15e-05,4.63e-05,4.32e-05,4.62e-05
Chlorophyta symbiont of Lubomirskia sp.,,,,,,,,,,,,,,,,1.5e-05,1.3e-05,1.3e-05,1.2e-05,,9.6e-06,1.05e-05,1.01e-05,1.04e-05,1e-05
Chloroplast,0.032,0.031,0.021,0.025,0.029,0.029,0.0317,0.0314,0.0312,0.0272,0.0287,0.02899,0.02807,0.02799,0.02876,0.028188,0.027985,0.02826,0.028183,0.027857,0.0281193,0.0282651,0.0282224,0.0281839,0.0281974
Chlorosarcinales,,,,,,,,,,,,,,,2e-05,1.2e-05,9e-06,6e-06,1.2e-05,6e-06,7.4e-06,8.4e-06,8.7e-06,8e-06,8.2e-06
Chondrillida,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,3e-07,5.8e-06
Choreotrichida,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.8e-06,7e-07,2.2e-06,3.3e-06
Chromadorea,,,,,,,,,,,,,,,,,,,,,,2e-06,2e-07,2.4e-06,2e-07
Chromadorida,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,4e-07
Chromatiales,,,,,,,,,0.0007,,0.00111,0.00104,0.00088,0.00099,0.00063,0.000838,0.000847,0.000768,0.00082,0.000841,0.0007276,0.0007133,0.0007269,0.0007244,0.0007314
Chromulinales,,,,,,,,,,,,,,,,,,,,,3.8e-06,6.2e-06,4.1e-06,3.9e-06,5.6e-06
Chroococcales,,,,,,,,,,,3e-05,,,,4e-05,2.4e-05,2.5e-05,2.4e-05,2.6e-05,1.8e-05,1.87e-05,1.76e-05,1.71e-05,1.84e-05,1.81e-05
Chroococcidiopsidales,,,,,,,,,,,,,,,,,,,,,2e-06,1.9e-06,1.9e-06,4.5e-06,3.8e-06
Chthoniobacterales,,,,,,,,,,,,,0.00032,5e-05,0.00025,0.000102,0.000172,0.000246,0.000105,0.000204,0.0001528,0.0001729,0.0001115,0.0001168,0.0001546
Chthonomonadales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,4e-07,2e-07,6e-07
Chytridiales,,,,,,,,,,,0.0004,0.0003,0.00037,0.00023,0.0002,0.000334,0.000306,0.000376,0.000362,0.000277,0.0003152,0.0003098,0.0003095,0.0003115,0.0003113
Ciliophora,0.056,0.044,0.05,0.041,0.055,0.0321,0.0346,0.0384,0.0327,0.0384,0.03604,0.03665,0.03632,0.03572,0.0364,0.03644,0.036262,0.036124,0.036644,0.036282,0.0363581,0.03635,0.0362658,0.0362159,0.0362805
Cladophorales,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07,
Cladosporiales,,,,,,,,,,,,,,,,5e-06,,,,,4e-07,1.1e-06,1.3e-06,1.1e-06,9e-07
Clevelandellida,,,,,,,,,,,,,,,,,,,,,,,,,4e-07
Clitellata,,,,,,,,,,,,,,,,1.5e-05,,3.9e-05,4e-05,3.7e-05,7.2e-06,4e-05,4.19e-05,5.4e-06,5.8e-06
Cloacimonadales,,,,,,,,,,,,,,,,,,,,,3e-07,9e-07,5e-07,8e-07,5e-07
Clostridia vadinBB60 group,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,8e-07,7e-07,8e-07
Clostridiales,,,,,,0.0027,0.0056,,,0.0056,0.00374,0.00363,0.00249,0.00124,0.00261,0.002304,0.002233,0.002299,0.002071,0.002226,0.0021007,0.0020992,0.0020806,0.0020847,0.002123
Coccidiniales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,4e-07,,2e-07
Coccolithales,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,5e-07,3e-07
Coccomyxa viridis   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Cocconeidales,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,2e-07
Coelacanthiformes,,,,,,,,,,,,,,,,,,,,3e-06,2.3e-06,2.2e-06,1.8e-06,1.8e-06,1.2e-06
Coleochaetales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Coleoptera,,,,,,,,,,,3e-05,3e-05,7e-05,4e-05,0.0001,0.000128,0.000141,0.000101,0.000111,0.000115,0.0001714,0.0001748,0.0001803,0.0001683,0.0001669
Collodaria,,,,,,,,,0.0003,0.0002,0.00015,0.00011,0.00014,0.00012,0.00015,0.000168,0.000165,0.000143,0.000152,0.000145,0.0001518,0.000152,0.0001571,0.000158,0.000142
Colpodida,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Commelinales,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Compsopogonales,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Conthreep,,,,,,0.0003,,,0.0006,,0.00019,0.00016,0.00034,0.00031,0.00014,0.000291,0.000273,0.000327,0.000289,0.000276,0.0002843,0.0003092,0.000317,0.0003084,0.0003016
Copelata,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Coprothermobacterales,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Corallinales,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,7e-07,8e-07,9e-07
Coriobacteriales,,,,,,,,0.0052,,,0.0015,,0.0042,0.00268,0.00372,0.001442,0.00193,0.001906,0.001976,0.000917,0.0006676,0.0006695,0.0006592,0.0006733,0.0006539
Coronophorales,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,3e-07
Corticiales,,,,,,,,,,,,,,,,,,,,,1e-05,2e-07,8.3e-06,7.3e-06,1.4e-05
Corynebacteriales,,,,,,,,,,,,,,2e-05,4e-05,0.0001,5.4e-05,7.8e-05,2.8e-05,8.3e-05,0.0002287,0.0001266,0.0001396,0.0002325,0.0002434
Coscinodiscales,,,,,,,,,,,,,,9e-05,,6.9e-05,1.8e-05,9e-06,7.8e-05,2.9e-05,5.87e-05,6.04e-05,5.71e-05,6.3e-05,5.88e-05
Coxiellales,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.6e-06,1.3e-06,1.3e-06,1.7e-06
Craspedida,,,,,,,,,,,0.00038,0.00022,0.00036,0.00028,0.00025,0.000296,0.000305,0.000309,0.000291,0.000269,0.0003051,0.0002979,0.0002961,0.0002938,0.000297
Crenarchaeote enrichment culture,,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,3e-07
Cristamonadida,,,,,,,,,,,,,,,,5e-06,,,3e-06,,2.4e-06,1.9e-06,1.8e-06,1.6e-06,2.2e-06
Crocodylia,,,,,,,,,,,,,,,,,,,3e-06,,3.4e-06,2.3e-06,3.9e-06,4.2e-06,4e-06
Crossosomatales,,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,4e-07
Crustacea,,,,,,,0.0003,,0.0004,0.0005,0.00042,0.00035,0.00042,0.00038,0.00038,0.000419,0.000418,0.000399,0.000421,0.000412,0.0004103,0.0004197,0.0004139,0.0004121,0.0004105
Cryomonadida,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Cryptomonadales,,,,,,0.0008,,,,,0.00011,,0.0001,0.00011,0.00012,0.000117,0.000104,9.6e-05,0.000118,0.000128,0.0001097,0.0001082,0.0001046,9.89e-05,0.0001094
Cryptomonas,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,5e-07,4e-07
Ctenostomatida,,,,,,,,,,,,,,,,3e-06,3e-06,4e-06,,,4.1e-06,4e-06,2.7e-06,3.6e-06,3e-06
Cucurbitales,,,,,,,,,,,,,,,,,,,,,2e-06,6e-07,2.8e-06,7.1e-06,2.4e-06
Cupressales,,,,,,,,,,,,,,,,4e-06,3e-06,5e-06,2e-06,4e-06,9.6e-06,6e-06,6.5e-06,6.1e-06,1.22e-05
Cyanidiales,,,,,,,,,,,,,,,,,,,,,,,,,1.7e-06
Cyanobacteriales,,,,,,,,,,,,4e-05,7e-05,9e-05,4e-05,6.4e-05,4.2e-05,4.5e-05,4.9e-05,5.2e-05,3.71e-05,3.62e-05,3.9e-05,3.86e-05,4e-05
Cyanophora paradoxa   ,,,,,,,,,,,,,,,,,,,,3e-06,3e-07,7e-07,4e-07,6e-07,9e-07
Cyanophora tetracyanea   ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Cyathomonadacea,,,,,,,,,,,,,,,,,,2e-06,,,1.7e-06,1.8e-06,2.3e-06,1.9e-06,2.4e-06
Cycadales,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Cycloneritida,,,,,,,,,,,,,,,,3e-06,,,,,1.1e-06,1.1e-06,7e-07,7e-07,
Cyclopoida,,,,,,,,,,,0.00014,9e-05,4e-05,0.00015,0.00013,0.000197,0.000108,0.000137,0.000137,0.000125,0.0001728,0.0001953,0.0001884,0.0001939,0.0001856
Cyclostomatida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,3e-07
Cyclotrichida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Cymatosirales,,,,,,,,,,,,,5e-05,,,,2.3e-05,3.2e-05,3.1e-05,,9.7e-06,8.9e-06,1.01e-05,1.03e-05,1.19e-05
Cymbellales,0.017,0.023,0.019,0.028,0.013,0.0197,0.0199,0.0197,0.0183,0.018,0.01995,0.0189,0.01869,0.02034,0.01943,0.019545,0.019369,0.019682,0.01978,0.019733,0.0195082,0.0195168,0.0196103,0.0195952,0.0195948
Cypriniformes,,,,,,,,,,,,,,,,1.3e-05,1.1e-05,1.2e-05,1.4e-05,1.4e-05,1.57e-05,1.36e-05,1.55e-05,1.55e-05,1.58e-05
Cystobasidiales,,,,,,,,,,,,,,,,,,,,,2e-06,3.5e-06,,1.9e-06,
Cystofilobasidiales,,,,,,,,,,,0.00015,0.00015,0.00011,0.00017,,8.8e-05,0.000106,0.000102,8.8e-05,0.0001,9.82e-05,9.05e-05,9.29e-05,9.11e-05,9.4e-05
Cytophagales,,,,,,0.0031,0.0012,0.0014,0.0008,0.0007,0.00279,0.00271,0.00289,0.00249,0.00274,0.003059,0.003202,0.003042,0.002982,0.002924,0.002976,0.0029663,0.0029447,0.002972,0.0029848
D226,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07
D8A-2,,,,,,,,,,,,,,,,2e-06,,2e-06,,,6e-07,7e-07,6e-07,5e-07,6e-07
DG-20,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Dacrymycetales,,,,,,,,,,,,,,,,2e-05,1.6e-05,1.1e-05,1.4e-05,,1.81e-05,2.91e-05,2.49e-05,1.57e-05,3.13e-05
Dacrymycetes,,,,,,,,,,,,,,,,9e-06,,1.6e-05,,,7.8e-06,6.8e-06,6.5e-06,7.7e-06,6.7e-06
Dactylogyridea,,,,,,,,,,,,,,,,,,,,,1.3e-06,9e-07,1.5e-06,6e-07,1.5e-06
Dadabacteriales,,,,,,,,,,,,,,,,,1.1e-05,,,8e-06,5.8e-06,4.5e-06,4.8e-06,4.2e-06,6e-06
Dasycladales,,,,,,,,,,,,,,2e-05,2e-05,1e-05,9e-06,1.4e-05,9e-06,8e-06,1.3e-05,1.32e-05,1.36e-05,1.37e-05,1.35e-05
Decapoda,,,,,,,,,,,,,,7e-05,0.00012,0.000188,0.00013,0.000161,0.000187,0.000266,0.0001575,0.000196,0.0001519,0.000158,0.0002159
Deferribacterales,,,,,,,,,,,,,,,,6e-06,,3e-06,5e-06,4e-06,1.3e-06,1.3e-06,1.7e-06,1.8e-06,1.5e-06
Deferrisomatales,,,,,,,,,,,,,,,,,1.2e-05,,,,2.4e-06,3.6e-06,4e-06,3.7e-06,2.8e-06
Defferrisomatales,,,,,,,,,,,,,,,,5e-06,,6e-06,,,3.3e-06,3.5e-06,2.3e-06,2.6e-06,2.8e-06
Defluviicoccales,,,,,,,,,,,,,,,,,,,,,2.7e-06,1.7e-06,1.3e-06,2.3e-06,2.3e-06
Dehalococcoidales,,,,,,,,,,,,,,,,,,,,,8e-07,1.3e-06,1.2e-06,5e-07,1e-06
Deinococcales,,,,,,,,,,,3e-05,4e-05,2e-05,,3e-05,1.3e-05,2.3e-05,2e-05,2.7e-05,2.2e-05,2.59e-05,2.53e-05,2.66e-05,2.86e-05,2.27e-05
Deltaproteobacteria Syntrophorhabdaceae,,,,,,,,,,,,,,,0.00024,3e-06,,,6e-06,,2.14e-05,2.16e-05,1.92e-05,1.99e-05,1.97e-05
Demospongiae,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Dendrocerotales,,,,,,0.0003,0.0002,0.0002,,0.0004,0.00023,0.00016,0.0002,0.00031,0.00023,0.000189,0.000226,0.000201,0.000196,0.000215,0.000205,0.0002103,0.0002131,0.0002047,0.0002072
Dendrochirotida,,,,,,,,,,,,,,,,,,,,,,1.3e-06,1e-06,2e-07,2e-07
Dendrogastrida,,,,,,,,,,,,,,,,,,,,,4e-07,9e-07,,,
Dermaptera,,,,,,,,,,,,,,,,,4e-06,,,,1.3e-06,1.4e-06,1.2e-06,1.3e-06,1.4e-06
Desertifilales,,,,,,,,,,,,,,,,3e-06,,,,6e-06,1.6e-06,1.8e-06,1.1e-06,1.8e-06,1.6e-06
Desmidiales,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,7e-07,8e-07,2e-07
Desmodorida,,,,,,,,,,,,,,,,1.4e-05,2e-05,8e-06,1.9e-05,1.4e-05,2.39e-05,1.85e-05,1.86e-05,1.95e-05,1.84e-05
Desmoscolecida,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,2e-07
Desulfarculales,,,,,,,,,,,,,,,,,3e-06,,8e-06,,4.8e-06,2.9e-06,4.2e-06,4.3e-06,3.4e-06
Desulfatiglandales,,,,,,,,,,,,,,,,1e-05,1.6e-05,9e-06,1.4e-05,1e-05,1.22e-05,1.39e-05,1.42e-05,1.3e-05,1.29e-05
Desulfobacterales,,,,,,0.0007,0.0009,0.0006,0.0018,0.0015,0.00145,0.00132,0.00127,0.00134,0.00127,0.001139,0.001094,0.001108,0.001107,0.001085,0.0010926,0.0010805,0.0010963,0.0010991,0.0010911
Desulfobulbales,,,,,,0.0009,,,0.0004,0.0015,0.00074,0.00063,0.00066,0.0007,0.00062,0.000529,0.000519,0.000512,0.000498,0.000541,0.0004601,0.0004596,0.0004596,0.0004531,0.0004678
Desulfovibrionales,,,,,,,,,,,,3e-05,6e-05,6e-05,5e-05,6.8e-05,7.9e-05,5.7e-05,5.1e-05,4.5e-05,8.32e-05,7.96e-05,7.72e-05,8.13e-05,8.14e-05
Desulfurellales,,,,,,,,,,,5e-05,,,,,2.3e-05,2.4e-05,2.8e-05,3e-05,9e-06,2.5e-05,2.35e-05,2.39e-05,2.58e-05,2.35e-05
Desulfurococcales,,,,,,,,,,,,,,,,2e-06,3e-06,1.2e-05,1.3e-05,3e-06,1.16e-05,1.27e-05,1.18e-05,1.28e-05,1.23e-05
Desulfuromonadales,,,,,,,,,,,0.00024,0.00021,0.00038,0.00025,0.00022,0.000221,0.000239,0.000205,0.000223,0.000232,0.000215,0.0002084,0.0002128,0.0002072,0.0002078
Diaporthales,,,,,,,,,,,,,,,,,,,9e-06,1.1e-05,5.6e-06,5.8e-06,6.6e-06,5.8e-06,6.4e-06
Dicranales,,,,,,,,,,,,,,,,,,,4e-06,,4e-07,2e-07,1.9e-06,2.3e-06,3.2e-06
Dictyochales,,,,,,,,,,,,,,,,,,,,,5e-07,,,,
Dictyoglomales,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,,3e-07,6e-07
Dictyosteliales,,,,,,,,,,,,,,,,,,,,,8e-07,3e-07,6e-07,5e-07,9e-07
Dictyotales,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Dilleniales,,,,,,,,,,,,,,,,,2e-06,,3e-06,,8e-07,6e-07,5e-07,4e-07,6e-07
Dimargaritales,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Dinoflagellata,0.003,0.002,,0.003,,0.0019,0.0026,0.0025,0.0031,0.0025,0.00259,0.00291,0.00262,0.00273,0.00279,0.00271,0.0026,0.002479,0.002508,0.002716,0.0027164,0.0027256,0.002646,0.0026805,0.0026782
Dinophysales,,,,,,,,,,,,,,,,,,3.2e-05,2.1e-05,3e-06,2.72e-05,2.45e-05,2.42e-05,1.33e-05,3.23e-05
Dioscoreales,0.044,0.041,0.041,0.048,0.041,0.0175,0.0178,0.0195,0.0155,0.0177,0.0175,0.0185,0.01772,0.01743,0.0184,0.017583,0.017606,0.01747,0.017596,0.017469,0.0175017,0.0174906,0.0175003,0.0175077,0.0175177
Diphyllidea,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Diphyllobothriidea,,,,,,,,,,,,,,,,,,,,,1.4e-06,1e-06,1.1e-06,9e-07,1.4e-06
Diplomonadida,,,,,,,,,,,,,,,,,,,,,1.1e-06,3e-07,8e-07,7e-07,6e-07
Diplorickettsiales,,,,,,,,,,,,,,,,3e-06,5e-06,,,7e-06,7.4e-06,9.3e-06,6.9e-06,9.2e-06,9e-06
