genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Sulfurimonas,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0001,0.00010000100001000009,0.0001,0.00016,9e-05,4.000040000400004e-05,9.400075200601606e-05,7.600076000760007e-05,0.00011800094400755206,0.00012900077400464403,0.00013300106400851208,8.663491746180723e-05,0.00013131410859364465,0.00010112424340539911,0.00014366267891842058,0.0001003831912021743
Sulfurirhabdus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-05,3.000024000192002e-06,8.000080000800008e-06,4.000032000256002e-06,1.1000066000396002e-05,6.000048000384003e-06,1.375157420028686e-05,7.562592641518801e-06,3.439600115829901e-06,8.93595610497353e-06,6.875561041244815e-06
Sulfuriroseicoccus,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0002,0.0,0.0002,0.000140001400014,0.00016,9e-05,0.00031,0.000190001900019,0.0001760014080112,0.000160001600016,0.0001820014560116,0.0001370008220049,0.0001740013920111,0.0001615809968533,0.0001546893949401,0.0001740437658609,0.000175969597144,0.0001877028164259
Sulfurisoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000060000360005e-06,0.0,0.0,1.3750168439125092e-06,1.3758400463319607e-06,1.3747624776882351e-06,6.875561041244814e-07
Sulfurisphaera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Sulfuritalea,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0,1.000010000100001e-05,3e-05,2e-05,7e-05,2.000020000200002e-05,2.700021600172801e-05,1.800018000180002e-05,2.1000168001344013e-05,3.100018600111601e-05,2.2000176001408014e-05,2.612799098054503e-05,2.062525265868764e-05,1.788592060231549e-05,2.8182630792608823e-05,2.6127131956730294e-05
Sulfuritortus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000040000320002e-06,5.000050000500004e-06,3.000024000192002e-06,1.0000060000360005e-06,0.0,1.375157420028686e-06,4.125050531737528e-06,3.439600115829901e-06,6.186431149597058e-06,1.375112208248963e-06
Sulfurivermis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-05,3.000024000192002e-06,1.7000170001700017e-05,1.700013600108801e-05,6.000036000216002e-06,8.000064000512004e-06,9.626101940200803e-06,1.1687643173256328e-05,4.815440162161862e-06,3.436906194220588e-06,5.500448832995852e-06
Sulfurivirga,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,4.000032000256002e-06,6.000060000600005e-06,4.000032000256002e-06,2.000012000072001e-06,4.000032000256002e-06,4.813050970100402e-06,6.875084219562546e-07,2.063760069497941e-06,6.873812388441177e-07,1.3751122082489629e-06
Sulfurospirillum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,2.000020000200002e-05,4e-05,0.0,5e-05,2.000020000200002e-05,1.6000128001024008e-05,8.000080000800008e-06,1.6000128001024008e-05,9.000054000324005e-06,1.1000088000704007e-05,9.626101940200802e-06,1.306266001716884e-05,1.1694640393821664e-05,1.0998099821505881e-05,1.1688453770116186e-05
