family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Acrochaetiaceae,,,,,,,,,,,,,,,,,,,,,6.6204997153189565e-06,,,,2.206492383188439e-06
Acroporidae,,,,,,,,0.0003262642740619902,,,3.333111125924941e-05,,3.373022565520964e-05,6.781500067815001e-05,6.635700066357004e-05,2.923881615282336e-05,1.955206225376623e-05,2.9134793741848154e-05,3.890672113607866e-05,1.6303851621908213e-05,3.310249857659479e-05,4.19703071122026e-05,2.4364690690253264e-05,2.203579935964105e-05,2.2064923831884392e-05
Acrospermaceae,,,,,,,,,,,,,,,,,,,3.2422267613398885e-06,,4.413666476879304e-06,2.2089635322211897e-06,,6.610739807892315e-06,
Acrothesauraceae,,,,,,,,,,,,,,,,,,,,,,,,2.203579935964105e-06,
Acrotrichaceae,,,,,,,,,,,,,,,,,,,,,4.413666476879304e-06,,,,
Actinidiaceae,,,,,,,,,,,3.333111125924941e-05,,,,,6.497514700627413e-06,,9.711597913949386e-06,3.2422267613398885e-06,3.2607703243816422e-06,2.206833238439652e-06,6.626890596663569e-06,6.644915642796345e-06,2.203579935964105e-06,
Actiniidae,,,,,,,,,,,3.333111125924941e-05,,3.373022565520964e-05,,,3.2487573503137065e-06,,6.474398609299589e-06,3.2422267613398885e-06,9.782310973144928e-06,2.206833238439652e-06,8.835854128884759e-06,4.429943761864231e-06,4.407159871928209e-06,4.412984766376879e-06
Actinomycetaceae,,,,,,,,0.0009787928221859708,,,0.0002999800013332447,0.00019949461364543157,0.0002698418052416771,0.00013563000135630003,0.0001327140013271401,0.00014294532341380307,0.00018248591436848482,0.00017804596175573874,0.0001394157507376152,0.00017282082719222706,0.00013461682754481878,0.0001502095201910409,0.00019934746928389037,0.00017408281494116427,0.00017431289827188668
Actinopolymorphaceae,,,,,,,,,,,6.666222251849882e-05,3.32491022742386e-05,,3.390750033907501e-05,9.953550099535508e-05,1.2995029401254826e-05,2.6069416338354977e-05,1.9423195827898768e-05,3.242226761339887e-05,2.6086162595053138e-05,1.7654665907517215e-05,2.8716525918875463e-05,1.993474692838904e-05,1.322147961578463e-05,1.3238954299130635e-05
Actinopolysporaceae,,,,,,,,,,,,,,,,3.2487573503137065e-06,,9.711597913949386e-06,1.6211133806699435e-05,3.2607703243816422e-06,4.413666476879304e-06,1.7671708257769518e-05,4.429943761864231e-06,2.203579935964105e-06,
Actinospicaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Actinostolidae,,,,,,,,,,,,,,,,,,,,,,,,,
Acutalibacteraceae,,,,,,0.00032754667540124465,,,,,,,,,3.317850033178502e-05,,9.776031126883115e-06,6.474398609299589e-06,3.2422267613398885e-06,6.5215406487632845e-06,1.986149914595687e-05,8.835854128884759e-06,4.429943761864231e-06,6.610739807892315e-06,1.7651939065507515e-05
