,taxon_id,1K_1-genus,1K_2-genus,1K_3-genus,1K_4-genus,1K_5-genus,10K_1-genus,10K_2-genus,10K_3-genus,10K_4-genus,10K_5-genus,100K_1-genus,100K_2-genus,100K_3-genus,100K_4-genus,100K_5-genus,1M_1-genus,1M_2-genus,1M_3-genus,1M_4-genus,1M_5-genus,10M_1-genus,10M_3-genus,10M_4-genus,10M_5-genus
Psychrobacter,497.0,4.0,3.0,2.0,4.0,1.0,20.0,28.0,30.0,26.0,25.0,315.0,286.0,285.0,312.0,328.0,2907.0,2980.0,2970.0,2902.0,3013.0,29396.0,29817.0,29746.0,29712.0
Vibrio,662.0,4.0,2.0,1.0,1.0,0.0,17.0,11.0,13.0,13.0,11.0,132.0,149.0,135.0,169.0,122.0,1460.0,1394.0,1476.0,1460.0,1430.0,14247.0,14370.0,14534.0,14345.0
Lewinella,70994.0,4.0,0.0,2.0,1.0,1.0,11.0,14.0,18.0,16.0,15.0,166.0,184.0,183.0,169.0,163.0,1829.0,1792.0,1842.0,1848.0,1811.0,18339.0,18173.0,18020.0,18134.0
Candidatus Pelagibacter,198251.0,4.0,5.0,4.0,3.0,2.0,35.0,36.0,34.0,36.0,35.0,341.0,334.0,320.0,312.0,303.0,3199.0,3207.0,3215.0,3171.0,3181.0,32232.0,32328.0,32408.0,32260.0
Lentibacter,1434014.0,4.0,4.0,2.0,8.0,5.0,63.0,74.0,75.0,60.0,76.0,724.0,635.0,668.0,685.0,689.0,7000.0,6857.0,6994.0,6789.0,6765.0,68411.0,68790.0,68717.0,68921.0
Erythrobacter,1041.0,3.0,2.0,2.0,1.0,0.0,15.0,12.0,14.0,12.0,10.0,104.0,98.0,116.0,108.0,100.0,997.0,1055.0,1044.0,1030.0,1058.0,10350.0,10499.0,10388.0,10392.0
Thalassiosira,35127.0,3.0,8.0,2.0,4.0,5.0,46.0,45.0,45.0,46.0,33.0,400.0,462.0,428.0,419.0,431.0,4343.0,4222.0,4208.0,4129.0,4149.0,42448.0,42318.0,42251.0,42191.0
Oceanobacter,196079.0,3.0,4.0,4.0,10.0,7.0,36.0,34.0,34.0,33.0,49.0,364.0,373.0,421.0,365.0,371.0,3690.0,3798.0,3693.0,3630.0,3793.0,37087.0,37022.0,37142.0,36943.0
Pseudomonas,286.0,2.0,2.0,1.0,2.0,3.0,4.0,11.0,15.0,9.0,12.0,128.0,121.0,110.0,114.0,114.0,1173.0,1180.0,1207.0,1135.0,1170.0,11608.0,11573.0,11594.0,11618.0
Synechococcus,1129.0,2.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,11.0,7.0,44.0,31.0,50.0,55.0,44.0,465.0,459.0,460.0,469.0,463.0,4556.0,4522.0,4631.0,4501.0
