Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Acinetobacter baumannii   ,,,,,,,,,,,,,,,,,,,,,,,,,7e-07
Acinetobacter calcoaceticus   ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,2e-07,
Acinetobacter gandensis   ,,,,,,,,,,,,,,,,1.2e-05,1.7e-05,1e-05,2.3e-05,1.2e-05,1.53e-05,1.49e-05,1.36e-05,1.58e-05,1.58e-05
Acinetobacter indicus   ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Acinetobacter johnsonii   ,,,,,,,,,0.0002,,8e-05,5e-05,6e-05,8e-05,7e-05,7.1e-05,7.6e-05,5.9e-05,8e-05,6.2e-05,6.63e-05,6.96e-05,6.71e-05,7.04e-05,6.84e-05
Acinetobacter lwoffii   ,,,,,,,,,,,,,,,,,,,2e-06,,,,3e-07,2e-07,2e-07
Acinetobacter sp. 20140112  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acinetobacter sp. GIST-MLI60  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Acinetobacter sp. HIRFA34  ,,,,,,,,,,,,,,,,,,,,,,1.1e-06,,,
Acinetobacter sp. HM_AF14  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Acinetobacter sp. HM_AF9  ,,,,,,,,,,,,,,,,,,2e-06,2e-06,2e-06,1.3e-06,1.8e-06,1.6e-06,1.3e-06,1.6e-06
Acinetobacter sp. J54C10A  ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,,
Acinetobacter sp. NJUST01  ,,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,3e-07,4e-07
Acinetobacter sp. P4555  ,,,,,,,,,,,,,,,,,,,,,4e-07,5e-07,3e-07,4e-07,3e-07
Acinetobacter sp. P4580  ,,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,2e-07,3e-07,4e-07
Acinetobacter sp. PG26  ,,,,,,,,,,,,,,,,,,,,,,5e-07,2e-07,,2e-07
Acinetobacter sp. PUCM1027  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,2e-07
Acinetobacter sp. SLH4  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Acinetobacter sp. SRR-55  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Acinetobacter sp. ST-550  ,,,,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07
Acinetobacter sp. V1(2012),,,,,,,,,,,,,,,,,,,,,,1.1e-06,,9e-07,4e-07
Acinetobacter sp. c1  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07
Acinetobacter sp. enrichment culture clone,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,,,2e-07
Acinetobacter sp. icri12  ,,,,,,,,,,,,,,,,,,,,,1.08e-05,1.02e-05,7.6e-06,8.8e-06,7.4e-06
