Species,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Glaciecola nitratireducens,,,,,,,,,,,,,,,,1.5e-05,2.5e-05,,,,7.7e-06,,4.2e-06,,3.7e-06
Glaciecola sp.,,,,,,,,,,,0.00034,0.00028,0.00034,0.00035,0.0004,0.000339,0.00033,0.00034,0.000326,0.000342,0.0003492,0.0003466,0.000339,0.0003413,0.0003435
Glaciecola sp. ANT9183b  ,,,,,,,0.0015,0.0015,,0.001,0.00046,0.00058,0.00064,0.00071,0.0008,0.000695,0.000667,0.000679,0.000753,0.000691,0.0006768,0.0006709,0.0006758,0.0006743,0.0006786
Glaciecola sp. RCC2389  ,,,,,,,,,,,,,,,,2e-06,,1.4e-05,,,7.5e-06,6.5e-06,9.9e-06,1.14e-05,2e-07
Glaesserella parasuis,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,
Glarea lozoyensis,,,,,,,,,,,,,,,,,,,,,6e-07,5.4e-06,6e-07,6.6e-06,
Glaucoma chattoni,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Globba curtisii,,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,4e-07
Globigerina bulloides,,,,,,,,,,,,,,,,2e-06,,2e-06,,,1.3e-06,1.4e-06,1.8e-06,1.6e-06,1.6e-06
Globigerina falconensis,,,,,,,,,,,5e-05,6e-05,,3e-05,5e-05,4.1e-05,3.1e-05,4.8e-05,4.2e-05,3.1e-05,4.31e-05,4.39e-05,4.74e-05,4.34e-05,4.61e-05
Globigerinella aequilateralis,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,5e-07,6e-07,7e-07
Globigerinella siphonifera,,,,,,,,,,,,,,,,,,,,,2e-07,,,4e-07,
Globigerinita glutinata,,,,,,,,,,,,,,,,,,,,,7e-07,1.1e-06,9e-07,6e-07,8e-07
Globigerinita uvula,,,,,,,,,,,,,,,,,,,,3e-06,2e-06,1.7e-06,1.9e-06,1.9e-06,1.3e-06
Globigerinoides ruber,0.02,0.011,0.007,0.009,0.025,0.0125,0.0148,0.0144,0.0122,0.0119,0.0132,0.01287,0.01317,0.01312,0.01337,0.01318,0.013273,0.013055,0.013071,0.013188,0.0130588,0.0130851,0.0131273,0.0130527,0.0130694
Globigerinoides sacculifer,,,,,,,,,,,,,,,,,,,,,2e-07,,4e-07,4e-07,2e-07
Globisporangium ultimum,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,,
Globodera pallida,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Globorotalia hirsuta,,,,,,,0.0007,0.0004,0.0006,,0.00054,0.00046,0.00036,0.00032,0.00043,0.000461,0.000381,0.000455,0.000398,0.000395,0.0004063,0.000413,0.0004195,0.0004151,0.0004095
Globorotalia inflata,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,2e-07,
Globorotalia scitula,,,,,,,,,,,,,,,,4e-06,,4e-06,3e-06,4e-06,7.9e-06,8.3e-06,8e-06,7e-06,8e-06
Globorotalia truncatulinoides,0.008,0.006,0.015,0.009,0.016,0.0126,0.0117,0.0119,0.0114,0.0106,0.01242,0.01243,0.0127,0.01248,0.01183,0.012193,0.012141,0.012208,0.01225,0.012166,0.0121825,0.012143,0.0121741,0.012203,0.0121602
Globorotalia tumida,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,
Globoturborotalita rubescens,,,,,,,,,,,,,,,,,,3e-06,,,2.3e-06,2.5e-06,2.3e-06,2.8e-06,2.3e-06
Gloeochaete wittrockiana,,,,,,,,,,,,,,,,,,,,,1.5e-06,1.2e-06,1.2e-06,1.4e-06,7e-07
Gloeotrichia sp. PMC236.04  ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,,
Glomeromycotina sp. MIB 8446,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Glomeromycotina sp. WR330.b-D,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,5e-07,,4e-07
Glossina morsitans,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,,4e-07
Glossina palpalis,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Glossomastix chrysoplasta,,,,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07
Gluconacetobacter liquefaciens   ,,,,,,,,,,,,,,,,,,,1.5e-05,1.1e-05,4.1e-06,4.6e-06,4.3e-06,4.2e-06,3.1e-06
Gluvia dorsalis,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Glycera lapidum  ,,,,,,,,,,,,,,,,,,,,,5.4e-06,5.7e-06,5.9e-06,6.1e-06,4.6e-06
Glycera sp. SR-2015 ,,,,,,,,,,,,,,,,9e-06,1.3e-05,1.7e-05,1.1e-05,1e-05,1.04e-05,1.06e-05,1.06e-05,1.13e-05,1.04e-05
Glycera tridactyla  ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,3e-07,3e-07
Glycine soja,,,,,,,,,,,,,,,,,,,,,,5.1e-06,,2e-07,5.8e-06
Glycomyces sp. NRRL B-16210 ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Glycomyces sp. S7-662  ,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,2e-07,2e-07,3e-07
Glycomyces sp. XHU 5089 ,,,,,,,,,,,,,,,,,,,,,9e-07,6e-07,5e-07,5e-07,
Glyphocrangon alispina,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Glyphoperidium bursa  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Gnathorhynchus inermis  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Gnathostomula peregrina,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Gnetum africanum,,,,,,0.0076,0.0094,0.0075,0.0071,0.0073,0.00669,0.00671,0.00686,0.00683,0.00624,0.006218,0.00637,0.006135,0.006029,0.00617,0.0062211,0.0061574,0.0062001,0.0061894,0.006174
Gnorimosphaeroma sp. RW00.008,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Gnosonesima sp. IV CEL-2014,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,,,
Gomphonema exilissimum,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Gomphonema micropus,,,,,,,,,,,,,,,,,,,,,,1e-06,,1.1e-06,1e-06
Goniadera sp. KKanda KK0342,,,,,,,,,,,,3e-05,,,,3e-06,3e-06,5e-06,4e-06,5e-06,3.1e-06,4.2e-06,3.7e-06,4.1e-06,4.1e-06
Goniobranchus geometricus,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,3e-07,
Goniomonas avonlea,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07
Goniomonas pacifica,,,,,,,,,,,,,,,,,,2e-06,,,1.7e-06,1.6e-06,2.1e-06,1.9e-06,2.2e-06
Gonyaulacales,,,,,,,,,,,,,,,,,,,,,,,3.9e-06,3.1e-06,
Gonyaulax cochlea,,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,5e-07
Gonyaulax spinifera,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Goodfellowiella coeruleoviolacea   ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
Gordonia sp. SoCg  ,,,,,,,,,,,,,,,,,,,,,6e-07,,,3e-07,3e-07
Gossypium arboreum,,,,,,,,,,,,,,,,,,2e-06,,4e-06,1.9e-06,2.5e-06,3.7e-06,1.9e-06,3.2e-06
Gossypium raimondii,,,,,,,,,,,,,,,,,,,,,4.4e-06,4.6e-06,6.2e-06,4.4e-06,5.8e-06
Gotocotyla bivaginalis  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Goussia sp. BMR-2011,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Gracilaria debilis   ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Gracilaria fergusonii   ,,,,,,,,,,,,,,,,,,,,,,,,,3e-07
Gracilaria salicornia,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,3e-07,2e-07
Gracilaria vermiculophylla,,,,,,,,,,,,,,,,,,,,,6e-07,2e-07,,,
Gracilariophila oryzoides,,,,,,,,,,,,,,,,,,,,,6e-07,8e-07,5e-07,9e-07,1.1e-06
Gracilariopsis lemaneiformis,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,2e-07,2e-07,
Gram-positive bacterium SOGA22  ,,,,,,,,,,,,,4e-05,,,2e-05,2.6e-05,1.6e-05,8e-06,2.2e-05,1.64e-05,1.84e-05,1.64e-05,1.83e-05,1.71e-05
Gramella antarctica,,,,,,,,,,,,,,,,,,,,,2.9e-06,3.2e-06,2.9e-06,2.2e-06,2.4e-06
Graminella nigrifrons  ,,,,,,,,,,,,,,,,,,,,,4e-07,9e-07,,4e-07,9e-07
Grania americana  ,,,,,,,,,,,,,,,,,,,,,3.3e-06,2.9e-06,2.5e-06,,3.1e-06
Granulibacter bethesdensis,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,5e-07,1e-06,8e-07
Granulicoccus phenolivorans DSM 17626 ,,,,,,,,,,,,,,,,,,,,,5e-07,9e-07,4e-07,3e-07,3e-07
Granulobasidium vellereum,,,,,,,,,,,,,,,,,,,2e-06,,7e-07,4e-07,7e-07,2e-07,3e-07
Graphelmis marshalli,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Graphis scripta,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,
Graphium sp. UCR2161,,,,,,,,,,,,,,,,,,,,,,4e-07,,3e-07,
Graphopsocus cruciatus,,,,,,,,,,,,,,,,3e-06,2e-06,,,,6e-07,3e-07,7e-07,6e-07,1e-06
Grateloupia lanceola,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,2e-07
Gregarina cloptoni,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,,,2e-07
Gregarina coronata,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Gregarina diabrotica,,,,,,,,,,,,,,,,,,6e-06,,,,2e-07,,,
Gregarina kingi,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Gregarina polymorpha,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Grevillea robusta,,,,,,,,,,,,,,,,,,,,,,,9e-07,,6e-07
Grifola frondosa,,,,,,,,,,,,,,,,,,,,,,,2e-07,5e-07,
Grillotia pristiophori  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Grimontia hollisae   ,,,,,,,,,,,,,,,,,,,,,,,6e-07,,
Gromia oviformis,,,,,,,,,,,,,,,,6e-06,,5e-06,,8e-06,5.9e-06,5.3e-06,5.7e-06,5.7e-06,6.1e-06
Grosmannia,,,,,,,,,,,,,,,,5e-06,,5e-06,5e-06,,3.9e-06,4.6e-06,4.6e-06,4.4e-06,5e-06
Grubeulepis mexicana  ,,,,,,,,,,,,,,,,,,,,,2.8e-06,3.6e-06,3.5e-06,3.3e-06,4.4e-06
Gryllus assimilis,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,,4e-07,4e-07
Guillardia theta,,,,,,,,,,,,,,,,2.4e-05,1.4e-05,1.7e-05,1.1e-05,1.3e-05,1.32e-05,1.3e-05,1.39e-05,1.41e-05,1.22e-05
Guitarra antarctica,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,2e-07,2e-07,
Gyalecta ulmi,,,,,,,,,,,,,,,,,,,,,,,3e-07,5e-07,
Gymnoderma coccocarpum,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,,,
Gymnodinium cucumis,,,,,,,,,,,,,,,,,,2e-06,,5e-06,6e-07,6e-07,7e-07,8e-07,1e-06
Gymnodinium dorsalisulcum,,,,,,,,,,,,,,,,,,,,,,3e-07,,,
Gymnodinium lira,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Gymnosporangium clavipes,,,,,,,,,,,,,,,,3e-06,2e-06,4e-06,4e-06,3e-06,2.1e-06,2.8e-06,4.1e-06,2.8e-06,2.9e-06
Gyptis brunnea  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,
Gyrinus marinus,,,,,,,,,,,,,,,,,,,,,3.8e-06,3e-06,2.8e-06,3.5e-06,8e-07
Gyrinus sp. VLS-1999,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Gyrocotyle sp. Tasmania ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Gyrodactylus superbus  ,,,,,,,0.0004,,0.0002,0.0002,0.00016,0.00013,0.00018,0.00011,0.00011,9.7e-05,0.000105,9.5e-05,0.000111,8.8e-05,0.0001028,0.0001015,9.7e-05,9.8e-05,9.46e-05
Gyropaigne lefevrei,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,2e-07
Gyrosigma limosum,,,,,,,,,,,,,,,,,,,,,,,,2.6e-06,
Habropoda laboriosa,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Hachettea austrocaledonica,,,,,,,,,,,,,,,,3.4e-05,3.3e-05,3.5e-05,4.3e-05,4.1e-05,3.47e-05,3.36e-05,3.32e-05,3.37e-05,3.27e-05
Hadziana clavigera  ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,5e-07,4e-07
Haemaphysalis inermis  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Haemogamasus sp. APGD-2010 ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Haemophilus influenzae   ,,,,,,,,,,,,,,,,,,,,,9e-07,5e-07,1.1e-06,5e-07,6e-07
Haererehalobacter sp. SO15  ,,,,,,,,,,,,,,,,,,,,,2.9e-06,,,2e-06,
Haererehalobacter sp. SO18  ,,,,,,,,,,,,,,,,3e-06,,,,3e-06,3e-06,3.5e-06,2.7e-06,2.5e-06,2.8e-06
Haererehalobacter sp. SO99  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Haladaptatus paucihalophilus,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Halalaimus sp. Cr74a ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,2e-07,4e-07,4e-07
Halalaimus sp. Cr9 ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,
Halammovortex sp. NVS-2013 ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,3e-07,
Halarchaeum solikamskense   ,,,,,,,,,,,,,,,,,,,,,1.1e-06,1.1e-06,9e-07,8e-07,1.2e-06
Halarchaeum sp. MH1-243-1  ,,,,,,,,,,,,,,,,,,,,,3e-07,,3e-07,2e-07,
Halicephalobus sp. WB-2010a,,,,,,,,,,,8e-05,8e-05,7e-05,9e-05,0.00013,9.4e-05,0.000104,9.9e-05,8.2e-05,9.5e-05,9.7e-05,8.86e-05,8.38e-05,9.37e-05,8.63e-05
Halichaetonotus aculifer,,,,,,,,,,,,,,,,,,,,,1.3e-06,1.3e-06,9e-07,1.1e-06,9e-07
Halicyclops continentalis,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Halimeda borneensis,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07
Haliotrema ctenochaeti  ,,,,,,,,,,,,,,,,,,,,,8e-07,6e-07,7e-07,5e-07,6e-07
Haliotrematoides spinatus  ,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,7e-07,,
Haliplus lineatocollis,,,,,,,,,,,,,,,,,,,,,,,3e-07,,
Haliplus mucronatus,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,2e-07,
Haliplus ruficollis,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,5e-07,
Halisarca dujardinii,,,,,,,,,,,,,,,,,,,,,,,,,5.8e-06
Halisarca restingaensis,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,3e-07,
Haliscomenobacter sp. JS224  ,,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,2e-07,3e-07
Hallangia proporoides,,,,,,,,,,,,,,,,,,,,,,,,3e-07,
Hallella multisaccharivorax,,,,,,,,,,,,,,,,,,,,,3e-07,,,,
Hallomenus binotatus,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,1.1e-06,9e-07,1.1e-06
Haloarcula argentinensis,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,2e-07
Haloarcula hispanica   ,,,,,,,,,,,,,,,,,,5e-06,,2e-06,1e-06,1.9e-06,2.4e-06,1.1e-06,2.5e-06
Haloarcula japonica,,,,,,,,,,,,,,,,,,3e-06,,,,,,,
Haloarcula marismortui   ,,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,,
Haloarcula salaria   ,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,,3e-07
Haloarcula sp. 113  ,,,,,,,,,,,,,,,,,,,,,,,,,5.2e-06
Haloarcula sp. A337  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Haloarcula sp. ARA7_G08  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,2e-07,4e-07,
Haloarcula sp. E303-1  ,,,,,,,,,,,,,,,,,,,,,6e-07,,,,6e-07
Haloarcula sp. G10  ,,,,,,,,,,,,,,,,,,,,,4e-07,,4e-07,,3e-07
Haloarcula sp. LLSG7  ,,,,,,,,,,,,,,,,,,,,,1e-06,5e-07,4e-07,8e-07,6e-07
Haloarcula sp. MaM1  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Haloarcula sp. PaC1  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Haloarcula sp. meg6  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Halobacteriaceae archaeon 'tarim 158' ,,,,,,,,,,,,,,,,,,,,,4e-07,6e-07,4e-07,3e-07,
Halobacteriaceae archaeon 'tarim 89208' ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Halobacteriaceae archaeon TS-2013  ,,,,,,,,,,,,,,,,,,,,,1.2e-06,1.8e-06,1.7e-06,1.1e-06,1.4e-06
Halobacteriaceae archaeon ZS-47-S  ,,,,,,,,,,,,,,,,,,,,,,6e-07,7e-07,7e-07,8e-07
Halobacteriaceae archaeon ZS-5  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Halobacteriaceae archaeon wu-1  ,,,,,,,,,,,,,,,,,,,,2e-06,1.1e-06,8e-07,1.1e-06,1e-06,7e-07
Halobacteriales archaeon YIM 93590 ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Halobacterium salinarum   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,5e-07,2e-07
Halobacterium sp. BAB-2228  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07,
Halobacterium sp. CH11  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,2e-07
Halobacterium sp. HA4  ,,,,,,,,,,,,,,,,4e-06,,2e-06,,4e-06,1.3e-06,1.2e-06,9e-07,1e-06,1.1e-06
Halobacterium sp. HiM6  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,
Halobacterium sp. P92A090908-6O  ,,,,,,,,,,,,,,,,,,,,,4e-07,7e-07,3e-07,4e-07,3e-07
Halobacteroides elegans   ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,
Halobaculum magnesiiphilum   ,,,,,,,,,,,,,,,,,,,,2e-06,3e-07,4e-07,,,2e-07
Halobellus rufus   ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Halobellus salinus   ,,,,,,,,,,,,,,,,,,2e-06,,,5e-07,6e-07,,2e-07,6e-07
Halococcus sp. IARI-SNAB2  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07
Halococcus sp. KeC-03  ,,,,,,,,,,,,,,,,,,,,,2e-07,,5e-07,4e-07,
Halococcus sp. KeC-12  ,,,,,,,,,,,,,,,,,,,,,8e-07,8e-07,6e-07,,8e-07
Halococcus sp. KeC-17  ,,,,,,,,,,,,,,,,,,,,,,,,,2e-07
Halococcus sp. KeC-19  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Haloferax larsenii,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,6e-07,6e-07,7e-07
Haloferax larsenii   ,,,,,,,,,,,,,,,,,,,,,2e-07,,3e-07,,
Haloferax sp. CT4-3  ,,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07
Haloferax sp. YT226  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Haloferax volcanii   ,,,,,,,,,,,,,,,,,,,,,3e-07,4e-07,4e-07,,5e-07
Haloferula sargassicola   ,,,,,,,,,,,,,,,,,,,,,,,,1e-06,9e-07
Halogeometricum sp. 5Sa3  ,,,,,,,,,,,,,,,,9e-06,9e-06,1.3e-05,8e-06,7e-06,7.7e-06,9.6e-06,8.9e-06,9.7e-06,9.1e-06
Halogeometricum sp. enrichment culture clone,,,,,,,,,,,,,,,,,3e-06,,,2e-06,1.8e-06,1.3e-06,1.3e-06,1.6e-06,1.5e-06
Halogranum salarium   ,,,,,,,,,,,,,,,,,,,,,4e-07,2e-07,3e-07,5e-07,2e-07
Halohasta sp. RDI82  ,,,,,,,,,,,,,,,,,2e-06,3e-06,,4e-06,1.7e-06,1.7e-06,2e-06,2.2e-06,1.5e-06
Halojulella avicenniae  ,,,,,,,,,,,,,,,,,,,,,1e-06,5e-07,7e-07,7e-07,6e-07
Halolamina rubra   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,,
Halomarina oriensis   ,,,,,,,,,,,,,,,,,,,,,7e-07,7e-07,7e-07,8e-07,8e-07
Halomicroarcula salina   ,,,,,,,,,,,,,,,,,,,,3e-06,7e-07,1e-06,1.3e-06,8e-07,1.1e-06
Halomicrobium mukohataei   ,,,,,,,,,,,,,,,,,,,,,5e-07,,8e-07,4e-07,6e-07
Halomicrobium sp. HArcht3-2  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,2e-07
Halomicrobium sp. KM  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,3e-07,,4e-07
Halomicrobium zhouii   ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,,2e-07,2e-07
Halomonas anticariensis FP35 = DSM,,,,,,,,,,,,,,,,,,,,,,3e-07,,,3e-07
Halomonas aquamarina   ,,,,,,,,,,,,,,,,,,2e-06,,,2e-07,4e-07,4e-07,2e-07,6e-07
Halomonas campisalis   ,,,,,,,,,,,,,,7e-05,,3.4e-05,3.6e-05,,7.7e-05,,3.79e-05,6.73e-05,3.39e-05,3.88e-05,5.71e-05
Halomonas denitrificans   ,,,,,,,,,,,,,,,,,,,,,5e-07,,5e-07,5e-07,
Halomonas desiderata   ,,,,,,,,,,,,,,,,,,,,,2e-07,4e-07,6e-07,4e-07,7e-07
Halomonas hamiltonii   ,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,5e-07,5e-07,5e-07
Halomonas muralis   ,,,,,,,,,,,,,,,,6e-06,5e-06,5e-06,8e-06,6e-06,5.3e-06,6.1e-06,5.2e-06,5.6e-06,5.6e-06
Halomonas nitritophilus   ,,,,,,,,,,,,,,,,,,,,,5e-07,5e-07,3e-07,,
Halomonas organivorans   ,,,,,,,,,,,,,,,,,,,,,,5e-07,6e-07,6e-07,4e-07
Halomonas shengliensis   ,,,,,,,,,,,,,,,,,,,,,9e-07,1.4e-06,8e-07,1.3e-06,8e-07
Halomonas sp. 1005  ,,,,,,,,,,,,,,,,,,,,,1.3e-06,9e-07,7e-07,8e-07,1.5e-06
Halomonas sp. 3024  ,,,,,,,,,,,,,,,,,,,,,2e-07,,,,3e-07
Halomonas sp. ANIOT04  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,2e-07
Halomonas sp. B-2048  ,,,,,,,,,,,,,,,,,,3e-06,,,2.1e-06,2.1e-06,1.9e-06,2.1e-06,2.1e-06
Halomonas sp. B1  ,,,,,,,,,,,,,,,,2.2e-05,1.3e-05,2.2e-05,,,1.45e-05,2.23e-05,2.25e-05,2.22e-05,
Halomonas sp. CHS5  ,,,,,,,,,,,,,,,,,,,,,,,6e-07,4e-07,4e-07
Halomonas sp. CHS6  ,,,,,,,,,,,,,,,,,,,,,4e-07,4e-07,3e-07,2e-07,2e-07
Halomonas sp. DSTB302  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Halomonas sp. FIB163_1  ,,,,,,,,,,,,,,,,,,,,,1.7e-06,1.2e-06,1.6e-06,1.1e-06,9e-07
Halomonas sp. GQ58  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,,,
Halomonas sp. HB26  ,,,,,,,,,,,,,,,,,,,,,7.14e-05,4.8e-05,6.95e-05,7.02e-05,4.85e-05
Halomonas sp. HL21  ,,,,,,,,,,,,,,,,,,,,,2e-07,3e-07,5e-07,2e-07,3e-07
Halomonas sp. HL82  ,,,,,,,,,,,,,,,,,,,,,2e-07,,2e-07,,
Halomonas sp. HN1  ,,,,,,,,,,,,,,,,,2e-06,,,,6e-07,3e-07,4e-07,5e-07,4e-07
Halomonas sp. KY-Sp2-1  ,,,,,,,,,,,,,,,,,,,,,,2e-07,,,
Halomonas sp. LAMA 879 ,,,,,,,,,,,,,,,,,,,,,4e-07,3e-07,3e-07,,3e-07
Halomonas sp. MAM  ,,,,,,,,,,,,,,,,,,,,,5e-07,4e-07,4e-07,2e-07,3e-07
Halomonas sp. ML-185  ,,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,2e-07,
Halomonas sp. NBSL19  ,,,,,,,,,,,,,,,,,,,,,3e-07,3e-07,3e-07,3e-07,3e-07
Halomonas sp. SBC13  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Halomonas sp. SKNB20  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,2e-07
Halomonas sp. SR4  ,,,,,,,,,,,,,,,,,,,,5e-06,2e-06,1.5e-06,2.5e-06,2.7e-06,
Halomonas sp. SR4(2012),,,,,,,,,,,,,,,,,,,,,3e-07,2e-07,,5e-07,3e-07
Halomonas sp. Sa13-1I  ,,,,,,,,,,,,,,,,,4e-06,2e-06,7e-06,3e-06,2.5e-06,2.2e-06,1.7e-06,1.8e-06,2e-06
Halomonas sp. VKRKCd15  ,,,,,,,,,,,,,,,,2e-06,3e-06,,4e-06,,1.1e-06,1.4e-06,1.2e-06,1.3e-06,1.7e-06
Halomonas sp. VKRKCo10  ,,,,,,,,,,,,,,,,,,,,,5e-07,3e-07,4e-07,4e-07,4e-07
Halomonas sp. YD-7  ,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Halomonas sp. s1e-1  ,,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,3e-07,
Halomonas sp. whb28  ,,,,,,,,,,,,,,,,,,,,,2e-07,2e-07,2e-07,,
Halomonas vilamensis   ,,,,,,,,,,,,,,,,,,,,,3e-07,,2e-07,2e-07,2e-07
Halomonhystera sp. JvC-2013,,,,,,,,,,,,,,,4e-05,1.3e-05,1.5e-05,1e-05,1.5e-05,9e-06,1.59e-05,1.51e-05,1.59e-05,1.64e-05,1.45e-05
Halonotius pteroides   ,,,,,,,,,,,,,,,,,2e-06,,,,5e-07,9e-07,8e-07,7e-07,1.2e-06
