phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Candidatus Raymondiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,3.000024000192002e-06,0.0,0.0,0.0,4.000032000256002e-06,0.0,0.0,0.0,0.0,0.0
Candidatus Rifleibacteriota,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,3.000030000300003e-05,5e-05,3e-05,0.0,5.0000500005000046e-05,1.2000096000768004e-05,1.2000120001200012e-05,1.5000120000960007e-05,2.1000126000756008e-05,1.5000120000960007e-05,1.3063995490272516e-05,1.5125185283037602e-05,1.5134240509651565e-05,1.4435006015726469e-05,1.6501346498987556e-05
Candidatus Roizmanbacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000000000000004e-05,1e-05,1e-05,0.0,1.6000128001024008e-05,9.000090000900008e-06,1.5000120000960009e-05,5.000030000180002e-06,1.2000096000768006e-05,1.100125936022949e-05,8.93760948543131e-06,6.879200231659804e-06,1.443500601572647e-05,7.5631171453692965e-06
Candidatus Rokuibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,7.000070000700006e-05,6e-05,8.999999999999999e-05,2e-05,5.0000500005000046e-05,9.300074400595205e-05,6.600066000660006e-05,8.100064800518405e-05,6.300037800226801e-05,7.900063200505605e-05,8.869765359185026e-05,5.9125724288237907e-05,7.498328252509185e-05,9.210908600511179e-05,5.844226885058091e-05
Candidatus Ryaniibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000240001920015e-06,0.0,0.0,2.000012000072001e-06,1.0000080000640005e-06,0.0,6.875084219562546e-07,0.0,1.3747624776882351e-06,1.3751122082489629e-06
Candidatus Saccharibacteria,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0001,0.0003,7.000070000700006e-05,1e-05,3.0000000000000004e-05,0.00055,0.000280002800028,0.001182009456075584,7.700077000770009e-05,6.200049600396803e-05,0.00038100228601370797,0.000241001928015356,5.2943560671104424e-05,0.0008442603421622188,8.667792291891352e-05,5.7740024062905876e-05,0.000989393233835096
Candidatus Schekmaniibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,3.000030000300003e-05,3.0000000000000004e-05,1e-05,4e-05,2.000020000200002e-05,1.6000128001024008e-05,4.000040000400004e-06,1.5000120000960007e-05,1.4000084000504005e-05,1.0000080000640006e-05,1.787704646037292e-05,1.1687643173256331e-05,1.3070480440153625e-05,1.0998099821505883e-05,1.3063565978365149e-05
Candidatus Shapirobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,1.0000080000640005e-06,7.000070000700007e-06,2.000016000128001e-06,2.000012000072001e-06,4.000032000256002e-06,1.375157420028686e-06,3.437542109781273e-06,4.815440162161862e-06,4.8116686719088236e-06,3.4377805206224074e-06
Candidatus Spechtiibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Candidatus Staskawicziibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,1.000010000100001e-05,8.000064000512004e-06,1.000010000100001e-06,2.000016000128001e-06,2.000012000072001e-06,1.1000088000704007e-05,2.062736130043029e-06,1.3750168439125092e-06,1.3758400463319607e-06,5.4990499107529405e-06,2.062668312373444e-06
Candidatus Sumerlaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,5.0000500005000046e-05,3.0000000000000004e-05,9e-05,7.000000000000001e-05,7.000070000700007e-05,5.200041600332803e-05,6.100061000610007e-05,7.700061600492804e-05,7.300043800262802e-05,9.600076800614405e-05,7.907155165164944e-05,6.80633337736692e-05,6.260072210810422e-05,6.873812388441177e-05,7.150583482894607e-05
Candidatus Sungiibacteriota,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,1e-05,0.0,0.0,0.0,0.0,2.000020000200002e-06,4.000032000256002e-06,2.000012000072001e-06,0.0,2.750314840057372e-06,4.125050531737528e-06,0.0,4.124287433064706e-06,6.875561041244814e-07
Candidatus Sysuimicrobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.879200231659802e-07,0.0,0.0
Candidatus Tagaibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,1.000010000100001e-06,0.0,0.0,1.0000080000640005e-06,6.87578710014343e-07,0.0,1.3758400463319605e-06,6.873812388441177e-07,0.0
Candidatus Tayloriibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,1.000010000100001e-05,3.0000240001920015e-06,3.0000300003000026e-06,7.000056000448003e-06,2.000012000072001e-06,6.000048000384003e-06,3.437893550071715e-06,5.500067375650037e-06,4.127520138995882e-06,4.8116686719088236e-06,3.4377805206224074e-06
Candidatus Tectimicrobiota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00039999999999999996,0.0,0.0001,0.00011000110001100013,3.0000000000000004e-05,2e-05,3.0000000000000004e-05,5.000050000500006e-05,5.600044800358403e-05,4.100041000410004e-05,5.600044800358403e-05,5.200031200187201e-05,7.200057600460804e-05,6.738271358140561e-05,5.431316533454411e-05,6.604032222393412e-05,5.6365261585217646e-05,5.500448832995852e-05
Candidatus Terryibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,1.000010000100001e-06,1.0000080000640005e-06,0.0,0.0,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,6.875561041244814e-07
Candidatus Tharpellota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,2e-05,1.000010000100001e-05,5.000040000320003e-06,1.200012000120001e-05,1.2000096000768006e-05,5.000030000180002e-06,9.000072000576005e-06,2.750314840057372e-06,5.500067375650037e-06,7.567120254825785e-06,4.8116686719088236e-06,7.5631171453692965e-06
Candidatus Thorarchaeota,0.0,0.0,0.0,0.0,0.001,0.0001,0.0,0.0,0.0,0.0,3.0000300003000036e-05,3e-05,3e-05,5e-05,5.0000500005000046e-05,3.9000312002496016e-05,4.000040000400004e-05,3.1000248001984015e-05,4.1000246001476006e-05,3.600028800230402e-05,3.162862066065978e-05,3.7125454785637746e-05,3.370808113513303e-05,4.6741924241400005e-05,4.675381508046474e-05
Candidatus Uhrbacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,1e-05,1.000010000100001e-05,1.3000104000832007e-05,6.000060000600005e-06,1.6000128001024008e-05,1.4000084000504005e-05,1.2000096000768008e-05,1.100125936022949e-05,1.1000134751300074e-05,1.0318800347489705e-05,1.7184530971102942e-05,1.2376009874240666e-05
Candidatus Undinarchaeota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375157420028686e-06,1.3750168439125092e-06,0.0,0.0,0.0
Candidatus Vogeliibacteriota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,2.000020000200002e-06,2.000016000128001e-06,2.000012000072001e-06,1.0000080000640005e-06,1.375157420028686e-06,2.062525265868764e-06,6.879200231659802e-07,2.062143716532353e-06,2.7502244164979258e-06
