order,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Agelasida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,0.0,0.0,0.0
Aggregatilineales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,3.000030000300003e-06,3.000024000192002e-06,3.000018000108001e-06,1.0000080000640005e-06,3.437893550071715e-06,6.875084219562546e-06,2.063760069497941e-06,4.811668671908823e-06,2.750224416497926e-06
Ahnfeltiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,1.375157420028686e-06,0.0,6.879200231659802e-07,6.873812388441177e-07,6.875561041244814e-07
Alaninales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,1.0000060000360005e-06,0.0,0.0,0.0,0.0,0.0,3.437780520622407e-06
Albuginales,0.0,0.0,0.0,0.001,0.0,0.0001,0.0,0.0,0.0,0.0,2.000020000200002e-05,4e-05,4e-05,4e-05,3.000030000300003e-05,3.0000240001920014e-05,3.000030000300003e-05,3.2000256002048016e-05,2.3000138000828006e-05,3.1000248001984015e-05,5.019324583104703e-05,3.0937878988031455e-05,4.0587281366792844e-05,3.6431205658738226e-05,3.781558572684648e-05
Algavirales,0.0,0.0,0.0,0.001,0.0,0.0002,0.0001,0.0,0.00030000000000000003,0.0,0.00012000120001200012,0.00017,0.00013000000000000002,6.000000000000001e-05,0.00016000160001600018,0.00015000120000960008,0.00015400154001540017,0.00014200113600908808,0.00013200079200475205,0.00013000104000832007,0.00012032627425251002,0.00011756394015451954,0.00013552024456369813,0.00011410528564812351,0.00013957388913726974
Alismatales,0.0,0.0,0.001,0.0,0.0,0.0,0.0001,0.0,0.0004,0.0001,0.00016000160001600002,0.00019,9e-05,0.00024,0.000290002900029,0.00016700133601062,0.00017200172001720002,0.00035800286402287604,0.000300001800010752,0.000203001624012948,0.00026196748851541475,0.0002660657592969813,0.00015271824514279588,0.0003629372941096647,0.00029839934919001824
Alteromonadales,0.113,0.124,0.116,0.123,0.124,0.1205,0.1187,0.1127,0.1106,0.1101,0.11666116661166602,0.11941,0.11881,0.11854,0.12215122151221502,0.12371998975991026,0.12568125681256803,0.12472399779197449,0.12523175139050058,0.1245919967359661,0.12575402058935467,0.1261323576173526,0.12523584021735787,0.12617295067726245,0.12581451638152233
Amborellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,2e-05,0.0,0.0,0.0,1.0000080000640005e-06,3.000030000300003e-06,3.000024000192002e-06,1.0000060000360005e-06,3.000024000192002e-06,1.375157420028686e-06,1.3750168439125092e-06,4.127520138995882e-06,3.436906194220588e-06,2.750224416497926e-06
Amphidiniales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,2.000020000200002e-06,1.0000080000640005e-06,2.000012000072001e-06,0.0,0.0,2.062525265868764e-06,6.879200231659802e-07,6.873812388441177e-07,0.0
