Phylum,ocean_combined_1000_1,ocean_combined_1000_2,ocean_combined_1000_3,ocean_combined_1000_4,ocean_combined_1000_5,ocean_combined_10000_1,ocean_combined_10000_2,ocean_combined_10000_3,ocean_combined_10000_4,ocean_combined_10000_5,ocean_combined_100000_1,ocean_combined_100000_2,ocean_combined_100000_3,ocean_combined_100000_4,ocean_combined_100000_5,ocean_combined_1000000_1,ocean_combined_1000000_2,ocean_combined_1000000_3,ocean_combined_1000000_4,ocean_combined_1000000_5,ocean_combined_10000000_1,ocean_combined_10000000_2,ocean_combined_10000000_3,ocean_combined_10000000_4,ocean_combined_10000000_5
Aenigmarchaeota,,,,,,,,,0.0006,,0.00081,0.00097,0.00104,0.00084,0.00081,0.001056,0.00094,0.000955,0.001,0.000893,0.0010239,0.0009924,0.0010206,0.0010142,0.0010296
Aerophobetes,,,,,,,,,,,2e-05,,3e-05,,,6e-06,1.1e-05,9e-06,9e-06,1e-05,8e-06,9.5e-06,9.6e-06,8.3e-06,9.4e-06
Aigarchaeota,,,,,,,,,,,,,,,,,,5e-06,9e-06,,6.4e-06,6.4e-06,6.7e-06,7e-06,6.9e-06
Aminicenantes,,,,,,,,,,,7e-05,,,,,3.1e-05,2.7e-05,2e-05,4.2e-05,5.2e-05,2.87e-05,2.58e-05,2.97e-05,2.96e-05,3.03e-05
Amoebozoa,0.004,0.008,,0.005,0.005,0.0049,0.0036,0.0039,0.0052,0.0053,0.004,0.00378,0.00445,0.0041,0.00405,0.004092,0.004101,0.004025,0.004162,0.004129,0.00413,0.0040873,0.0041104,0.0040759,0.0040918
Ancient Archaeal Group(AAG),,,,,,,,,,,,,,,,,,,,,,,5e-07,,3e-07
Ancyromonadida,,,,,,,,,,,,,,,,,,,,,4e-07,,2e-07,4e-07,2e-07
Annelida,,,,,,,,,,,,,,,,7e-06,,2.3e-05,3.5e-05,3.1e-05,2.12e-05,4.45e-05,2.86e-05,4.27e-05,2.99e-05
Apicomplexa,0.034,0.024,0.045,0.017,0.022,0.0297,0.0273,0.0254,0.0277,0.0262,0.02437,0.02421,0.02447,0.02468,0.02439,0.024006,0.023783,0.024012,0.023859,0.023912,0.0236769,0.0237081,0.023742,0.0237616,0.0236942
Apusomonadidae,,,,,,,,,,,,,,,,,2e-06,,,,1.1e-06,2e-06,1.6e-06,1.7e-06,1.3e-06
Aquificae,,,,,,,,,,,,,,,,,1.3e-05,1e-05,,,1.35e-05,2.12e-05,2.56e-05,1.29e-05,2.05e-05
Archaeplastida,,,,,,0.0008,0.0009,0.0007,0.0014,0.0009,0.00099,0.00108,0.00104,0.00103,0.0012,0.001095,0.001067,0.001041,0.001058,0.001051,0.0010769,0.001073,0.0010765,0.0010738,0.0010541
Armatimonadetes,,,,,,,,,,,,,,,2e-05,1e-05,1.3e-05,9e-06,3e-06,4e-06,9.9e-06,8.7e-06,7.4e-06,8.5e-06,8.3e-06
Armatimonadota,,,,,,,,,,,,,,,,3e-06,,,,6e-06,2.8e-06,3e-06,2.9e-06,2.2e-06,4e-06
Arthropoda,,0.014,0.002,,0.007,0.0087,0.0099,0.0113,0.0076,0.007,0.00842,0.008,0.00783,0.00795,0.00791,0.008569,0.00855,0.008623,0.008505,0.008786,0.0087891,0.0088627,0.008812,0.0088,0.0089153
Ascomycota,,,,,0.002,0.0036,0.0042,0.0072,0.0044,0.0052,0.00563,0.00545,0.00528,0.00554,0.00527,0.005519,0.005637,0.005533,0.005733,0.005477,0.0056044,0.0056105,0.0056458,0.0056382,0.0056186
Atribacteria,,,,,,,,,,,,,,,,2e-06,,2e-06,,5e-06,4.5e-06,2.7e-06,4.3e-06,2.9e-06,3.6e-06
Atribacterota,,,,,,,,,,,,,,,,5e-06,,5e-06,,,4.9e-06,6.9e-06,5e-06,7.3e-06,7.5e-06
BJ-169,,,,,,,,,,,,,,,,5e-06,,4e-06,5e-06,3e-06,1.7e-06,1.7e-06,1.5e-06,1.1e-06,1.6e-06
BRC1,,,,,,,,,,,,,,,,,,,,,7e-07,8e-07,9e-07,1e-06,1.6e-06
Bacillariophyta,0.017,0.033,0.024,0.038,0.018,0.0287,0.0307,0.0288,0.0286,0.0295,0.02877,0.02797,0.02721,0.02921,0.02775,0.028649,0.028447,0.028937,0.029008,0.02885,0.0287429,0.0286993,0.0288219,0.0288897,0.028802
Bacillota,,,,,,,,,,,0.00024,0.00015,9e-05,7e-05,7e-05,0.000368,0.000399,0.000389,0.000378,0.000426,0.0004247,0.0004562,0.0004662,0.0004733,0.0004608
Bacteroidetes,0.029,0.028,0.024,0.015,0.019,0.0244,0.0229,0.0194,0.0214,0.0245,0.0243,0.02319,0.02384,0.02269,0.02379,0.025194,0.024706,0.024992,0.024249,0.025106,0.0253092,0.0253159,0.0251206,0.025104,0.0253812
Bacteroidota,0.024,0.019,0.015,0.015,0.026,0.0226,0.0232,0.026,0.0244,0.0242,0.02557,0.02619,0.0255,0.02522,0.02635,0.024803,0.02487,0.025189,0.024662,0.024543,0.0245717,0.0245699,0.024563,0.0245337,0.0245533
Balneolota,,,,,,,,,,,,3e-05,,,,2e-05,1.9e-05,1.2e-05,1.9e-05,2.2e-05,2.15e-05,2.97e-05,1.99e-05,2.06e-05,2.77e-05
Basidiomycota,,,,,,0.002,0.003,0.003,0.0025,0.0019,0.00326,0.00301,0.003,0.00307,0.00319,0.003369,0.003479,0.00345,0.003474,0.003477,0.0034947,0.0035157,0.003512,0.0035017,0.0035146
Bathyarchaeota,,,,,,0.0005,,,0.0002,0.0008,0.00044,0.0007,0.00048,0.00091,0.00047,0.000647,0.000557,0.000796,0.000576,0.00067,0.0007204,0.0006966,0.0007225,0.0007251,0.0007003
Bdellovibrionota,,,,,,,,,0.0007,,0.00025,0.00031,0.00019,0.00026,0.00026,0.000286,0.000313,0.000313,0.000289,0.000303,0.0003092,0.0003106,0.0003097,0.0003171,0.0003091
Bicosoecida,,,,,,,,,,,,,,,,,,,,,7e-07,1e-06,,,1.3e-06
Blastocladiomycota,,,,,,,,,,,,,,,,2e-05,3.2e-05,3e-05,1.7e-05,3.1e-05,2.69e-05,2.51e-05,2.53e-05,2.46e-05,2.59e-05
Brachiopoda,,,,,,,,,,,,,,,,,,,,,,,,2e-07,
Breviatea,,,,,,,,,,,,,,,,,,,,3e-06,1.7e-06,1.4e-06,9e-07,1.2e-06,1.7e-06
Bryozoa,,,,,,,,,,,,,,,,6e-06,3e-06,4e-06,5e-06,,7.8e-06,8.6e-06,7.5e-06,7.1e-06,8.7e-06
CPR2,,,,,,,,,,,,,,,,,,,,,1.3e-06,1e-06,9e-07,1.1e-06,1e-06
