phylum,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Calditrichota,,,,,,,,,,,,,,,,1.5835011844589843e-05,1.2704018598683236e-05,9.472238447816461e-06,3.157881440499395e-06,1.2707206892389844e-05,8.605648317273618e-06,8.612763685143764e-06,,6.451557405958203e-06,4.305260166872169e-06
Campylobacterota,0.0034843205574912888,,0.006734006734006733,,,0.0006389776357827476,0.0009781545484186503,0.00126702565726956,0.0006589785831960462,0.0006682258603407952,0.0012029390727615586,0.001591839386654538,0.0011495762990212175,0.0009247943983882155,0.001515688993518012,0.0011907928907131564,0.0011560656924801745,0.001139826026553914,0.0012410474061162618,0.0012230686633925227,0.0011380969899594362,0.0011928677703924113,0.0011119291647145666,0.0011333235843133244,0.0011408939442211247
Candidatus Abawacaibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Absconditibacteriota,,,,,,,,,,,,,,,,6.334004737835938e-06,6.352009299341618e-06,3.15741281593882e-06,1.263152576199758e-05,6.353603446194922e-06,4.302824158636809e-06,,1.079542878363657e-05,6.451557405958203e-06,1.0763150417180424e-05
Candidatus Adlerbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Aenigmatarchaeota,,,,,,,,,,,,,,,,,,,,,,2.153190921285941e-06,,,6.457890250308254e-06
Candidatus Aerophobetes,,,,,,,,,,,,,,,,,3.176004649670809e-06,,,3.176801723097461e-06,,4.306381842571882e-06,,2.1505191353194014e-06,
Candidatus Altarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Amesbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Aminicenantota,,,,,,,,,,,,3.2486518094990575e-05,6.569007422978388e-05,,,3.1670023689179694e-05,3.811205579604971e-05,2.841671534344938e-05,2.210517008349576e-05,2.541441378477969e-05,4.0876829507049685e-05,2.1531909212859408e-05,2.374994332400045e-05,1.720415308255521e-05,2.79841910846691e-05
Candidatus Anderseniibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Auribacterota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Azambacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Bathyarchaeota,,,,,,,,0.00031675641431739,,,,6.497303618998115e-05,9.853511134467581e-05,,,3.800402842701563e-05,3.176004649670809e-05,2.2101889711571738e-05,2.2105170083495762e-05,1.5884008615487303e-05,2.366553287250246e-05,1.7225527370287528e-05,2.8068114837455076e-05,1.5053633947235806e-05,1.2915780500616509e-05
Candidatus Beckwithbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Berkelbacteria,,,,,,,,,,,,,,,,,,3.15741281593882e-06,,,,,,,
Candidatus Binatota,,,,,,,,,,,3.251186683139348e-05,3.2486518094990575e-05,9.853511134467581e-05,3.302837137100769e-05,3.224870198974494e-05,4.750503553376954e-05,4.764006974506214e-05,4.7361192239082294e-05,5.052610304799031e-05,3.494481895407207e-05,4.948247782432331e-05,4.521700934700476e-05,3.670445786436432e-05,4.085986357106862e-05,3.8747341501849525e-05
Candidatus Bipolaricaulota,,,,,,,,,,,,,,3.302837137100769e-05,3.224870198974494e-05,,6.352009299341618e-06,9.47223844781646e-06,9.473644321498183e-06,,4.302824158636809e-06,1.7225527370287528e-05,1.0795428783636566e-05,1.0752595676597007e-05,8.610520333744339e-06
Candidatus Blackallbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Blackburniibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Borrarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Brenneribacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Brockarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Buchananiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Calescamantes,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Campbellbacteria,,,,,,,,,,,,,,,,6.334004737835938e-06,,,,6.353603446194922e-06,4.302824158636809e-06,,,4.301038270638802e-06,2.1526300834360847e-06
Candidatus Cerribacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Chisholmiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Cloacimonadota,,,,,,,,,,,,,,,,,,3.15741281593882e-06,,,,2.153190921285941e-06,2.159085756727313e-06,,6.457890250308254e-06
Candidatus Coatesiibacteriota,,,,,,,,,,,,3.2486518094990575e-05,,,,3.167002368917969e-06,9.528013949012427e-06,3.15741281593882e-06,6.31576288099879e-06,3.176801723097461e-06,8.605648317273618e-06,6.459572763857823e-06,,,2.1526300834360847e-06
Candidatus Collierbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Colwelliibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Cryosericota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Culexarchaeota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Curtissbacteria,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Daviesbacteria,,,,,,,,,,,,,,,,,,,,,2.1514120793184045e-06,2.153190921285941e-06,,,2.1526300834360847e-06
Candidatus Deferrimicrobiota,,,,,,,,,,,,,,,,,,,,,,,,,
Candidatus Delongiibacteriota,,,,,,,,,,,,,,,,,,,,,,,,,
