family,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Balanidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,1.000010000100001e-05,8.000064000512004e-06,8.000080000800008e-06,1.2000096000768004e-05,1.2000072000432004e-05,7.000056000448003e-06,6.87578710014343e-06,5.500067375650037e-06,4.815440162161862e-06,8.93595610497353e-06,3.437780520622407e-06
Balanophoraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,0.0,0.0,0.0,0.0,0.0,0.0,6.873812388441177e-07,0.0
Balbianiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balneatrichaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balneicellaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balneolaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,3.0000300003000036e-05,1e-05,4e-05,0.0,2.000020000200002e-05,3.700029600236802e-05,3.100031000310003e-05,2.5000200001600013e-05,4.200025200151201e-05,3.000024000192001e-05,2.681556969055938e-05,3.506292951976899e-05,3.0268481019303137e-05,1.993405592647941e-05,3.231513689385063e-05
Balsaminaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,2e-05,0.0,1e-05,0.0,5.000040000320002e-06,6.000060000600006e-06,9.000072000576005e-06,2.000012000072001e-06,4.000032000256002e-06,5.500629680114744e-06,5.5000673756500385e-06,6.879200231659803e-06,4.124287433064706e-06,4.81289272887137e-06
Bangiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,0.0,3e-05,0.0,1.000010000100001e-05,2.000016000128001e-06,2.000020000200002e-06,5.000040000320003e-06,7.000042000252003e-06,1.1000088000704007e-05,4.813050970100401e-06,5.500067375650037e-06,1.1006720370655686e-05,5.499049910752941e-06,4.812892728871371e-06
Barentsiidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0
Barnesiellaceae,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0001,4.0000400004000046e-05,2e-05,0.0,1e-05,5.000050000500006e-05,2.000016000128001e-06,7.000070000700007e-06,9.000072000576005e-06,1.3000078000468004e-05,8.000064000512004e-06,1.0313680650215145e-05,6.875084219562546e-06,1.7198000579149508e-05,8.24857486612941e-06,8.250673249493778e-06
