phylum,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Ascomycota,0.0012121212121212121,0.0011862396204033213,,0.0012033694344163657,0.003631961259079903,0.0008575278696557638,0.0007316180953542252,0.0007333170373991691,0.000749063670411985,0.0003772635814889337,0.0010174935333995324,0.0007818700910997122,0.0009684869254265069,0.0008023759909942277,0.0008660987589872584,0.0008459970337594095,0.0008399728965630046,0.0008595965144936323,0.0007469482080841452,0.0008259603539030541,0.0008470587483189135,0.0008317960008334351,0.0007519680225798581,0.0008086238293132946,0.0008194717314108166
Atribacterota,,,,,,,,0.00012221950623319484,,0.00012575452716297788,,2.369303306362764e-05,1.2416499043929574e-05,,1.1864366561469292e-05,2.217095674679832e-05,2.6869786677258837e-05,2.449325210904515e-05,3.62369240228615e-05,2.6832045395155716e-05,1.678135256103508e-05,1.8360180440661233e-05,1.598231716429029e-05,2.317202672933354e-05,2.6280434535040765e-05
Bacillariophyta,0.05575757575757575,0.06761565836298931,0.08052884615384615,0.07099879663056559,0.06537530266343825,0.05855690309935073,0.06450432874039752,0.06282082620386215,0.06579275905118602,0.06514084507042255,0.060743138048128656,0.08504614218189142,0.06091534430951849,0.08566261885942851,0.08441496808485395,0.09410754314293422,0.0942183228580107,0.09780388836209261,0.09563508716149421,0.09523392877142195,0.09369988069257712,0.09596227701361615,0.09694793680272451,0.09434770345239554,0.09664032517657936
Bacillota,0.007272727272727273,0.0011862396204033213,0.0036057692307692305,0.0024067388688327313,0.0012106537530266342,0.003920127404140635,0.004145835873673943,0.004644341236861404,0.003620474406991261,0.003395372233400403,0.0033957314307430176,0.0030682477817397798,0.00291787727532345,0.002969988742784604,0.003772868566547234,0.004012943171170415,0.002879740180845349,0.00277123652433761,0.0028615480647728947,0.004048139022660294,0.0030861706471768985,0.0027189032426473813,0.0030909801395735633,0.0039560242874800535,0.002823155770506544
Bacteroidota,0.22424242424242422,0.21115065243179118,0.17307692307692304,0.19494584837545126,0.17554479418886196,0.20703172853117727,0.19643945860260945,0.21315081887069182,0.2051186017478152,0.19969818913480888,0.2071273583170902,0.203677158731475,0.20138319799349375,0.19764796052789155,0.19735187338348006,0.19830987296041436,0.19857473305451065,0.19826704409601487,0.19888109730081424,0.19995006906334825,0.19840433310505068,0.19743180989070605,0.19754863219333843,0.20008485755995004,0.19859328001324822
Balneolota,,0.0011862396204033213,,,,0.0004900159255175794,0.0002438726984514084,0.0004888780249327794,0.0003745318352059925,0.0006287726358148894,0.0003922866634793378,0.0004027815620816699,0.00048424346271325343,0.0002514909822519221,0.00026101606435232445,0.0003839076194576108,0.00032126918853244264,0.00031491324140200906,0.00031911871800778026,0.00031848471273380476,0.00031165369041922294,0.0003081317239171842,0.0003779818009354654,0.0003315996928508076,0.0003137724608123049
Basidiomycota,,,,0.0012033694344163657,,0.000735023888276369,0.0002438726984514084,0.0002444390124663897,0.000749063670411985,0.001131790744466801,0.0003309918723106913,0.0004738606612725528,0.000496659961757183,0.00043112739814615223,0.00047457466245877166,0.0004422522424756085,0.00039720554218556546,0.0004362131566087089,0.0004722489453301951,0.0004351457796692644,0.00039635956525111424,0.00045980277973134225,0.0003899685388086831,0.0003827379587362333,0.000424468836581113
Bdellovibrionota,0.0012121212121212121,,0.0024038461538461535,,0.006053268765133172,0.0014700477765527378,0.0015851725399341544,0.0030554876558298713,0.0019975031210986267,0.0012575452716297789,0.002120799774435169,0.002025754326940163,0.0020363058432044502,0.0020598309022538384,0.0028118548750682205,0.0020829030417385433,0.0020923386060421978,0.002085425465284098,0.002005889084620188,0.002029902564676773,0.002055316132713218,0.0021130172881053872,0.002046535712887188,0.0020782910869997268,0.002010055053528418
Blastocladiomycota,,,,0.0012033694344163657,,,,,,,4.9035832934917233e-05,2.369303306362764e-05,1.2416499043929574e-05,3.5927283178846024e-05,2.3728733122938585e-05,1.7503386905367094e-05,2.2196780298605127e-05,2.0994216093467274e-05,2.104079459391958e-05,1.866577070967354e-05,3.4361817148786115e-05,1.8360180440661233e-05,3.4361981903224126e-05,2.956430996501176e-05,2.389130412276433e-05
Brachiopoda,,,,,,,,,,0.00012575452716297788,3.677687470118793e-05,4.738606612725528e-05,7.449899426357744e-05,2.3951522119230678e-05,7.118619936881577e-05,4.200812857288102e-05,6.074908292249823e-05,5.1319194895142215e-05,5.8446651649776616e-05,4.5497816104829245e-05,7.911209064487966e-05,4.629958545905877e-05,6.47283845153757e-05,7.031511559246039e-05,8.202681082149087e-05
