,1K,10K,100K,1M,10M
Neisseriales,0.0007071067811865475,5.773502691896256e-05,2.7748873851023205e-05,7.63544366752843e-06,3.7268172301129375e-06
Campylobacterales,,0.0001,7.924645102463582e-05,1.9455076458343718e-05,2.1710212650578413e-06
Cyanidiales,,,5.773502691896259e-06,4.560701700396552e-06,6.244997998398402e-07
Bacteriovoracales,,5e-05,2.9495762407505243e-05,1.503994680841658e-05,1.7597348285087314e-06
Myxococcales,,0.0001673320053068151,7.155417527999326e-05,3.567492116319249e-05,9.767420334970736e-06
Xanthomonadales,,0.0005167204273105524,7.259476565152612e-05,2.9752310834622556e-05,6.7996936205488795e-06
Bacteroidales,,0.0002880972058177587,5.8566201857385267e-05,2.602306669091864e-05,3.2766853170035396e-06
Chitinophagales,,0.00024083189157584592,0.00010853570840972107,2.310844001658267e-05,4.556588636249742e-06
Oscillatoriales,,4.472135954999578e-05,5.540758070878026e-05,1.0620734437881403e-05,1.6499999999999933e-06
Agaricales,,,1.4832396974191327e-05,7.4161984870956634e-06,1.129527924990493e-06
Nitrosopumilales,,9.999999999999999e-05,4.6583258795408454e-05,2.3291629397704237e-05,3.64645947004305e-06
Pleurocapsales,,5.7735026918962585e-05,2.880972058177586e-05,4.54972526643093e-06,1.7972200755611424e-06
Leptomyxida,,,,,5.773502691896258e-08
Thiotrichales,,0.0004219004621945797,9.555103348473009e-05,1.781010948871456e-05,8.541272348621864e-06
Pseudonocardiales,,5.773502691896258e-05,4.604345773288536e-05,8.215838362577495e-06,2.126617031813674e-06
Pythiales,,,2e-05,1.173456432936477e-05,1.5966109941581471e-06
Nitrospirales,,0.00010954451150103323,2.509980079602227e-05,1.040192289915668e-05,1.1757976016304874e-06
Chlorobiales,,,1.8165902124584954e-05,5.215361924162121e-06,1.5564382416273407e-06
Sneathiellales,,7.071067811865475e-05,2.5884358211089563e-05,1.4872793954062567e-05,1.9824227601599036e-06
Puniceicoccales,,0.0003391164991562634,7.503332592921633e-05,3.204372013359246e-05,5.74978260458603e-06
Methylococcales,,5.773502691896254e-05,6.503845016603639e-05,1.7363755354185317e-05,2.7471197037382e-06
Hypocreales,,,2.7018512172212595e-05,6.610597552415364e-06,7.932002689527195e-07
Helotiales,,5.7735026918962585e-05,1e-05,4.929503017546496e-06,1.201388086062674e-06
Chromulinales,,,,3.2863353450309967e-06,3.095695936834451e-07
Hydrogenophilales,,,2.073644135332772e-05,3.807886552931953e-06,7.118052168020882e-07
Eubacteriales,,0.00018708286933869707,5.2630789467763057e-05,9.364827814754528e-06,1.2714820748507175e-06
Lactobacillales,,8.944271909999158e-05,3.9370039370059056e-05,8.927485648266256e-06,1.768945071692911e-06
Deferribacterales,,,5.773502691896259e-06,2.1679483388678795e-06,1.8929694486000972e-07
Rhodocyclales,,0.0002073644135332772,4.0373258476372685e-05,2.9017236257093818e-05,3.816630276391294e-06
Thermoflexales,,,7.0710678118654756e-06,1.3038404810405294e-06,6.849574196011507e-07
Balneolales,,,6.693280212272606e-05,1.1844830095868828e-05,1.9235384061671387e-06
Licmophorales,,,1.8708286933869708e-05,5.9329587896765296e-06,3.8551913052402466e-06
Nostocales,,8.164965809277261e-05,4.472135954999579e-05,1.0134100848126585e-05,8.808140174482502e-07
Actinomycetales,,8.944271909999158e-05,1.9999999999999998e-05,1.7868967513541457e-05,3.0626785662227124e-06
Chlamydomonadales,,9.57427107756338e-05,3.361547262794322e-05,9.181503144910429e-06,1.8484227510682382e-06
Bdellovibrionales,,0.00011547005383792514,3.507135583350036e-05,1.130044246921332e-05,2.369247419188913e-06
Kordiimonadales,,9.57427107756338e-05,4.669047011971501e-05,4.60434577328854e-06,1.679285562374664e-06
Pyrenomonadales,,9.57427107756338e-05,1.095445115010333e-05,5.2440442408507545e-06,1.510794492973816e-06
Phycisphaerales,,0.00019235384061671342,6.8044103344816e-05,7.416198487095675e-06,2.6158172719056778e-06
Saprolegniales,,5.7735026918962585e-05,3.162277660168379e-05,1.0756393447619885e-05,2.1439838307848003e-06
Euplotida,,7.071067811865475e-05,1e-05,6.833739825307955e-06,1.2714820748507097e-06
Sphaeropleales,,,1.5165750888103105e-05,3.3911649915626336e-06,1.920069443188623e-06
Eutreptiales,,5e-05,1.51657508881031e-05,6.4575537163851756e-06,4.242640687119271e-07
Syndiniales,,,1e-05,3.420526275297415e-06,6.184658438426495e-07
Pasteurellales,,5e-05,3.96232255123179e-05,8.561541917201599e-06,2.6373913879690495e-06
Eustigmatales,,5e-05,2.5099800796022265e-05,8.757853618324527e-06,6.582805886043852e-07
