family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acartiidae,,,,,,,,,,,,,1.5993858358390378e-05,,,4.452174738954408e-06,1.3341160147286416e-05,4.4334756971642975e-06,4.449942595740765e-06,8.880850074969668e-06,8.12175320225549e-06,2.0273509922363747e-06,6.086075363871592e-06,7.079080407229564e-06,4.0375410567458554e-06
Acaryochloridaceae,,,,,,0.00031525851197982345,,0.0001571338780641106,0.0001620745542949757,,0.00011106703689012304,6.076533945037752e-05,6.397543343356151e-05,0.00012207403790398877,7.589556769884645e-05,5.787827160640729e-05,6.374109848147955e-05,8.571386347850973e-05,9.048216611339555e-05,7.104680059975734e-05,9.644581927678395e-05,6.690258274380038e-05,7.303290436645912e-05,5.966653486093489e-05,7.065696849305247e-05
Acaulosporaceae,,,,,,,,,,,,,,,1.517911353976929e-05,,8.894106764857612e-06,8.866951394328593e-06,4.449942595740765e-06,8.88085007496967e-06,8.12175320225549e-06,3.041026488354562e-06,3.0430376819357966e-06,8.090377608262359e-06,2.0187705283729277e-06
Acavomonidia,,,,,,,,,,,,,,,,,,,,,,,,,
Acerentomidae,,,,,,,,,,,,,,,,,,,,,,1.0136754961181873e-06,,,
Acetobacteraceae,,,,0.001567398119122257,,0.00031525851197982345,0.00031446540880503143,0.0001571338780641106,,0.0001620745542949757,0.00028560095200317356,0.00030382669725188756,0.0003678587422429787,0.00024414807580797754,0.0004553734061930785,0.00029235947452467277,0.0002668232029457284,0.00026009724090030544,0.00030407941070895227,0.0002175808268367569,0.00030558096423486286,0.0002422684435722468,0.0002789451208441147,0.00026799375827369064,0.0002351867665554461
Acetomicrobiaceae,,,,,,,,,,,,,,,,,5.929404509905075e-06,,,,1.0152191502819362e-06,1.0136754961181873e-06,,1.0112972010327949e-06,4.0375410567458554e-06
Achnanthaceae,,,,,,,,,,,,,1.5993858358390378e-05,,,8.904349477908816e-06,,,1.4833141985802551e-06,,1.0152191502819362e-06,2.0273509922363747e-06,1.0143458939785989e-06,1.0112972010327949e-06,2.0187705283729273e-06
Achnanthidiaceae,,,,,,,,,,,,,,,,,,,,,,,,,
Acholeplasmataceae,,,,,,,0.00031446540880503143,,0.0001620745542949757,0.0001620745542949757,0.00011106703689012304,9.114800917556627e-05,1.5993858358390378e-05,7.629627368999298e-05,,6.233044634536171e-05,4.74352360792406e-05,3.546780557731438e-05,6.674913893611147e-05,6.36460922039493e-05,5.58370532655065e-05,3.345129137190019e-05,7.404725026043772e-05,5.157615725267253e-05,5.551618953025551e-05
Acidaminobacteraceae,,,,,,,,,,,,1.519133486259438e-05,,1.5259254737998596e-05,,1.3356524216863224e-05,1.334116014728642e-05,5.911300929552396e-06,5.933256794321021e-06,1.7761700149939343e-05,1.11674106531013e-05,1.4191456945654622e-05,3.0430376819357966e-06,8.090377608262357e-06,6.056311585118783e-06
Acidaminococcaceae,,,,,,,,0.0001571338780641106,,,1.5866719555731866e-05,4.5574004587783144e-05,1.5993858358390378e-05,,3.035822707953858e-05,7.42029123159068e-06,1.4823511274762687e-05,1.0344776626716692e-05,5.933256794321021e-06,2.072198350826256e-05,9.136972352537428e-06,1.1150430457300062e-05,1.5215188409678984e-05,6.067783206196769e-06,1.1103237906051101e-05
Acidiferrobacteraceae,,,,,,0.00015762925598991173,,,,0.0001620745542949757,7.933359777865934e-05,0.00018229601835113255,4.798157507517114e-05,7.629627368999298e-05,0.0001517911353976929,7.717102880854306e-05,0.00011117633456072015,0.0001019699410347788,9.641542290771655e-05,7.54872256372422e-05,8.629362777396459e-05,7.501198671274587e-05,8.114767151828792e-05,8.798285648985313e-05,9.185405904096822e-05
Acidilutibacteraceae,,,,,,,,,,,,,,,,,,,,,,,,,
Acidimicrobiaceae,,,0.0015290519877675841,,,0.00031525851197982345,0.0004716981132075471,0.0001571338780641106,0.00048622366288492705,0.0008103727714748785,0.0006981356604522016,0.0007139927385419357,0.0008636683513530804,0.0004119998779259621,0.000819672131147541,0.0006040117062514395,0.0006092463133927459,0.0005689627144693409,0.0006289252201979447,0.000531370862818959,0.0005593857518053266,0.0005980685427095981,0.0005812201972496756,0.0005845297821969467,0.0005844340679638728
Acidithiobacillaceae,,,,,,,,,0.0001620745542949757,,1.5866719555731866e-05,,,4.5777764213995795e-05,7.589556769884645e-05,4.006957265058967e-05,4.74352360792406e-05,2.955650464776198e-05,3.559954076592612e-05,3.700354197904029e-05,4.46696426124052e-05,3.6492317860254755e-05,3.651645218322956e-05,2.8316321628918256e-05,3.633786951071269e-05
Acidobacteriaceae,,,0.0030581039755351682,,,0.0004728877679697352,0.00015723270440251572,0.0001571338780641106,0.0004862236628849271,,0.00012693375644585493,0.00019748735321372695,0.00014394472522551342,0.00019837031159398178,0.0001366120218579236,0.00015434205761708614,0.00019270564657191492,0.00018325032881612427,0.00015871461924808728,0.00014505388455783794,0.0001868003236518763,0.00016218807937890998,0.0001663527266124902,0.0001749544157786735,0.00018168934755356347
Acidocellaceae,,,,,,,0.00015723270440251572,,,,7.933359777865932e-05,3.038266972518876e-05,3.1987716716780756e-05,1.5259254737998596e-05,4.553734061930787e-05,4.15536308969078e-05,4.891758720671687e-05,2.955650464776198e-05,5.6365939546049685e-05,8.436807571221185e-05,4.974573836381488e-05,5.372480129426393e-05,4.665991112301555e-05,3.640669923718061e-05,5.248803373769612e-05
Acidothermaceae,,,,,,,,,,,,,,,,4.452174738954408e-06,1.4823511274762687e-06,,2.9666283971605103e-06,1.4801416791616117e-06,,,1.0143458939785989e-06,4.0451888041311794e-06,
Acinetidae,,,,,,,,,,,,,,,,,,,,,,,,,
