family,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acartiidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,3.000024000192002e-06,9.000090000900008e-06,3.000024000192002e-06,3.000018000108001e-06,6.000048000384002e-06,5.500629680114744e-06,1.3750168439125092e-06,4.127520138995881e-06,4.8116686719088236e-06,2.750224416497926e-06
Acaryochloridaceae,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0001,0.0,7.000070000700006e-05,4e-05,4e-05,8e-05,5.0000500005000046e-05,3.9000312002496016e-05,4.300043000430004e-05,5.800046400371203e-05,6.100036600219602e-05,4.800038400307202e-05,6.531997745136258e-05,4.537555584911281e-05,4.9530241667950586e-05,4.055549309180294e-05,4.812892728871371e-05
Acaulosporaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,6.000060000600005e-06,6.000048000384003e-06,3.0000180001080015e-06,6.000048000384003e-06,5.500629680114744e-06,2.062525265868764e-06,2.063760069497941e-06,5.499049910752941e-06,1.375112208248963e-06
Acavomonidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acerentomidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Acetobacteraceae,0.0,0.0,0.0,0.001,0.0,0.0002,0.0002,0.0001,0.0,0.0001,0.00018000180001800017,0.0002,0.00023,0.00016,0.00030000300003000017,0.00019700157601260811,0.00018000180001800017,0.0001760014080112641,0.00020500123000738007,0.00014700117600940807,0.00020696119171431725,0.00016431451284754485,0.0001891780063706446,0.00018215602829369117,0.0001602005722610042
Acetomicrobiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.000040000400004e-06,0.0,0.0,0.0,6.87578710014343e-07,6.875084219562546e-07,0.0,6.873812388441177e-07,2.750224416497926e-06
Achnanthaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,6.000048000384004e-06,0.0,0.0,1.0000060000360005e-06,0.0,6.87578710014343e-07,1.3750168439125092e-06,6.879200231659802e-07,6.873812388441177e-07,1.3751122082489629e-06
Achnanthidiaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acholeplasmataceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0001,7.000070000700006e-05,6e-05,1e-05,5e-05,0.0,4.200033600268802e-05,3.200032000320003e-05,2.4000192001536015e-05,4.5000270001620016e-05,4.3000344002752026e-05,3.781682905078887e-05,2.2687777924556405e-05,5.021816169111656e-05,3.5056443181049995e-05,3.7815585726846483e-05
Acidaminobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,1e-05,0.0,9.000072000576005e-06,9.00009000090001e-06,4.000032000256002e-06,4.000024000144002e-06,1.2000096000768008e-05,7.563365810157773e-06,9.625117907387564e-06,2.063760069497941e-06,5.4990499107529405e-06,4.125336624746889e-06
Acidaminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,1.000010000100001e-05,3.0000000000000004e-05,1e-05,0.0,2.000020000200002e-05,5.000040000320003e-06,1.000010000100001e-05,7.000056000448003e-06,4.000024000144002e-06,1.4000112000896006e-05,6.188208390129087e-06,7.562592641518801e-06,1.0318800347489705e-05,4.124287433064706e-06,7.5631171453692965e-06
