class,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Atribacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,6.87578710014343e-07,0.0,6.879200231659802e-07,0.0,6.875561041244814e-07
Bacillariophyceae,0.011,0.017,0.013000000000000001,0.011,0.02,0.0122,0.013,0.0142,0.0125,0.0123,0.011480114801148002,0.0121,0.0122,0.01257,0.012290122901229002,0.013277106216848933,0.013902139021390201,0.013766110128880224,0.01323607941647552,0.01354410835286595,0.01338853264139845,0.013438039615556063,0.013316067888422942,0.013468547993910809,0.013671365574410227
Bacilli,0.0,0.0,0.0,0.001,0.001,0.0001,0.0012000000000000001,0.0005,0.0006000000000000001,0.0004,0.001020010200102001,0.0006900000000000001,0.0009400000000000001,0.0009400000000000001,0.0009500095000950009,0.0009210073680589445,0.0009320093200932009,0.0009610076880615045,0.0009810058860353164,0.0009810078480627846,0.0009488586198197934,0.0009735119254900566,0.0009568967522238786,0.0009788308841140235,0.0009584532091495272
Bacteriovoracia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-05,5e-05,8e-05,2e-05,2.000020000200002e-05,3.600028800230402e-05,3.000030000300003e-05,2.9000232001856013e-05,3.8000228001368005e-05,3.2000256002048016e-05,3.5754092920745836e-05,2.681282845629393e-05,3.714768125096294e-05,2.887001203145294e-05,3.3690249102099595e-05
Bacteroidia,0.0,0.0,0.0,0.0,0.0,0.0002,0.0007,0.00030000000000000003,0.00030000000000000003,0.00030000000000000003,0.0006400064000640006,0.00042,0.00049,0.00048,0.00037000370003700036,0.0004460035680285442,0.0004830048300483005,0.0005070040560324482,0.00047800286801720813,0.00046900375203001623,0.0004654907866797102,0.000451005524803303,0.0004801681761698543,0.0004839163921462588,0.0004943528388655022
Balneolia,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0001,3.0000300003000036e-05,1e-05,4e-05,1e-05,2.000020000200002e-05,3.800030400243202e-05,3.100031000310003e-05,2.9000232001856017e-05,4.600027600165601e-05,3.1000248001984015e-05,3.2316199370674125e-05,3.5750437941725244e-05,3.370808113513304e-05,2.7495249553764704e-05,3.644047351859751e-05
Bangiophyceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,2.000020000200002e-05,0.0,3e-05,0.0,3.000030000300003e-05,1.0000080000640006e-05,8.000080000800008e-06,1.5000120000960007e-05,1.1000066000396005e-05,2.300018400147201e-05,1.3751574200286859e-05,1.925023581477513e-05,1.926176064864745e-05,1.2372862299194117e-05,1.1688453770116186e-05
Bartheletiomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Basidiobolomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bdellovibrionia,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0,0.0,2.000020000200002e-05,1e-05,2e-05,1e-05,6.000060000600006e-05,2.2000176001408014e-05,2.900029000290003e-05,2.4000192001536012e-05,2.400014400086401e-05,3.2000256002048016e-05,2.4065254850502004e-05,1.925023581477513e-05,3.3020161111967055e-05,3.093215574798529e-05,3.437780520622408e-05
Betaproteobacteria,0.005,0.012,0.007,0.018000000000000002,0.011,0.01,0.0074,0.0106,0.0101,0.0083,0.010230102301023006,0.01047,0.00984,0.00973,0.010140101401014007,0.0104030832246654,0.010464104641046407,0.010454083632668768,0.010248061488368513,0.010324082592660395,0.01062102833359104,0.010477628350612854,0.010456384352122575,0.010432385061936979,0.010618616472098158
Bigyra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,0.0,0.0,8.000064000512004e-06,1.100011000110001e-05,9.000072000576005e-06,1.4000084000504005e-05,1.5000120000960007e-05,2.0627361300430293e-05,4.812558953693783e-06,1.0318800347489705e-05,8.248574866129412e-06,1.3063565978365147e-05
Bivalvia,0.001,0.002,0.0,0.001,0.002,0.0005,0.0008,0.0001,0.0006000000000000001,0.001,0.0005800058000580001,0.0006,0.00049,0.00071,0.0006500065000650003,0.0005640045120360081,0.0006300063000630003,0.0006170049360394681,0.0006480038880232401,0.0006560052480419441,0.0006607631403236618,0.000552756771252795,0.0006039937803395797,0.0006131440650488588,0.0005892355812345839
Blastocatellia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blastocladiomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,6.873812388441177e-07,6.875561041244814e-07
Bolidophyceae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,1e-05,4.000040000400004e-05,1.0000080000640005e-06,4.000040000400004e-06,4.000032000256002e-06,0.0,3.000024000192002e-06,4.125472260086058e-06,2.7500336878250184e-06,5.503360185327843e-06,4.124287433064706e-06,4.812892728871371e-06
Branchiopoda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,1e-05,2e-05,2.000020000200002e-05,1.700013600108801e-05,2.3000230002300022e-05,1.700013600108801e-05,2.1000126000756008e-05,3.1000248001984015e-05,2.337767614048766e-05,2.062525265868764e-05,1.5134240509651567e-05,2.4745724598388236e-05,2.0626683123734445e-05
Breviatea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bryopsida,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,5.0000500005000046e-05,4e-05,2e-05,0.0,2.000020000200002e-05,9.000072000576005e-06,1.2000120001200012e-05,1.0000080000640006e-05,2.0000120000720005e-05,1.3000104000832007e-05,1.7877046460372918e-05,1.9937744236731385e-05,1.5822160532817547e-05,1.443500601572647e-05,1.5813790394863074e-05
Calcarea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caldilineae,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,2.000020000200002e-05,3.0000000000000004e-05,4e-05,1e-05,1.000010000100001e-05,1.700013600108801e-05,1.6000160001600015e-05,1.2000096000768008e-05,2.1000126000756008e-05,1.800014400115201e-05,1.787704646037292e-05,1.8562727392818873e-05,1.7198000579149508e-05,1.8559293448791176e-05,1.3063565978365149e-05
Caldisericia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875084219562546e-07,0.0,0.0,0.0
Calditrichia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.000040000320002e-06,4.000040000400004e-06,3.000024000192002e-06,1.0000060000360005e-06,4.000032000256002e-06,2.750314840057372e-06,2.7500336878250184e-06,0.0,2.062143716532353e-06,1.375112208248963e-06
Candelariomycetes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Abyssobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Altiarchaeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Aminicenantia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Aquicultoria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Asgardarchaeia (ex Tamarit et al. 2024),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Auribacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Babeliae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000020000200002e-06,2.000016000128001e-06,1.0000060000360005e-06,0.0,6.87578710014343e-07,2.7500336878250184e-06,2.7516800926639214e-06,0.0,6.875561041244814e-07
Candidatus Bathyarchaeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0000240001920015e-06,4.000040000400004e-06,0.0,1.0000060000360005e-06,0.0,0.0,0.0,1.3758400463319607e-06,0.0,0.0
Candidatus Binatia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,1e-05,3.0000000000000004e-05,1e-05,1.000010000100001e-05,1.5000120000960007e-05,1.5000150001500016e-05,1.5000120000960007e-05,1.6000096000576005e-05,1.1000088000704005e-05,1.581431033032989e-05,1.4437676861081348e-05,1.1694640393821664e-05,1.3060243538038233e-05,1.2376009874240668e-05
Candidatus Bipolaricaulia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-06,2.000016000128001e-06,0.0,0.0,0.0,2.062525265868764e-06,2.063760069497941e-06,2.062143716532353e-06,1.375112208248963e-06
Candidatus Borrarchaeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Brocadiia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,0.0,5.000040000320003e-06,1.1000110001100008e-05,7.000056000448003e-06,6.000036000216002e-06,9.000072000576005e-06,8.250944520172116e-06,1.1687643173256328e-05,3.439600115829901e-06,8.93595610497353e-06,2.7502244164979258e-06
Candidatus Cloacimonadia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,6.875084219562546e-07,6.879200231659802e-07,0.0,2.0626683123734445e-06
Candidatus Cryosericia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Culexarchaeia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Dadabacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,2.000016000128001e-06,2.000020000200002e-06,0.0,0.0,1.0000080000640005e-06,6.87578710014343e-07,1.3750168439125092e-06,0.0,6.873812388441177e-07,1.3751122082489629e-06
Candidatus Deferrimicrobia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Candidatus Desulfofervidia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,2.062525265868764e-06,0.0,6.873812388441177e-07,0.0
Candidatus Dormibacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
