genus,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Acidiferrimicrobium,,,,,,,,,,,3.845488280874467e-05,,,,,1.7450149286028187e-06,1.7472803581225835e-06,3.475848932653889e-06,1.7436913247870234e-06,5.223195864622031e-06,3.576989939119856e-06,2.3750994572899148e-06,1.1897637486125126e-06,3.565931094325034e-06,1.1847288451856302e-06
Acidiferrobacter,,,,,,,,,,,1.9227441404372333e-05,1.814684426378253e-05,1.9359210144226116e-05,1.8249507263303893e-05,1.8092015993342154e-05,3.4900298572056374e-06,1.0483682148735503e-05,8.689622331634723e-06,5.231073974361069e-06,3.482130576414687e-06,4.7693199188264745e-06,4.7501989145798296e-06,5.948818743062565e-06,7.131862188650068e-06,5.92364422592815e-06
Acidihalobacter,,,,,,0.00018928639030853684,,,0.00019794140934283454,,3.845488280874467e-05,1.814684426378253e-05,1.9359210144226116e-05,1.8249507263303893e-05,1.8092015993342154e-05,2.79202388576451e-05,1.2230962506858085e-05,4.692396059082751e-05,5.405443106839771e-05,2.4374914034902807e-05,3.3385239431785325e-05,2.968874321612394e-05,2.8554329966700307e-05,4.397981683000875e-05,3.317240766519764e-05
Acidiluteibacter,0.00196078431372549,,,0.001956947162426614,,0.0005678591709256105,0.0005641218503196691,,0.0003958828186856691,0.00019466614755693983,0.000173046972639351,0.00019961528690160782,0.00027102894201916556,0.00032849113073947007,0.00023519620791344773,0.00018671659736041777,0.0002026845215422195,0.00020681301149287848,0.00021970510692310207,0.00024723127092528946,0.00018600347683416746,0.00017219471065351883,0.0002117779472529503,0.00019612621018773955,0.00022628320943032448
Acidilutibacter,,,,,,,,,,,,,,,,,,,,,,,,,
Acidimangrovimonas,,,,,,,,,,,1.9227441404372333e-05,1.814684426378253e-05,1.9359210144226116e-05,3.6499014526607785e-05,,1.570513435742537e-05,2.6209205371838756e-05,1.7379244663269446e-05,2.964275252137939e-05,2.0892783458488124e-05,2.5038929573838992e-05,2.6126094030189065e-05,3.450314870976288e-05,1.1886436981083445e-05,1.5401474987413192e-05
Acidimicrobium,,,,,,,,,,,9.61372070218617e-05,0.00014517475411026024,5.8077630432678344e-05,,5.427604798002647e-05,6.805558221550993e-05,4.7176569669309755e-05,4.866188505715445e-05,6.102919636754581e-05,4.526769749339093e-05,5.0077859147677984e-05,5.343973778902309e-05,4.878031369311303e-05,7.963912777325907e-05,6.397535764002404e-05
Acidiphilium,,,,,,,0.00018804061677322304,,,,,3.629368852756506e-05,,,1.8092015993342154e-05,1.9195164214631007e-05,2.6209205371838753e-05,1.3903395730615556e-05,1.7436913247870234e-05,6.44194156636717e-05,4.5308539228851506e-05,2.612609403018906e-05,3.807243995560042e-05,1.7829655471625167e-05,3.198767882001202e-05
Acidipila,,,,,,,,,,,,,,,,1.7450149286028187e-06,3.494560716245167e-06,5.213773398980834e-06,1.7436913247870234e-06,3.482130576414687e-06,5.961649898533093e-06,,5.948818743062563e-06,7.131862188650068e-06,1.0662559606670672e-05
Acidipropionibacterium,,,,,,,,,,,1.9227441404372333e-05,,,,,,,1.7379244663269445e-06,,,1.1923299797066186e-06,1.1875497286449574e-06,,,
Acidisarcina,,,,,,,,,,,,3.629368852756506e-05,,,,3.4900298572056374e-06,,1.7379244663269445e-06,,,4.7693199188264745e-06,1.1875497286449574e-06,1.1897637486125126e-06,,1.1847288451856302e-06
Acidisoma,,,,,,,,,,,,,,1.8249507263303893e-05,,1.7450149286028187e-06,1.0483682148735503e-05,3.475848932653889e-06,6.974765299148094e-06,1.2187457017451403e-05,2.3846599594132372e-06,1.1875497286449573e-05,2.3795274972250257e-06,3.565931094325034e-06,8.293101916299412e-06
Acidisphaera,,,,,,,,,,,5.7682324213117014e-05,1.814684426378253e-05,1.9359210144226116e-05,,5.427604798002646e-05,1.221510450021973e-05,1.572552322310325e-05,8.689622331634723e-06,6.974765299148094e-06,8.705326441036719e-06,2.3846599594132376e-05,1.5438146472384443e-05,9.518109988900103e-06,1.4263724377300136e-05,8.293101916299412e-06
Aciditerrimonas,,,,,,,,,,,,,1.9359210144226116e-05,,,1.7450149286028187e-06,3.494560716245167e-06,1.7379244663269445e-06,,,1.1923299797066186e-06,,,1.1886436981083447e-06,
Acidithiobacillus,,,,,,,,,0.00019794140934283454,,1.9227441404372333e-05,,,5.474852178991168e-05,9.046007996671075e-05,4.711540307227611e-05,5.5912971459922674e-05,3.302056486021195e-05,4.1848591794888555e-05,4.178556691697625e-05,5.0077859147677984e-05,4.275179023121847e-05,4.164173120143795e-05,3.20933798489253e-05,4.028078073631143e-05
Acidithrix,,,,,,,,,,,,,,,,,,,,1.7410652882073435e-06,3.576989939119856e-06,,1.1897637486125126e-06,,
Acidobacterium,,,,,,,,,,,,,,,,5.2350447858084565e-06,1.7472803581225835e-06,5.213773398980834e-06,,3.482130576414687e-06,4.7693199188264745e-06,,5.948818743062565e-06,1.1886436981083447e-06,1.1847288451856302e-06
Acidocella,,,,,,,,,,,9.613720702186167e-05,,3.871842028845223e-05,,3.618403198668431e-05,2.79202388576451e-05,2.0967364297471005e-05,1.7379244663269446e-05,4.1848591794888555e-05,2.2633848746695465e-05,1.0730969817359567e-05,2.4938544301544104e-05,1.4277164983350153e-05,2.1395586565950204e-05,2.1325119213341347e-05
Acidomonas,,,,,,,,,,,,,,,,3.4900298572056374e-06,,,1.7436913247870234e-06,1.7410652882073435e-06,,,2.3795274972250257e-06,2.377287396216689e-06,
Acidomyces,,,,,,,,,,,1.9227441404372333e-05,,,,,3.4900298572056374e-06,3.494560716245167e-06,3.475848932653889e-06,6.974765299148092e-06,5.223195864622031e-06,3.576989939119856e-06,,2.3795274972250257e-06,2.377287396216689e-06,2.3694576903712604e-06
Acidothermus,,,,,,,,,,,,,,,,5.2350447858084565e-06,1.7472803581225835e-06,,3.487382649574047e-06,1.7410652882073435e-06,,,1.1897637486125126e-06,4.754574792433379e-06,
Acidovorax,,,,,,,0.0003760812335464461,0.0001914975105323631,,,7.690976561748933e-05,0.00025405581969295543,0.00017423289129803502,9.124753631651946e-05,0.00010855209596005292,0.00013262113457381423,0.00020967364297471002,0.00013382018390717474,0.0001987808110257206,0.00014973161478583157,0.00010969435813300892,0.00022800954789983186,0.00020107007351551466,0.00015452368075408477,0.00017178568255191636
Acineta,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter,0.00392156862745098,0.0018348623853211008,,0.003913894324853228,0.0019011406844106464,0.004353586977096347,0.0026325686348251227,0.002297970126388357,0.0035629453681710215,0.0019466614755693985,0.002768751562229615,0.0027946140166225097,0.0023037460071629076,0.001678954668223958,0.002569066271054585,0.0024796662135444726,0.002612184135393262,0.0023548876518727454,0.0022790045614965483,0.002514098276171209,0.0025766250861458794,0.00237391190756118,0.00228791568858156,0.0025615271694233556,0.0022758641116013764
Acionnavirus,,,,,,,,,,,,,,,,,,,,,,,,1.1886436981083447e-06,
Acleris,,,,,,,,,,,,,,,,,,,,,,,,,
Acrasis,,,,,,,,,,,,,,,,,,,1.7436913247870234e-06,1.7410652882073435e-06,,,,1.1886436981083447e-06,1.1847288451856302e-06
Acremonium,,,,,,,,,,,,,,,,3.4900298572056374e-06,,,,,,,,2.377287396216689e-06,
Acrobasis,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocarpospora,,,,,,,,,,,,,,,,3.4900298572056374e-06,,1.7379244663269445e-06,3.487382649574047e-06,1.0446391729244062e-05,1.1923299797066186e-06,1.1875497286449574e-06,3.5692912458375375e-06,5.9432184905417225e-06,2.3694576903712604e-06
Acrocera,,,,,,,,,,,,,,,,,,,,,,,,,
Acrochaetium,,,,,,,,,,,1.9227441404372333e-05,,,,,,,,,,,,,1.1886436981083447e-06,
Acrolepiopsis,,,,,,,,,,,,,,,,,,,,,,,,,
Acromyrmex,,,,,,,,,,,,,,,,,,,,1.7410652882073435e-06,,2.3750994572899148e-06,4.759054994450051e-06,,1.1847288451856302e-06
Acronicta,,,,,,,,,,,,,,,,,,,,,,,,,
Acropolitis,,,,,,,,,,,,,,,,,,,,,,,,,
Acropora,,,,,,0.00018928639030853684,,0.0001914975105323631,,0.00019466614755693983,5.768232421311701e-05,9.073422131891265e-05,7.743684057690446e-05,9.124753631651946e-05,0.00019901217592676367,6.107552250109866e-05,7.862761611551626e-05,5.039980952348139e-05,6.974765299148092e-05,6.79015462400864e-05,6.319348892445079e-05,8.194093127650206e-05,4.878031369311303e-05,6.41867596978506e-05,7.819210378225159e-05
Acrosorium,,,,,,,,,,,,,,,,,,,,,,,,,
Acrothesaurum,,,,,,,,,,,,,,,,,,,,,,,,,
Acrothrix,,,,,,,,,,,,,,,,,,,,,,,,,
Actibacterium,,,,,,0.00018928639030853684,0.0003760812335464461,0.0001914975105323631,0.0003958828186856691,0.0009733307377846992,0.0003268665038743297,0.0004718179508583458,0.00034846578259607004,0.00018249507263303893,0.00023519620791344803,0.00034027791107754966,0.0003756652769963555,0.0003858192315245817,0.00031735182111123814,0.00028031151140138234,0.00031715977460196055,0.0003301388245632982,0.00033670314085734114,0.0004053275010549455,0.0003246157035808627
Actinacidiphila,,,,,,,,,,,,1.814684426378253e-05,1.9359210144226116e-05,,,1.221510450021973e-05,1.2230962506858086e-05,2.259301806225028e-05,2.092429589744428e-05,1.9151718170280783e-05,2.1461939634719133e-05,1.4250596743739488e-05,2.736456621808779e-05,1.1886436981083445e-05,2.0140390368155715e-05
Actinarchaeum,,,,,,,,,,,,,,,,,,,,,,,,,
Actinastrum,,,,,,,,,,,,,,,,,,,,,,,,,1.1847288451856302e-06
Actinia,,,,,,,,,0.00019794140934283454,,,3.629368852756506e-05,,1.8249507263303893e-05,,2.79202388576451e-05,2.4461925013716173e-05,2.954471592755806e-05,5.231073974361069e-05,2.0892783458488124e-05,2.2654269614425753e-05,1.66256962010294e-05,2.4985038720862768e-05,3.20933798489253e-05,2.4879305748898232e-05
Actinidia,,,,,,,,,,,,,,1.8249507263303893e-05,,5.235044785808457e-06,1.7472803581225835e-06,1.7379244663269445e-06,3.487382649574047e-06,3.482130576414687e-06,4.7693199188264745e-06,7.125298371869744e-06,4.7590549944500505e-06,7.131862188650068e-06,2.3694576903712604e-06
Actiniopteris,,,,,,,,,,,,,,,,,,,,,1.1923299797066186e-06,,,,
Actinoallomurus,,,,,,0.00018928639030853684,,,,,1.9227441404372333e-05,9.073422131891265e-05,5.8077630432678344e-05,,3.618403198668431e-05,3.4900298572056376e-05,4.018744823681942e-05,4.866188505715445e-05,4.010490047010153e-05,5.397302393442765e-05,3.81545593506118e-05,4.2751790231218465e-05,5.829842368201312e-05,6.41867596978506e-05,5.331279803335337e-05
Actinoalloteichus,,,,,,,,,,,,,,,,3.4900298572056374e-06,5.2418410743677504e-06,5.213773398980834e-06,3.487382649574047e-06,1.7410652882073435e-06,3.576989939119856e-06,2.3750994572899148e-06,4.759054994450051e-06,2.377287396216689e-06,5.923644225928151e-06
Actinobacillus,,,,,,,0.00018804061677322304,,,0.00038933229511387967,,,5.8077630432678344e-05,,1.8092015993342154e-05,2.4430209000439464e-05,1.7472803581225834e-05,1.9117169129596392e-05,1.3949530598296187e-05,2.7857044611317496e-05,1.3115629776772806e-05,2.3750994572899147e-05,2.260551122363774e-05,2.258423026405855e-05,2.8433492284455127e-05
Actinobaculum,,,,,,,,,,,,,,,,1.7450149286028187e-06,,,1.7436913247870234e-06,3.482130576414687e-06,1.1923299797066186e-06,,1.1897637486125126e-06,,3.55418653555689e-06
