order,1000_1_nt_rpm,1000_2_nt_rpm,1000_3_nt_rpm,1000_4_nt_rpm,1000_5_nt_rpm,10000_1_nt_rpm,10000_2_nt_rpm,10000_3_nt_rpm,10000_4_nt_rpm,10000_5_nt_rpm,100000_1_nt_rpm,100000_2_nt_rpm,100000_3_nt_rpm,100000_4_nt_rpm,100000_5_nt_rpm,1000000_1_nt_rpm,1000000_2_nt_rpm,1000000_3_nt_rpm,1000000_4_nt_rpm,1000000_5_nt_rpm,10000000_1_nt_rpm,10000000_2_nt_rpm,10000000_3_nt_rpm,10000000_4_nt_rpm,10000000_5_nt_rpm
Dioscoreales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,2.000016000128001e-06,4.000040000400004e-06,3.000024000192002e-06,2.000012000072001e-06,0.0,4.813050970100402e-06,6.875084219562546e-07,2.7516800926639214e-06,4.811668671908823e-06,4.125336624746889e-06
Diphyllobothriidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,2.000020000200002e-05,0.0,0.0,2e-05,0.0,4.000032000256002e-06,5.000050000500004e-06,4.000032000256002e-06,4.000024000144001e-06,4.000032000256002e-06,6.87578710014343e-06,3.437542109781273e-06,4.815440162161862e-06,4.124287433064706e-06,8.938229353618259e-06
Diplomonadida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diplostraca,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,2.000020000200002e-05,7.000056000448004e-06,1.6000160001600015e-05,1.3000104000832007e-05,1.5000090000540005e-05,2.7000216001728015e-05,1.6501889040344232e-05,1.5812693704993856e-05,9.630880324323723e-06,1.7184530971102942e-05,1.5813790394863074e-05
Dipodascales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,2e-05,3.000030000300003e-05,1.4000112000896008e-05,9.000090000900008e-06,7.000056000448004e-06,1.2000072000432003e-05,7.000056000448004e-06,8.250944520172116e-06,8.937609485431311e-06,7.567120254825783e-06,4.8116686719088236e-06,7.5631171453692965e-06
Dipsacales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,1.0000080000640005e-06,1.0000060000360005e-06,0.0,6.87578710014343e-07,0.0,0.0,0.0,0.0
Diptera,0.0,0.0,0.0,0.001,0.0,0.0004,0.0004,0.0005,0.00030000000000000003,0.0001,0.0002800028000280003,0.00035000000000000005,0.00042,0.00029,0.00044000440004400045,0.00033700269602156816,0.0003210032100321003,0.0003490027920223362,0.0003480020880125281,0.0003430027440219522,0.0003396638827470854,0.00034031666886834603,0.0003391445714208283,0.0003464401443774353,0.00031077535906426563
Dissulfuribacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diversisporales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dixoniellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,1.0000060000360005e-06,0.0,0.0,0.0,0.0,6.873812388441177e-07,6.875561041244814e-07
Dolichomastigales,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.375157420028686e-06,2.7500336878250184e-06,6.879200231659802e-07,0.0,1.375112208248963e-06
Dothideales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.000010000100001e-05,0.0,1e-05,0.0,0.0,7.000056000448003e-06,1.000010000100001e-06,3.0000240001920015e-06,3.0000180001080015e-06,8.000064000512004e-06,1.375157420028686e-06,4.812558953693783e-06,2.0637600694979405e-06,4.8116686719088236e-06,4.812892728871371e-06
Durnavirales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dysteriida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,2.000016000128001e-06,0.0,1.0000080000640005e-06,0.0,2.000016000128001e-06,5.500629680114744e-06,2.062525265868764e-06,6.879200231659802e-07,4.8116686719088236e-06,6.875561041244814e-07
Echinorhynchida,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Echinosteliales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875561041244814e-07
Echiuroidea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000080000640005e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ectocarpales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,1.000010000100001e-05,7.000056000448003e-06,1.100011000110001e-05,5.000040000320003e-06,9.000054000324003e-06,2.0000160001280012e-05,8.938523230186459e-06,6.187575797606291e-06,1.1006720370655686e-05,7.561193627285295e-06,2.062668312373444e-06
Eggerthellales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,0.0,1.700013600108801e-05,9.000090000900008e-06,1.4000112000896008e-05,1.0000060000360004e-05,1.800014400115201e-05,1.2376416780258173e-05,4.812558953693783e-06,1.1694640393821666e-05,8.248574866129412e-06,9.625785457742741e-06
Egibacterales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,1.000010000100001e-05,0.0,0.0,0.0,0.0,5.000040000320002e-06,3.000030000300003e-06,2.000016000128001e-06,9.000054000324003e-06,5.000040000320002e-06,4.125472260086058e-06,5.500067375650037e-06,8.255040277991764e-06,8.248574866129412e-06,6.188004937120333e-06
Egicoccales,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,1.000010000100001e-05,3e-05,0.0,1e-05,2.000020000200002e-05,1.2000096000768006e-05,1.000010000100001e-05,8.000064000512004e-06,1.2000072000432004e-05,1.1000088000704003e-05,9.626101940200803e-06,1.650020212695011e-05,1.926176064864745e-05,1.443500601572647e-05,1.0313341561867222e-05
Elusimicrobiales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.000016000128001e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
