class,1000_1_nr_rpm,1000_2_nr_rpm,1000_3_nr_rpm,1000_4_nr_rpm,1000_5_nr_rpm,10000_1_nr_rpm,10000_2_nr_rpm,10000_3_nr_rpm,10000_4_nr_rpm,10000_5_nr_rpm,100000_1_nr_rpm,100000_2_nr_rpm,100000_3_nr_rpm,100000_4_nr_rpm,100000_5_nr_rpm,1000000_1_nr_rpm,1000000_2_nr_rpm,1000000_3_nr_rpm,1000000_4_nr_rpm,1000000_5_nr_rpm,10000000_1_nr_rpm,10000000_2_nr_rpm,10000000_3_nr_rpm,10000000_4_nr_rpm,10000000_5_nr_rpm
Anaerolineae,0.0012658227848101266,,0.002531645569620253,,0.005082592121982211,0.0018193632228719948,0.0023112480739599386,0.0018087855297157622,0.0011971268954509178,0.0014598540145985405,0.0024235041018130917,0.0023002300230023005,0.002152909052720017,0.0022214368657545317,0.002023583491555911,0.0021956367715651407,0.00206947633144103,0.0021334098858213743,0.002247036067083622,0.0021490068219901094,0.002045598682472908,0.0021523855326059968,0.0020780435766578967,0.002055882313355368,0.002179929866046718
Andreaeopsida,,,,,,,,,,,,,,,,,,,,,,,,,
Anthocerotopsida,,,,,,,,,,,,,,,,,,,,,,,,,8.397264507114618e-07
Anthozoa,,,,,0.0025412960609911056,0.0005198180636777129,0.00012840267077555214,0.0007751937984496125,0.00039904229848363934,0.0005308560053085602,0.00040175736447168925,0.0003250325032503251,0.0004069523209409788,0.00042914121270258,0.0005121415009493359,0.0005166204168389008,0.0005622774574723848,0.00046863862931790915,0.00043463218174276245,0.0004106225849798404,0.0005013062560664925,0.000649919537775148,0.0005056292265471611,0.0005333180796511677,0.00044337556597565185
Aphelidea,,,,,,,,,,,1.2959914982957723e-05,5.0005000500050013e-05,3.938248267170763e-05,3.786540112081588e-05,,2.2140875007381464e-05,2.214659569913113e-05,3.189687005828701e-05,2.708755806895403e-05,3.442345023783093e-05,2.691577213780352e-05,1.7656287572160497e-05,2.6080708856841915e-05,1.7665109893808393e-05,2.9390425774901167e-05
Aquificia,,,,,,,,,,,3.887974494887317e-05,3.7503750375037513e-05,5.250997689561017e-05,3.786540112081588e-05,3.747376836214653e-05,2.2140875007381464e-05,2.4607328554590147e-05,2.576285658553951e-05,2.8318810708451948e-05,3.319404130076554e-05,3.112136153433532e-05,3.363102394697237e-05,2.776333523470268e-05,2.7759458404556043e-05,2.3512340619920932e-05
Arachnida,,,0.0012658227848101266,0.0012919896640826874,,0.00038986354775828464,0.00012840267077555214,,0.00039904229848363934,0.0013271400132714003,0.00047951685436943575,0.0005375537553755376,0.0005513547574039067,0.00047962841419700114,0.0005621065254321979,0.000485869201550871,0.00046015704397083575,0.0004637314185397111,0.00042478216062677914,0.0004684048050219138,0.0005223342030492496,0.0003926422045809025,0.0005056292265471611,0.0004626576400759341,0.00045597146273632376
Archaeoglobi,,,,,,,,,,,,,,,,8.610340280648347e-06,4.921465710918029e-06,3.6804080836485017e-06,6.156263197489554e-06,4.917635748261562e-06,3.3644715172254396e-06,2.522326796022928e-06,5.047879133582306e-06,5.888369964602798e-06,5.878085154980233e-06
Ardenticatenia,,0.0012578616352201257,,,0.0012706480304955528,0.0006497725795971411,0.00038520801232665646,0.00025839793281653745,,0.0002654280026542801,0.00020735863972732357,0.00018751875187518753,0.0002625498844780508,0.0002271924067248953,0.0001623863295693016,0.00019065753478577982,0.00022023559056358165,0.0002527213550770792,0.0002265504856674973,0.00024096415166480168,0.00023635412408503932,0.00021776088005656866,0.00023304375333368222,0.00023721719000250143,0.00022084805653707387
Arfiviricetes,,,,,,,,,,,2.5919829965915446e-05,,,2.524360074721059e-05,3.747376836214654e-05,2.3370923618902658e-05,,1.4721632334594005e-05,8.618768476485373e-06,7.376453622392342e-06,1.766347546543356e-05,7.5669803880687835e-06,8.413131889303842e-06,1.1776739929205596e-05,7.557538056403157e-06
