SampleIdx,Genus,Phylum_18S,RA_18S,Phylum_PAMA,RA_PAMA,Phylum_final,Phylum_plot
3,Ekhidna,,0.0,Bacteroidota,0.0010507138951828007,Bacteroidota,Bacteroidota
3,Endozoicomonas,,0.0,Proteobacteria,0.0006241898264664644,Proteobacteria,Proteobacteria
3,Epulopiscium,,0.0,Firmicutes,0.00010133282468229179,Firmicutes,Other
3,Erythrobacter,,0.0,Proteobacteria,4.0135658525817265e-05,Proteobacteria,Proteobacteria
3,Euamoebida,Amoebozoa,0.0005319193094669605,,0.0,Amoebozoa,Other
3,Eunicida,,0.0,Annelida,0.00043702200694253684,Annelida,Annelida
3,Eunotogramma,,0.0,Diatomea,0.002902751521724539,Diatomea,Diatomea
3,Euplotes,Ciliophora,0.003235809626533639,Ciliophora,0.0001787891582964438,Ciliophora,Ciliophora
3,Eutintinnus,,0.0,Ciliophora,0.00011371769915648224,Ciliophora,Ciliophora
3,Exiguobacterium,,0.0,Firmicutes,2.6757105683878175e-05,Firmicutes,Other
3,Fabibacter,,0.0,Bacteroidota,0.00015497961421997568,Bacteroidota,Bacteroidota
3,Falcula,,0.0,Diatomea,8.941131589613981e-05,Diatomea,Diatomea
3,Ferrimonas,,0.0,Proteobacteria,0.0005254068288818002,Proteobacteria,Proteobacteria
3,Filomicrobium,,0.0,Proteobacteria,0.0008672891062858483,Proteobacteria,Proteobacteria
3,Flavobacteriales,,0.0,Bacteroidota,0.0002274353983129645,Bacteroidota,Bacteroidota
3,Flavobacterium,,0.0,Bacteroidota,0.00016054263410326906,Bacteroidota,Bacteroidota
3,Flexithrix,,0.0,Bacteroidota,0.0002871092313286881,Bacteroidota,Bacteroidota
3,Fluviicola,,0.0,Bacteroidota,0.0007063152641769608,Bacteroidota,Bacteroidota
3,Formosa,,0.0,Bacteroidota,0.0002878377533565817,Bacteroidota,Bacteroidota
3,Francisella,,0.0,Proteobacteria,0.00017392118694520812,Proteobacteria,Proteobacteria
3,Fulvibacter,,0.0,Bacteroidota,0.00018061046336617767,Bacteroidota,Bacteroidota
3,Fulvivirga,,0.0,Bacteroidota,0.00017090799415954221,Bacteroidota,Bacteroidota
3,Fusibacter,,0.0,Firmicutes,0.0005717349246447125,Firmicutes,Other
3,Ga0077536,,0.0,Proteobacteria,0.000688995471359863,Proteobacteria,Proteobacteria
3,Gallaecimonas,,0.0,Proteobacteria,0.00012040697557745179,Proteobacteria,Proteobacteria
3,Gayadomonas,,0.0,Proteobacteria,0.0005083850079936853,Proteobacteria,Proteobacteria
3,Geminigera,Cryptophyceae,0.02182588639294343,,0.0,Cryptophyceae,Cryptophyceae
3,Geminobacterium,,0.0,Cyanobacteria,0.0002274353983129645,Cyanobacteria,Cyanobacteria
3,Geothermobacter,,0.0,Desulfobacterota,0.00013282532354747808,Desulfobacterota,Other
3,Gilvibacter,,0.0,Bacteroidota,0.00011335343814253546,Bacteroidota,Bacteroidota
3,Gilvimarinus,,0.0,Proteobacteria,0.00024253615155054578,Proteobacteria,Proteobacteria
3,Glaciecola,,0.0,Proteobacteria,0.0004147351381001117,Proteobacteria,Proteobacteria
3,Goniomonas,,0.0,Cryptophyceae,0.0007614525712662677,Cryptophyceae,Cryptophyceae
3,Gonyaulax,,0.0,Dinoflagellata,0.0005949163671807947,Dinoflagellata,Other
3,Gracilibacteria,,0.0,Patescibacteria,0.00035582330060811746,Patescibacteria,Other
3,Gramella,,0.0,Bacteroidota,0.00010265729056815136,Bacteroidota,Bacteroidota
3,Granulosicoccus,,0.0,Proteobacteria,0.0006025323749778411,Proteobacteria,Proteobacteria
3,Grimontia,,0.0,Proteobacteria,0.0003159199828330274,Proteobacteria,Proteobacteria
3,Guinardia,,0.0,Diatomea,0.007783315087730209,Diatomea,Diatomea
3,HIMB11,,0.0,Proteobacteria,0.03006510913685903,Proteobacteria,Proteobacteria
3,HOC36,,0.0,Proteobacteria,0.0007098259540532089,Proteobacteria,Proteobacteria
3,Haematospirillum,,0.0,Proteobacteria,0.00023412467473393403,Proteobacteria,Proteobacteria
3,Hahella,,0.0,Proteobacteria,0.00036122092673235534,Proteobacteria,Proteobacteria
3,Halarcobacter,,0.0,Campylobacterota,0.0002006782926290863,Campylobacterota,Other
3,Haliangium,,0.0,Myxococcota,0.0002977062742289806,Myxococcota,Other
3,Halobacillus,,0.0,Firmicutes,0.0001049091457367958,Firmicutes,Other
3,Halobacteriovorax,,0.0,Bdellovibrionota,1.1921508786151976e-05,Bdellovibrionota,Other
3,Halodaphnea,Peronosporomycetes,0.012339926362001893,,0.0,Peronosporomycetes,Other
3,Halodesulfovibrio,,0.0,Desulfobacterota,0.00012140065394520042,Desulfobacterota,Other
3,Halomonas,,0.0,Proteobacteria,0.00017286187739920365,Proteobacteria,Proteobacteria
3,Haloplasma,,0.0,Firmicutes,0.00021412313455598916,Firmicutes,Other
3,Haplozoon,Dinoflagellata,0.002734877565820384,Dinoflagellata,0.00011371769915648224,Dinoflagellata,Other
3,Hartaetosiga,,0.0,Holozoa,0.0009317646215678438,Holozoa,Other
3,Hartmannella,Amoebozoa,0.0006741270055278415,,0.0,Amoebozoa,Other
3,Helicotheca,Diatomea,0.0005393016044222731,,0.0,Diatomea,Diatomea
3,Hemiselmis,,0.0,Cryptophyceae,0.0007493321952252243,Cryptophyceae,Cryptophyceae
3,Henriciella,,0.0,Proteobacteria,9.364986989357361e-05,Proteobacteria,Proteobacteria
3,Heterobranchia,,0.0,Mollusca,0.0008047018430652583,Mollusca,Mollusca
3,Heterosigma,Ochrophyta,0.000943777807738978,,0.0,Ochrophyta,Ochrophyta
3,Holosporaceae,,0.0,Proteobacteria,0.0003344638210484772,Proteobacteria,Proteobacteria
3,Hyalophysa,,0.0,Ciliophora,0.001049092773181374,Ciliophora,Ciliophora
3,Hydrogenedensaceae,,0.0,Hydrogenedentes,0.00041043029501771413,Hydrogenedentes,Other
3,Hyphomonas,,0.0,Proteobacteria,0.00022266718954252844,Proteobacteria,Proteobacteria
