,FeatureID,SampleID,Count,Kingdom,Phylum,Class,Order,Family,Genus,Species,Method,core
945,8b45af2f279f908da9cd3ab751319ff9,OL-16S-2b,29.0,Bacteria,Cyanobacteria,Vampirivibrionia,Caenarcaniphilales,Caenarcaniphilales,Caenarcaniphilales,Unassigned,16S,2b
946,1949ef5b5ed6386009ae725886eb91ce,OL-16S-2b,29.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
947,12876320597131e6de2484ca4f898314,OL-16S-2b,28.0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,Unassigned,16S,2b
948,05ddf673cf6262bf1d0ec3b78a063f82,OL-16S-2b,28.0,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonadaceae,Unassigned,16S,2b
949,e50cfa2833d19c892e997b4cace01cc8,OL-16S-2b,27.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
950,92fdef45f029c9ed4d67e4c517aa2bcd,OL-16S-2b,25.0,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Unassigned,16S,2b
951,02220a7ddc25479ebb8afd3a1afc8971,OL-16S-2b,24.0,Bacteria,Methylomirabilota,Methylomirabilia,Rokubacteriales,Rokubacteriales,Rokubacteriales,Unassigned,16S,2b
952,eeb2c96d5353345e09d8f861306251cc,OL-16S-2b,24.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
953,ad113af42cfb9a1f0d6fb919534de07b,OL-16S-2b,24.0,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Cyanobium_PCC-6307,Unassigned,16S,2b
954,3acd63fd941aca354629089a5f1d8ca0,OL-16S-2b,23.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
955,1393f764e6ac286c40725f6eee5562e9,OL-16S-2b,23.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
956,88a102b95bc65f0c72c801253e3a91ec,OL-16S-2b,23.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
957,7125173bed230cca0c3f38ac3f775a36,OL-16S-2b,23.0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Robiginitalea,Unassigned,16S,2b
958,5d8347fd9df35c8a410e5f69ce2a338b,OL-16S-2b,22.0,Bacteria,Cyanobacteria,Sericytochromatia,Sericytochromatia,Sericytochromatia,Sericytochromatia,Unassigned,16S,2b
959,32eeb96dec7f5e3ab011a78b0cf22272,OL-16S-2b,22.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
960,89bec6651e19e63a2e90bfe741be4a9a,OL-16S-2b,21.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
961,225196336fc9dccdc51f09233e516ebf,OL-16S-2b,21.0,Bacteria,Bacteroidota,Kryptonia,Kryptoniales,BSV26,BSV26,Unassigned,16S,2b
962,f883405b67ccc14eb9421abfe63cce68,OL-16S-2b,21.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
963,64ff058e2e4fc85b7c25776481c5ed57,OL-16S-2b,20.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
964,d401c53124709f8f931d413b0a0273f3,OL-16S-2b,20.0,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,uncultured,Unassigned,16S,2b
965,191cd24acf03123745146e76712071f8,OL-16S-2b,20.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
966,033bd07f7364ebcef928d1ec1a45efd6,OL-16S-2b,19.0,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,uncultured,Unassigned,16S,2b
967,dc940398777bae5042848599c565b0fd,OL-16S-2b,19.0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,T34,T34,Unassigned,16S,2b
968,aded480da9dcc14db0b5c73acef09411,OL-16S-2b,19.0,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,Unassigned,16S,2b
969,ac0f2bf2d9b545defdb553cc5feaa9e0,OL-16S-2b,19.0,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,OM27_clade,Unassigned,16S,2b
970,ebae6e35f18a5140bfff413cccdac00a,OL-16S-2b,19.0,Bacteria,Planctomycetota,Pla3_lineage,Pla3_lineage,Pla3_lineage,Pla3_lineage,Unassigned,16S,2b
971,a1f4cd1832f637a57109a21881d53ddc,OL-16S-2b,18.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
972,cb985946a4d41de543519d9966fb5981,OL-16S-2b,18.0,Bacteria,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Latescibacterota,Unassigned,16S,2b
973,bee0dc75de836992a8bd99053901af0f,OL-16S-2b,17.0,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,Unassigned,16S,2b
974,f69149f3112f0ac6d1dcc0f281de563c,OL-16S-2b,17.0,Bacteria,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
975,db70a2105abe0c3d5d5ececa01e2e12a,OL-16S-2b,16.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,Unassigned,16S,2b
976,e2926780eeadae2d4472fa06332b2d89,OL-16S-2b,16.0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,Unassigned,16S,2b
977,5e3adcc26cafefce6dd1c7c83a4dd3f3,OL-16S-2b,16.0,Bacteria,Bacteroidota,Bacteroidia,Unassigned,Unassigned,Unassigned,Unassigned,16S,2b
978,b504e4426ebe3586d0a5809f9b162838,OL-16S-2b,15.0,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unassigned,Unassigned,16S,2b
979,4d2e7b0ecb2f61fcaf185706361b924c,OL-16S-2b,15.0,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,Chloroplast,Chloroplast,Unassigned,16S,2b
980,c0783746444b14843fc07e042062b41f,OL-16S-2b,15.0,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Subgroup_17,Subgroup_17,Unassigned,16S,2b
981,0adf190256c6296ff93c883a4ab6da38,OL-16S-2b,15.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
982,2483e440ebbcd5f988015c9910235e71,OL-16S-2b,15.0,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria,Unassigned,16S,2b
983,e92629e680829eaf0b505f2e8dbfb0a3,OL-16S-2b,14.0,Bacteria,Sva0485,Sva0485,Sva0485,Sva0485,Sva0485,Unassigned,16S,2b
984,29e0bdf084e6346a87c0b07351a14435,OL-16S-2b,14.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,uncultured,uncultured,Unassigned,16S,2b
985,c35f11fde147be4a8c056e619a27d85a,OL-16S-2b,14.0,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,SH-PL14,Unassigned,16S,2b
