tip,lfc,p,direction,q,Method,significant
Bacteria|Actinobacteriota|Actinobacteria|Frankiales|Nakamurellaceae|Nakamurella,-0.6925754301023996,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Frankiales|Sporichthyaceae|Longivirga,-0.733429176644691,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Frankiales|Sporichthyaceae|hgcI_clade,-3.4240137484095907,2.424076725134533e-05,River,0.0011273602392256848,PAMA,True
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Microbacteriaceae|Candidatus_Aquiluna,-2.0812028906998643,0.058828983139123284,River,0.20727021122080447,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Microbacteriaceae|Candidatus_Flaviluna,-1.3662862845329427,0.182110859525148,River,0.3690403173564971,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Microbacteriaceae|Rhodoluna,-0.46249714308604606,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Micrococcales|Micrococcaceae|Rothia,0.33897137576375336,0.6752604135549116,Ocean,0.6939179807732195,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Nitriliruptorales|Nitriliruptoraceae|Nitriliruptoraceae,1.0859319800631448,0.1820099538432767,Ocean,0.3690403173564971,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|PeM15|PeM15|PeM15,-0.47292493998147744,0.015490859915475856,River,0.08356624289116527,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides,0.9620376474592742,0.2014916057406706,Ocean,0.37684306523486594,PAMA,False
Bacteria|Actinobacteriota|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Cutibacterium,-0.8429074568057393,0.42177267712409267,River,0.4501701752527567,PAMA,False
Bacteria|Actinobacteriota|Coriobacteriia|OPB41|OPB41|OPB41,0.5517895609024288,0.5692439431078802,Ocean,0.5938067885494285,PAMA,False
Bacteria|Actinobacteriota|MB-A2-108|MB-A2-108|MB-A2-108|MB-A2-108,-2.834931124334728,0.00011557636895518736,River,0.0018627058129944362,PAMA,True
Bacteria|Actinobacteriota|RBG-16-55-12|RBG-16-55-12|RBG-16-55-12|RBG-16-55-12,-0.5217361575050408,0.3910022189557703,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|Thermoleophilia|Gaiellales|Gaiellaceae|Gaiella,-1.7712701210290005,0.05950404076250768,River,0.20727021122080447,PAMA,False
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|67-14|67-14,-0.7789273503361214,0.3117229562966122,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|Thermoleophilia|Solirubrobacterales|Solirubrobacteraceae|Conexibacter,-0.6859457677617531,0.39100221895577075,River,0.42104581929869767,PAMA,False
Bacteria|Actinobacteriota|WCHB1-81|WCHB1-81|WCHB1-81|WCHB1-81,0.654610299912842,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Armatimonadota|Fimbriimonadia|Fimbriimonadales|Fimbriimonadaceae|Fimbriimonadaceae,-1.5843179988644263,0.10266482242919094,River,0.29285216309447676,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides,-0.164976518051005,0.7053123319627741,River,0.7240308121104061,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidetes_BD2-2|Bacteroidetes_BD2-2,2.7629217653156535,1.4825538606448109e-05,Ocean,0.001121052561671049,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Bacteroidetes_vadinHA17|Bacteroidetes_vadinHA17,-1.2467141044079089,0.18219073281079487,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Marinifilaceae|Marinifilum,1.1076824885194023,0.18169112936814594,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Marinilabiliaceae|Carboxylicivirga,2.583740105623567,5.4105444324230333e-05,Ocean,0.00141405309896029,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Marinilabiliaceae|Labilibacter,0.559424053191842,0.3910022189557703,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Paludibacteraceae|Paludibacter,-0.40193051629423593,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prolixibacteraceae|Draconibacterium,2.3128919145735107,0.001828640206890958,Ocean,0.013295451729801178,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Prolixibacteraceae|Roseimarinus,1.8040349394891697,0.0613994978975903,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidales|Tannerellaceae|Parabacteroides,-0.4458673840787526,0.5287668459343011,River,0.5539734994782981,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Bacteroidetes_VC2.1_Bac22|Bacteroidetes_VC2.1_Bac22|Bacteroidetes_VC2.1_Bac22,2.5209003568013184,4.4566812540250354e-05,Ocean,0.0013272532567852882,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|37-13|37-13,-0.654776349979115,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Dinghuibacter,-2.6331120488704913,0.0038166439130964736,River,0.023965549766001886,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Edaphobaculum,-1.172507826990115,0.20970542054770872,River,0.3892229206710831,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Ferruginibacter,-0.6263052769159154,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Sediminibacterium,-1.4727782835438372,0.18202085695955478,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Taibaiella,0.6519358680302574,0.39100221895577075,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|Terrimonas,-1.326624213761523,0.1828712313736773,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Chitinophagaceae|UTBCD1,-0.7475955948132942,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Saprospiraceae|Aureispira,2.7832440769271054,0.00039190835849143673,Ocean,0.004108065287356812,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Saprospiraceae|Lewinella,2.9280234175371183,1.623033698386214e-05,Ocean,0.001121052561671049,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Saprospiraceae|Portibacter,2.789626998703162,0.00025067370571781045,Ocean,0.003030018417864034,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Chitinophagales|Saprospiraceae|Saprospira,2.125782438832432,8.225451386976347e-06,Ocean,0.001121052561671049,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Amoebophilaceae|Candidatus_Amoebophilus,0.9722086324258461,0.1820031010437577,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Cyclobacterium,1.764516502256896,0.06016160852418512,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Echinicola,0.5970560796830355,0.39100221895577075,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Ekhidna,2.9808729753143313,8.907497800156994e-05,Ocean,0.001656451994759964,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Fabibacter,1.7732322027863203,0.05980682945295307,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Fulvivirga,2.3352967330254892,0.0005856727898727403,Ocean,0.005342882903839056,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Marinoscillum,2.994083822276247,0.0004068221410416871,Ocean,0.004108065287356812,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Persicobacter,1.2192975636586452,0.18520832367012177,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Reichenbachiella,1.1731781418778802,0.18325548243061163,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Roseivirga,0.515714834611118,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cyclobacteriaceae|Tunicatimonas,0.5205332776949128,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Cytophagaceae|Cytophaga,-0.6607883928342728,0.39100221895577053,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Flammeovirgaceae|Algivirga,1.8109478284500504,0.059322846192261955,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Flammeovirgaceae|Flammeovirga,0.5244497450566872,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Flammeovirgaceae|Flexithrix,1.8113784290675685,0.05885830327559338,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Flammeovirgaceae|Luteivirga,0.5891611602147293,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Flammeovirgaceae|Rapidithrix,0.6450959882641607,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Microscillaceae|OLB12,-1.2909039243588225,0.18448780970557604,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Spirosomaceae|Dyadobacter,-0.6343633600366569,0.39100221895577075,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Spirosomaceae|Emticicia,-1.0898836298223111,0.189060150907529,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Spirosomaceae|Lacihabitans,-0.49979599018419396,0.3910022189557703,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Spirosomaceae|Pseudarcicella,-2.076439140325899,0.06428181308410917,River,0.20819677071874595,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Cytophagales|Spirosomaceae|Taeseokella,1.5693069349847315,0.059048395280705594,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Crocinitomicaceae|Brumimicrobium,0.6572204346663906,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Crocinitomicaceae|Crocinitomix,2.473387263597619,0.02794688812065444,Ocean,0.13718091783082662,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Crocinitomicaceae|Fluviicola,-0.5394625285584689,0.045872693265299955,River,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Crocinitomicaceae|Lishizhenia,1.050358786661735,0.18356694317249955,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Crocinitomicaceae|Salinirepens,1.30737268512617,0.18230472094732908,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Cryomorphaceae|Cryomorpha,0.654610299912842,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Cryomorphaceae|Luteibaculum,1.2206918257975081,0.18192315569295248,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Cryomorphaceae|NS10_marine_group,-0.881131895128358,0.35649253634466965,River,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Cryomorphaceae|Owenweeksia,1.6066953609991002,0.07311851579838276,Ocean,0.2209550149282379,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Cryomorphaceae|Phaeocystidibacter,0.48479284348173035,0.39100221895577075,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Actibacter,1.2895649052465545,0.19877130905462517,Ocean,0.3760349887871556,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Aquibacter,3.2280587861801004,2.145394153561693e-05,Ocean,0.0011273602392256848,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Aquimarina,0.49350361473888604,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Arcticiflavibacter,0.6311061686378139,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Arenibacter,0.664694227336577,0.39100221895577075,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Aureicoccus,0.9932088463788737,0.1905126378145746,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Corallibacter,0.4539736874028133,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Dokdonia,1.6409063464462381,0.058836714959470494,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Flavobacterium,-0.6065629937922239,0.49292346107169815,River,0.518669191356183,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Formosa,2.361631777591417,0.002334488608414024,Ocean,0.016358336843017112,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Fulvibacter,0.5721423725860904,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Gilvibacter,1.169815285564356,0.10088826736656782,Ocean,0.28873537938569055,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Gramella,1.9602034262480288,0.0015915083882670216,Ocean,0.011973384973879585,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Hoppeia,0.3905784235967582,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Kordia,0.5304617054754743,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Leeuwenhoekiella,1.2052822576231232,0.18212596004677642,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Lutaonella,0.6153940352550897,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Lutibacter,0.5283985337705213,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Mesoflavibacter,1.823328046364228,0.06131055363786086,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Mesonia,0.6001906716352678,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Muricauda,2.9603536412551152,8.038358515736147e-06,Ocean,0.001121052561671049,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Muriicola,2.903884882231926,1.611232631671158e-05,Ocean,0.001121052561671049,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|NS2b_marine_group,1.7905400904030628,0.05767923014433177,Ocean,0.20727021122080447,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|NS3a_marine_group,-1.362818933549299,0.1839232101831908,River,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|NS4_marine_group,3.176881294428578,0.00017693306606264713,Ocean,0.002470932970938733,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|NS5_marine_group,0.6250466969615345,0.012282688009758716,Ocean,0.06865060713645063,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Neptunitalea,0.9493200257179693,0.18406252371334358,Ocean,0.3690403173564971,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Nonlabens,2.0145365763847094,0.000892707791493086,Ocean,0.007495062326177699,PAMA,True
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Ochrovirga,0.9173895900786535,0.20186629554463348,Ocean,0.37684306523486594,PAMA,False
Bacteria|Bacteroidota|Bacteroidia|Flavobacteriales|Flavobacteriaceae|Polaribacter,0.5421573074121451,0.39100221895577053,Ocean,0.42104581929869767,PAMA,False
