Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
FGB1340,0.0552238,0.0550862,0.0551817,0.0552766,0.0551662,0.0,0.0,0.0,0.0,0.0,0.055186900000000004,0.0,7.071725390596046e-05,0.0
FGB3035,3.76e-05,3.88e-05,3.71e-05,3.65e-05,3.45e-05,0.0,0.0,0.0,0.0,0.0,3.6899999999999996e-05,0.0,1.5858751527153714e-06,0.0
FGB3053,0.000809,0.000801,0.0008092,0.0008008,0.0008019,0.0,0.0,0.0,0.0,0.0,0.00080438,0.0,4.329203159936056e-06,0.0
Lachnospiraceae,0.4545543,0.4546924,0.4548295,0.4544536,0.4546101,0.02671368895902934,0.02662771745883391,0.026725635958341376,0.026625276911001586,0.026611824804350367,0.45462798,0.026660828818311316,0.00014222962771517594,5.421220688113457e-05
Lactobacillaceae,0.0004624,0.0004528,0.0004507,0.0004452,0.0004549,8.049364317359873e-05,8.051280901210076e-05,7.917510048118061e-05,7.121650930006798e-05,7.59578849890553e-05,0.00045319999999999996,7.747118939120067e-05,6.283709095749114e-06,3.959201404434283e-06
Micrococcaceae,0.0002757,0.0002702,0.0002764,0.0002812,0.0002757,1.262447352158073e-05,9.89994389358328e-06,1.0906774045876921e-05,8.889436621852457e-06,9.797759100981866e-06,0.00027583999999999996,1.0423677436775052e-05,3.901666310693419e-06,1.422748326843366e-06
Oscillospiraceae,0.0006715,0.0006614,0.0006727,0.000666,0.0006724,7.615082428217495e-05,7.99066899982079e-05,7.614544102399258e-05,7.556021128574589e-05,7.686695542110517e-05,0.0006688,7.69260244022453e-05,4.951262465270839e-06,1.7294180845917079e-06
Oxalobacteraceae,0.0001309,0.0001243,0.0001289,0.000126,0.0001321,9.190616723710771e-06,1.0708102578773753e-05,9.795898911574642e-06,7.677240718872577e-06,1.020179040411514e-05,0.00012844,9.514729867409377e-06,3.2692506786724093e-06,1.167974993485848e-06
Rikenellaceae,0.0002931,0.0003016,0.0002924,0.0002973,0.0002962,7.877671477466375e-06,1.0101983564880898e-05,7.776125940115953e-06,8.08130601986587e-06,8.787680843148685e-06,0.00029612,8.524953569095557e-06,3.687411015875502e-06,9.659955098423949e-07
Ruminococcaceae,0.1150889,0.11518,0.1148757,0.1151438,0.1151373,0.010013833393106008,0.00999247806303759,0.01001706405194937,0.009993949122117625,0.009988360868234989,0.11508514,0.010001137099689117,0.00012149005309078012,1.3273485810991221e-05
Streptococcaceae,0.0119031,0.011924,0.0119326,0.0119617,0.0119546,0.0016013892172654725,0.0015693431468042475,0.0015720902923348707,0.001572824184116395,0.0015886510839200289,0.011935199999999998,0.001580859584888203,2.367076255636897e-05,1.375017969246089e-05
Tannerellaceae,0.0465851,0.046655,0.0465448,0.0466274,0.0465006,0.0015101900205455733,0.001510953681799236,0.0014859469751021576,0.0014843338831988639,0.0014865321720530943,0.04658258,0.001495591346539785,6.20642570244741e-05,1.3701602561657383e-05
