Family,read10000000_rep1,read10000000_rep2,read10000000_rep3,read10000000_rep4,read10000000_rep5,gut_combined_10000000_1,gut_combined_10000000_2,gut_combined_10000000_3,gut_combined_10000000_4,gut_combined_10000000_5,meta_mean,pam_mean,meta_std,pam_std
AKAU3564 sediment group,0.0,0.0,0.0,0.0,0.0,3.041763316160906e-06,0.0,3.0410366001824284e-06,0.0,0.0,0.0,1.216559983268667e-06,0.0,1.6658433833000328e-06
ANME-2a-2b,0.0,0.0,0.0,0.0,0.0,4.562644974241359e-06,3.0467864477441594e-06,4.5615549002736424e-06,0.0,0.0,0.0,2.434197264451832e-06,0.0,2.306612143166573e-06
ANME-2c,0.0,0.0,0.0,0.0,0.0,1.9771461555045886e-05,1.5233932238720797e-05,2.7369329401641853e-05,2.1348342005525015e-05,2.7400728337889842e-05,0.0,2.222475870776468e-05,0.0,5.2181341759307326e-06
ASC21,0.0,0.0,0.0,0.0,0.0,0.00044713920747565313,0.00043873724847515893,0.00044551186192672574,0.0004528898268314949,0.0004292780772936075,0.0,0.00044271124440052807,0.0,9.045668548592841e-06
AT4-11,0.0,0.0,0.0,0.0,0.0,1.707111920029767e-07,1.8524252762708728e-07,1.991154747470234e-07,1.2837012140602566e-07,1.4238850438721536e-07,0.0,1.6516556403406564e-07,0.0,2.94072012373349e-08
Acantharia,0.0,0.0,0.0,0.0,0.0,2.702927206713798e-07,0.0,0.0,0.0,0.0,0.0,5.405854413427596e-08,0.0,1.2087857944891355e-07
Acari,0.0,0.0,0.0,0.0,0.0,3.6987424933978284e-07,4.4173218126459276e-07,3.840084155835451e-07,4.992171388012108e-07,5.125986157939753e-07,0.0,4.4148612015662134e-07,0.0,6.484956565093722e-08
Acetobacteraceae,0.0,0.0,0.0,0.0,0.0,0.0,3.0467864477441594e-06,0.0,0.0,0.0,0.0,6.093572895488318e-07,0.0,1.3625643220162101e-06
Acholeplasmatales bacterium canine oral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.044525370876649e-06,0.0,6.089050741753299e-07,0.0,1.3615531377005892e-06
Acidaminococcaceae,0.0,0.0,0.0,0.0,0.0,0.0029733236415472853,0.00302545894260995,0.0030927342223855295,0.002959795130908861,0.0030612702604164706,0.0,0.0030225164395736195,0.0,5.65573777577665e-05
Acidobacteriaceae (Subgroup 1),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0497631436464304e-06,3.044525370876649e-06,0.0,1.218857702904616e-06,0.0,1.668990673027127e-06
Acoela,0.0,0.0,0.0,0.0,0.0,1.5648525933606196e-07,8.549655121250183e-08,0.0,0.0,0.0,0.0,4.839636210971276e-08,0.0,7.086299692264347e-08
