# Constructed from biom file
#OTU ID	Ocean-lake-1a	Ocean-lake-1b	Ocean-lake-2a	Ocean-lake-2b	Ocean-lake-3a	Ocean-lake-3b	Ocean-lake-4a	Ocean-lake-4b
781621b0523875bfe67d3ace738bd570	0.0	0.0	0.0	0.0	77.0	96.0	226.0	321.0
73ad7a2023674652c7ad4118b70ff5ca	0.0	0.0	0.0	0.0	0.0	0.0	259.0	455.0
59e528155f660cb4c9e6083b11428d34	181.0	194.0	98.0	219.0	0.0	0.0	0.0	0.0
11cee1204353cf96fcdcf0ff3418ffbc	0.0	0.0	0.0	0.0	64.0	119.0	209.0	299.0
6b09a4fb785a23a1eca7dff93867825f	190.0	189.0	163.0	147.0	0.0	0.0	0.0	0.0
90b486bebed43aa7664628ad3b00a8ca	148.0	204.0	170.0	166.0	0.0	0.0	0.0	0.0
c09b6d24e273ab8419df14fc2bcba46d	0.0	0.0	0.0	0.0	97.0	168.0	192.0	228.0
20efebd42c56288df21850cfaf69e787	0.0	0.0	0.0	0.0	57.0	175.0	222.0	231.0
6d7718c6544758451d6e0769ac835a7e	0.0	0.0	0.0	0.0	75.0	109.0	211.0	289.0
55e14a0d333ac97edc9f74c187c23c84	179.0	142.0	211.0	145.0	0.0	0.0	0.0	0.0
0e570dde32288c8c6ad72cde66d87438	176.0	185.0	108.0	191.0	0.0	0.0	10.0	0.0
974be076c99ebd02ee65ce57478a8cb0	0.0	0.0	0.0	0.0	116.0	191.0	208.0	154.0
071e85d3013ad19dd8a2f665b447a605	189.0	113.0	165.0	185.0	0.0	0.0	0.0	0.0
30b584a72230e0f21ea9cf611787b638	0.0	0.0	0.0	0.0	0.0	0.0	303.0	348.0
a46188e5b3b6038a8378eff6c19967ab	110.0	72.0	85.0	95.0	50.0	77.0	90.0	55.0
eed91a4b1e82df65633826fb0f323d0d	0.0	0.0	0.0	0.0	73.0	128.0	155.0	273.0
4cc2a969ced0385752238db64f07e21e	165.0	165.0	147.0	147.0	0.0	0.0	0.0	0.0
365f979ea81db5428073518e8872b03f	0.0	0.0	0.0	0.0	57.0	92.0	212.0	260.0
3250155006d4bfc708f9ce3c08585b5c	141.0	144.0	102.0	225.0	0.0	0.0	0.0	0.0
d0ca69123a1b9666754226bea1215eff	0.0	0.0	0.0	0.0	33.0	47.0	299.0	231.0
139a31f0ea7ed358b0977b16a90b037f	231.0	209.0	31.0	136.0	0.0	0.0	0.0	0.0
9f7616a859a2d1715b2dea708bf9fcd9	0.0	0.0	0.0	0.0	69.0	97.0	177.0	255.0
3c5a2a828d08047e9b35a610ba15b3ff	293.0	297.0	0.0	0.0	0.0	0.0	0.0	0.0
2e4e22e0eff8db67bcde1b8163498747	0.0	0.0	0.0	0.0	87.0	96.0	213.0	192.0
01af3e8fd35debf1e892d632c9cdb795	0.0	0.0	0.0	0.0	62.0	71.0	220.0	229.0
f4d4bbfce16e2e48ef7eef3e969768f8	152.0	171.0	113.0	142.0	0.0	0.0	0.0	3.0
b2aa4b68a1278839ac2a4a1521e72462	0.0	0.0	0.0	0.0	61.0	92.0	185.0	240.0
3d414ed6e1de87add8b6d8bb0501bdb0	156.0	149.0	121.0	149.0	0.0	0.0	0.0	2.0
4abf46c29199a203f7ce0e17c2fffb03	0.0	0.0	0.0	0.0	41.0	61.0	222.0	252.0
d8adfe383dfd3881bfd2742df6703089	0.0	0.0	0.0	0.0	38.0	66.0	217.0	252.0
82b2475c2da6e342c50e4e18b2c7afb0	0.0	0.0	0.0	0.0	0.0	79.0	210.0	277.0
cd5633d99eacbcb96c8976d23dc0254c	0.0	0.0	0.0	0.0	0.0	0.0	229.0	337.0
a64a3e85c617df959c370cb96a46537f	128.0	129.0	105.0	178.0	0.0	0.0	4.0	8.0
57f5bc3b9cf548e4a0ab0d77c32f7512	133.0	143.0	136.0	137.0	0.0	0.0	0.0	0.0
98b7212fc91e6325ac261c8e87a56e2f	0.0	0.0	0.0	0.0	81.0	125.0	161.0	180.0
bfde2586029d29a92a849e3f8a1ce900	155.0	139.0	165.0	82.0	0.0	0.0	0.0	0.0
2a045120aa60bea7e74c5e54fe203b9a	0.0	0.0	0.0	0.0	0.0	0.0	236.0	299.0
b9abfb803ec3e2cdfd390a41368d426f	0.0	0.0	0.0	0.0	47.0	100.0	172.0	215.0
fca18dba8150444b865942ef87058077	138.0	158.0	70.0	125.0	10.0	15.0	0.0	0.0
bf5b3b136fb79cbf6ce787f4a1600a84	139.0	144.0	114.0	117.0	0.0	0.0	0.0	0.0
3a2f1a61f25a1dfef1d0c14cd247c958	0.0	0.0	0.0	0.0	65.0	90.0	141.0	213.0
3017aadae5320315e434f54df8698452	14.0	21.0	0.0	9.0	72.0	82.0	134.0	170.0
475af2610210fd8f5150a19b917d504d	149.0	165.0	86.0	91.0	0.0	0.0	0.0	0.0
f2cdc0bb7174e0b780ad6b8a94a4b15b	0.0	0.0	0.0	0.0	54.0	91.0	144.0	195.0
3e50694a780ccbc177df1df04ddd1ce0	0.0	0.0	0.0	0.0	45.0	76.0	213.0	149.0
621e4b80b3ec28cb8a8d67de539ad924	124.0	98.0	131.0	128.0	0.0	0.0	0.0	0.0
4c5bf0ce365428a2d2f4036c1bc32503	0.0	0.0	0.0	0.0	0.0	0.0	225.0	253.0
3762197ae30060153e10cf60282c309f	0.0	0.0	0.0	0.0	84.0	90.0	145.0	157.0
7a36dee4892696d8480326ca0ac88086	77.0	65.0	152.0	118.0	0.0	0.0	26.0	33.0
0aca9aac7ec2ce1726f775a805040ee0	26.0	16.0	14.0	0.0	75.0	85.0	105.0	147.0
f89cd0e90a1cc205c79b7060798aff9c	0.0	0.0	0.0	0.0	190.0	277.0	0.0	0.0
0f927a4d0be91000d6e24b5b19a3ae30	0.0	0.0	0.0	0.0	73.0	88.0	165.0	137.0
97b34ae70a4b921496d3218080c7ea75	0.0	0.0	0.0	0.0	67.0	83.0	113.0	186.0
90931abfea36e986f8e5772b17ff5740	122.0	109.0	99.0	114.0	0.0	0.0	0.0	0.0
94bf9d64cce3a5d9178aa0512725b9ed	0.0	0.0	0.0	0.0	80.0	85.0	113.0	166.0
106dd66448b5829a997792d0a5c3c4aa	17.0	15.0	38.0	21.0	52.0	67.0	126.0	101.0
97c80167d81ab1bcc475f5011aee7302	52.0	100.0	82.0	107.0	51.0	42.0	0.0	0.0
