# Constructed from biom file
#OTU ID	OL-PAMA-1a	OL-PAMA-1b	OL-PAMA-2a	OL-PAMA-2b	OL-PAMA-3a	OL-PAMA-3b	OL-PAMA-4a	OL-PAMA-4b
1383cec1788882e8e1d273aa3b525a00	0.0	0.0	0.0	0.0	842.0	61.0	87.0	1837.0
3210df65ffc9227089ee29b94bab06ae	289.0	220.0	464.0	1519.0	39.0	251.0	0.0	0.0
71449bd92483c45f7cedf1ec7008d095	0.0	0.0	0.0	0.0	323.0	484.0	371.0	1598.0
6cc4ec0a061e02a0c4cd341811680d9a	952.0	1451.0	142.0	118.0	0.0	101.0	0.0	0.0
e7ef498a4af8e8bbb8430cb1395d1a36	742.0	509.0	993.0	519.0	0.0	0.0	0.0	0.0
1350ee2a0bbf0d7ccdc4f5b882789797	0.0	0.0	0.0	0.0	77.0	1060.0	253.0	1357.0
7822e56b987739f95bffc2d5e9c81bb5	0.0	264.0	275.0	2196.0	0.0	0.0	0.0	0.0
53e1814739da28fe8368bb1059fa15e6	693.0	699.0	904.0	413.0	0.0	0.0	0.0	0.0
02c24c141b0914b76f4dff3af1342a9c	0.0	0.0	0.0	0.0	768.0	639.0	704.0	551.0
cf8fddd4107a04d4454d48d0d037ea02	0.0	0.0	0.0	0.0	0.0	44.0	20.0	2539.0
b8a69c81ca61dd96168ec9a4860057ec	0.0	0.0	0.0	0.0	894.0	440.0	629.0	603.0
5765c6aba863f292a976d6b532bdd93f	1002.0	1199.0	126.0	104.0	0.0	98.0	0.0	0.0
0a4eb094a2de994186ed23d4827df5f9	697.0	474.0	878.0	458.0	0.0	0.0	0.0	0.0
6827e141eb592301bed67f63c1235b07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2499.0
9ea80806c28e13a27338213b3099fc53	0.0	0.0	0.0	0.0	309.0	480.0	356.0	1347.0
0ee971cd16cfef17af5d20b598f8137f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2485.0
bddc3bb72fac5368c1e48dbd4db18c4a	0.0	0.0	292.0	2138.0	0.0	0.0	0.0	0.0
bc9802de9a910dc4af4387cf5deccb07	0.0	0.0	0.0	0.0	951.0	257.0	130.0	1047.0
ae3151fc79b44e8849849b335c93306d	630.0	437.0	897.0	409.0	0.0	0.0	0.0	0.0
d2d5268c6d8c0dcb24efd613d6428503	52.0	740.0	162.0	1369.0	0.0	0.0	0.0	0.0
3f01fee09e016859a2debe50d45cc0c9	166.0	0.0	606.0	1530.0	0.0	0.0	0.0	0.0
b54746be7e30e637ecdccd21b3fd87d0	646.0	125.0	0.0	1499.0	0.0	0.0	0.0	0.0
93c3fade76a6a781de9a55fc3d5d7211	0.0	0.0	0.0	0.0	938.0	247.0	103.0	963.0
